subprograma,campus,curso,turno,modalidade,nota_min,nota_max
2018-2020,Ceilândia / DF,Terapia Ocupacional (Bacharelado),Diurno,EP_R1_NPPI,-92.652,-4.201
2018-2020,Ceilândia / DF,Terapia Ocupacional (Bacharelado),Diurno,EP_R2_PPI,-45.148,-25.927
2018-2020,Ceilândia / DF,Terapia Ocupacional (Bacharelado),Diurno,EP_R2_NPPI,-74.63,27.307
2018-2020,Ceilândia / DF,Terapia Ocupacional (Bacharelado),Diurno,CN,5.337,6.491
2018-2020,Ceilândia / DF,Terapia Ocupacional (Bacharelado),Diurno,AC,-73.944,20.377
2018-2020,Ceilândia / DF,Fonoaudiologia (Bacharelado),Diurno,EP_R1_PPI,-5.802,-5.802
2018-2020,Ceilândia / DF,Fonoaudiologia (Bacharelado),Diurno,EP_R1_NPPI,-33.514,0.916
2018-2020,Ceilândia / DF,Fonoaudiologia (Bacharelado),Diurno,EP_R2_PPI,-40.393,-16.378
2018-2020,Ceilândia / DF,Fonoaudiologia (Bacharelado),Diurno,EP_R2_NPPI,-75.822,6.478
2018-2020,Ceilândia / DF,Fonoaudiologia (Bacharelado),Diurno,CN,-28.93,45.132
2018-2020,Ceilândia / DF,Fonoaudiologia (Bacharelado),Diurno,AC,-40.855,57.282
2018-2020,Ceilândia / DF,Fisioterapia (Bacharelado),Diurno,EP_R1_PPI,-16.495,13.421
2018-2020,Ceilândia / DF,Fisioterapia (Bacharelado),Diurno,EP_R1_NPPI,-31.032,13.229
2018-2020,Ceilândia / DF,Fisioterapia (Bacharelado),Diurno,EP_R2_PPI,-26.611,40.374
2018-2020,Ceilândia / DF,Fisioterapia (Bacharelado),Diurno,EP_R2_NPPI,-1.995,27.517
2018-2020,Ceilândia / DF,Fisioterapia (Bacharelado),Diurno,CN,10.489,34.882
2018-2020,Ceilândia / DF,Fisioterapia (Bacharelado),Diurno,AC,5.582,54.666
2018-2020,Ceilândia / DF,Farmácia (Bacharelado),Diurno,EP_R1_PPI,-39.519,-39.519
2018-2020,Ceilândia / DF,Farmácia (Bacharelado),Diurno,EP_R1_NPPI,-60.347,21.528
2018-2020,Ceilândia / DF,Farmácia (Bacharelado),Diurno,EP_R2_PPI,-83.874,19.707
2018-2020,Ceilândia / DF,Farmácia (Bacharelado),Diurno,EP_R2_NPPI,-76.441,-2.832
2018-2020,Ceilândia / DF,Farmácia (Bacharelado),Diurno,CN,-26.27,-25.843
2018-2020,Ceilândia / DF,Farmácia (Bacharelado),Diurno,AC,-85.275,81.955
2018-2020,Ceilândia / DF,Saúde Coletiva (Bacharelado),Diurno,EP_R1_PPI,-82.285,-1.885
2018-2020,Ceilândia / DF,Saúde Coletiva (Bacharelado),Diurno,EP_R1_NPPI,-71.408,-43.768
2018-2020,Ceilândia / DF,Saúde Coletiva (Bacharelado),Diurno,EP_R2_PPI,-63.379,-4.543
2018-2020,Ceilândia / DF,Saúde Coletiva (Bacharelado),Diurno,EP_R2_NPPI,-62.249,-43.547
2018-2020,Ceilândia / DF,Saúde Coletiva (Bacharelado),Diurno,AC,-87.136,-3.078
