Subprograma,Ano,Campus,Curso,Turno,Modalidade,modalidade_normalizada,escola_publica,faixa_renda,grupo_etnico,pcd,limite_salario_minimo,Nota Mínima,Nota Máxima
2019-2021,2021,Darcy Ribeiro,Administração (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,-5.786,-0.285
2019-2021,2021,Darcy Ribeiro,Administração (Bacharelado),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-38.327,23.576
2019-2021,2021,Darcy Ribeiro,Administração (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-15.383,-0.009
2019-2021,2021,Darcy Ribeiro,Administração (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-32.915,0.643
2019-2021,2021,Darcy Ribeiro,Administração (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-11.331,85.005
2019-2021,2021,Darcy Ribeiro,Administração (Bacharelado),Diurno,AC,AC,False,,,False,,36.705,120.3
2019-2021,2021,Darcy Ribeiro,Administração (Bacharelado),Noturno,CN,CN,False,,NEGROS,False,,-1.176,2.32
2019-2021,2021,Darcy Ribeiro,Administração (Bacharelado),Noturno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-72.089,-12.149
2019-2021,2021,Darcy Ribeiro,Administração (Bacharelado),Noturno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-28.8,11.743
2019-2021,2021,Darcy Ribeiro,Administração (Bacharelado),Noturno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-51.667,-6.11
2019-2021,2021,Darcy Ribeiro,Administração (Bacharelado),Noturno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-8.376,14.991
2019-2021,2021,Darcy Ribeiro,Administração (Bacharelado),Noturno,AC,AC,False,,,False,,-2.777,98.221
2019-2021,2021,Darcy Ribeiro,Agronomia (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,-13.14,11.95
2019-2021,2021,Darcy Ribeiro,Agronomia (Bacharelado),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-60.355,-33.373
2019-2021,2021,Darcy Ribeiro,Agronomia (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-50.337,33.84
2019-2021,2021,Darcy Ribeiro,Agronomia (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-79.596,
2019-2021,2021,Darcy Ribeiro,Agronomia (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-47.09,38.297
2019-2021,2021,Darcy Ribeiro,Agronomia (Bacharelado),Diurno,AC,AC,False,,,False,,-9.125,49.697
2019-2021,2021,Darcy Ribeiro,Arquitetura e Urbanismo (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,85.859,85.859
2019-2021,2021,Darcy Ribeiro,Arquitetura e Urbanismo (Bacharelado),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,16.653,31.35
