Subprograma,Ano,Campus,Curso,Turno,Modalidade,modalidade_normalizada,escola_publica,faixa_renda,grupo_etnico,pcd,limite_salario_minimo,Nota Mínima,Nota Máxima
2022-2024,2024,Ceilândia,Enfermagem (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-49.851,-32.128
2022-2024,2024,Ceilândia,Enfermagem (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-77.474,-39.613
2022-2024,2024,Ceilândia,Enfermagem (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-16.271,-1.68
2022-2024,2024,Ceilândia,Enfermagem (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,-45.031,-45.031
2022-2024,2024,Ceilândia,Enfermagem (Bacharelado),Diurno,AC,AC,False,,,False,,2.383,9.145
2022-2024,2024,Ceilândia,Farmácia (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-52.228,-42.092
2022-2024,2024,Ceilândia,Farmácia (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-86.268,-18.416
2022-2024,2024,Ceilândia,Farmácia (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,-53.795,-53.795
2022-2024,2024,Ceilândia,Farmácia (Bacharelado),Diurno,AC,AC,False,,,False,,0.278,14.814
2022-2024,2024,Ceilândia,Fisioterapia (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-65.973,-65.973
2022-2024,2024,Ceilândia,Fisioterapia (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-79.757,-46.126
2022-2024,2024,Ceilândia,Fisioterapia (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-19.889,-0.296
2022-2024,2024,Ceilândia,Fisioterapia (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,-4.572,-4.572
2022-2024,2024,Ceilândia,Fisioterapia (Bacharelado),Diurno,AC,AC,False,,,False,,3.438,16.934
2022-2024,2024,Ceilândia,Fonoaudiologia (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-66.134,-37.894
2022-2024,2024,Ceilândia,Fonoaudiologia (Bacharelado),Diurno,AC,AC,False,,,False,,-19.871,0.53
