Curso,Campus,Turno,modalidade_normalizada
Filosofia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_PPI
Computação (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_NPPIQ
Engenharia Ambiental (Bacharelado),Darcy Ribeiro,Diurno,AC
Filosofia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPI
Biblioteconomia (Bacharelado),Darcy Ribeiro,Diurno,AC
Letras – Tradução – Inglês (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI
Artes Cênicas (Literatura),Darcy Ribeiro,Noturno,AC
Engenharia Química (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ
Nutrição (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ
Letras - Inglês (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPIQ
Odontologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ
Farmácia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ
Biotecnologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ
Ciências Naturais (Licenciatura),Planaltina,Noturno,CN
Física (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_NPPI
Química Tecnológica (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI
Filosofia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,AC
Química (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ
Direito (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ
Pedagogia (Licenciatura),Darcy Ribeiro,Diurno,EP_R1_NPPIQ
Química Tecnológica (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI
Engenharia Ambiental (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI
Pedagogia (Licenciatura),Darcy Ribeiro,Noturno,AC
Educação Física (Licenciatura),Darcy Ribeiro,Diurno,EP_R1_PPI
Fonoaudiologia (Bacharelado),Ceilândia,Diurno,EP_R2_NPPIQ
Física (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI
Engenharias (FGA),Gama,Diurno,EP_R1_PPI
Biblioteconomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI
Física (Licenciatura),Darcy Ribeiro,Noturno,AC
Geografia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPIQ
História (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R1_PPI
Medicina Veterinária (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPIQ
Engenharia de Computação (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ
Química Tecnológica (Bacharelado),Darcy Ribeiro,Diurno,AC
Ciência da Computação (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ
Pedagogia (Licenciatura),Darcy Ribeiro,Noturno,CN
Direito (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ_PCD
Filosofia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R1_PPI
Engenharia Civil (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI
Ciências Econômicas (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ
História (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_PPI
Computação (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_NPPI
Educação Física Ciclo Básico (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPIQ
Letras – Tradução – Inglês (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI
Fisioterapia (Bacharelado),Ceilândia,Diurno,EP_R2_NPPIQ
Engenharia de Computação (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ_PCD
