Curso,Campus,Turno,modalidade_normalizada,n_trienios
Administração (Bacharelado),Darcy Ribeiro,Diurno,AC,6
Administração (Bacharelado),Darcy Ribeiro,Diurno,CN,6
Administração (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,4
Administração (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ,1
Administração (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,4
Administração (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,5
Administração (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1
Administração (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,4
Administração (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1
Administração (Bacharelado),Darcy Ribeiro,Noturno,AC,6
Administração (Bacharelado),Darcy Ribeiro,Noturno,CN,5
Administração (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_NPPI,4
Administração (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_PPI,3
Administração (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPI,4
Administração (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPIQ,1
Administração (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPI,3
Agronomia (Bacharelado),Darcy Ribeiro,Diurno,AC,6
Agronomia (Bacharelado),Darcy Ribeiro,Diurno,CN,5
Agronomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,3
Agronomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ,1
Agronomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,4
Agronomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,4
Agronomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1
Agronomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,4
Agronomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,AC,6
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,CN,6
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,4
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ,1
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,4
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,5
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,4
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Noturno,AC,6
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Noturno,CN,6
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_NPPI,3
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_PPI,3
