Curso,Campus,Turno,modalidade_normalizada,n_trienios,primeiro_trienio,ultimo_trienio,variacao_absoluta,slope,elegivel_ranking_principal
Engenharias (FGA),Gama,Diurno,AC,6,2018-2020,2023-2025,163.68599999999998,21.725971428571423,True
Engenharia Elétrica (Bacharelado),Darcy Ribeiro,Diurno,AC,5,2018-2020,2023-2025,151.535,19.988905405405408,True
Engenharia Mecânica (Bacharelado),Darcy Ribeiro,Diurno,AC,6,2018-2020,2023-2025,185.351,17.068114285714277,True
Farmácia (Bacharelado),Ceilândia,Diurno,AC,6,2018-2020,2023-2025,117.21100000000001,16.7076,True
Engenharia Mecatrônica (Bacharelado),Darcy Ribeiro,Diurno,AC,5,2018-2020,2023-2025,124.387,15.497567567567565,True
Artes Cênicas (Bacharelado),Darcy Ribeiro,Diurno,AC,6,2018-2020,2023-2025,59.641999999999996,14.89465714285714,True
Gestão de Políticas Públicas (Bacharelado),Darcy Ribeiro,Noturno,AC,5,2018-2020,2023-2025,69.557,14.240824324324317,True
Pedagogia (Licenciatura),Darcy Ribeiro,Noturno,AC,5,2018-2020,2023-2025,73.685,12.594121621621614,True
Artes Visuais (Bacharelado),Darcy Ribeiro,Diurno,AC,6,2018-2020,2023-2025,67.80799999999999,12.159257142857134,True
Terapia Ocupacional (Bacharelado),Ceilândia,Diurno,AC,6,2018-2020,2023-2025,76.65,9.891228571428568,True
Música (Licenciatura),Darcy Ribeiro,Diurno,AC,5,2018-2020,2023-2025,50.343999999999994,9.767202702702702,True
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Noturno,AC,6,2018-2020,2023-2025,79.96,9.523599999999995,True
Engenharia Civil (Bacharelado),Darcy Ribeiro,Diurno,AC,6,2018-2020,2023-2025,81.739,8.70882857142857,True
Farmácia (Bacharelado),Darcy Ribeiro,Noturno,AC,6,2018-2020,2023-2025,99.937,8.588628571428565,True
Letras – Tradução – Francês (Bacharelado),Darcy Ribeiro,Diurno,AC,5,2018-2020,2023-2025,48.620999999999995,8.354067567567567,True
Fonoaudiologia (Bacharelado),Ceilândia,Diurno,AC,6,2018-2020,2023-2025,57.57599999999999,8.116571428571422,True
Ciência da Computação (Bacharelado),Darcy Ribeiro,Diurno,AC,6,2018-2020,2023-2025,57.524,8.059628571428563,True
Química (Bacharelado),Darcy Ribeiro,Diurno,AC,6,2018-2020,2023-2025,63.896,7.895942857142855,True
Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,AC,5,2018-2020,2023-2025,57.912000000000006,7.310891891891888,True
Direito (Bacharelado),Darcy Ribeiro,Noturno,AC,6,2018-2020,2023-2025,47.910999999999994,7.1875428571428515,True
Engenharia de Computação (Bacharelado),Darcy Ribeiro,Diurno,AC,5,2018-2020,2023-2025,44.74900000000001,7.036824324324331,True
Engenharia de Redes de Comunicação (Bacharelado),Darcy Ribeiro,Diurno,AC,6,2018-2020,2023-2025,66.607,6.635714285714281,True
Turismo (Bacharelado),Darcy Ribeiro,Diurno,AC,5,2018-2020,2023-2025,39.23,6.5839729729729655,True
Gestão de Agronegócio (Bacharelado),Darcy Ribeiro,Noturno,AC,5,2018-2020,2023-2025,47.57599999999999,6.4275405405405275,True
Ciência Política (Bacharelado),Darcy Ribeiro,Diurno,AC,6,2018-2020,2023-2025,71.693,6.073971428571425,True
Engenharia Química (Bacharelado),Darcy Ribeiro,Diurno,AC,6,2018-2020,2023-2025,101.803,5.874714285714282,True
Administração (Bacharelado),Darcy Ribeiro,Noturno,AC,6,2018-2020,2023-2025,91.85000000000001,5.86485714285714,True
Geologia (Bacharelado),Darcy Ribeiro,Diurno,AC,5,2018-2020,2023-2025,33.15500000000001,5.590310810810806,True
Letras - Português (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,AC,6,2018-2020,2023-2025,72.283,5.36662857142857,True
Ciências Econômicas (Bacharelado),Darcy Ribeiro,Diurno,AC,6,2018-2020,2023-2025,58.431000000000004,5.195114285714285,True
Ciências Ambientais (Bacharelado),Darcy Ribeiro,Noturno,AC,5,2018-2020,2023-2025,26.019000000000005,4.981594594594589,True
Geofísica (Bacharelado),Darcy Ribeiro,Diurno,AC,5,2018-2020,2023-2025,34.404999999999994,4.917621621621614,True
"Teoria, Crítica e História da Arte (Bacharelado)",Darcy Ribeiro,Noturno,AC,5,2018-2020,2023-2025,52.599,4.76974324324324,True
Nutrição (Bacharelado),Darcy Ribeiro,Diurno,AC,6,2018-2020,2023-2025,44.095,4.583914285714279,True
Direito (Bacharelado),Darcy Ribeiro,Diurno,AC,5,2018-2020,2023-2025,35.664000000000016,4.536094594594591,True
Pedagogia (Licenciatura),Darcy Ribeiro,Diurno,AC,6,2018-2020,2023-2025,60.992,4.356085714285711,True
Enfermagem (Bacharelado),Darcy Ribeiro,Diurno,AC,6,2018-2020,2023-2025,47.099,4.237600000000001,True
Música (Bacharelado),Darcy Ribeiro,Diurno,AC,4,2018-2020,2023-2025,27.355,4.0836923076923055,True
Ciências Contábeis (Bacharelado),Darcy Ribeiro,Noturno,AC,5,2018-2020,2023-2025,43.513000000000005,4.065621621621619,True
Biologia (Bacharelado),Darcy Ribeiro,Diurno,AC,5,2018-2020,2023-2025,31.154000000000003,4.0527432432432455,True
Ciências Contábeis (Bacharelado),Darcy Ribeiro,Diurno,AC,6,2018-2020,2023-2025,95.84100000000001,4.026799999999997,True
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,AC,6,2018-2020,2023-2025,32.06099999999999,3.888599999999999,True
Odontologia (Bacharelado),Darcy Ribeiro,Diurno,AC,6,2018-2020,2023-2025,41.90200000000001,3.862314285714286,True
Agronomia (Bacharelado),Darcy Ribeiro,Diurno,AC,6,2018-2020,2023-2025,77.185,3.6299428571428525,True
Farmácia (Bacharelado),Darcy Ribeiro,Diurno,AC,6,2018-2020,2023-2025,38.164,3.203857142857141,True
Administração (Bacharelado),Darcy Ribeiro,Diurno,AC,6,2018-2020,2023-2025,43.944,3.1695999999999978,True
Comunicação Organizacional (Bacharelado),Darcy Ribeiro,Noturno,AC,6,2018-2020,2023-2025,69.334,2.80922857142857,True
Biologia (Licenciatura),Darcy Ribeiro,Noturno,AC,5,2018-2020,2023-2025,21.855000000000004,2.7117432432432396,True
Computação (Licenciatura),Darcy Ribeiro,Noturno,AC,6,2018-2020,2023-2025,74.156,2.6917714285714296,True
Estatística (Bacharelado),Darcy Ribeiro,Diurno,AC,6,2018-2020,2023-2025,86.548,2.5890857142857095,True
Relações Internacionais (Bacharelado),Darcy Ribeiro,Diurno,AC,6,2018-2020,2023-2025,31.948000000000008,1.9725428571428554,True
Física (Bacharelado),Darcy Ribeiro,Diurno,AC,5,2018-2020,2023-2025,63.344,1.9078513513513493,True
Letras - Português (Licenciatura),Darcy Ribeiro,Noturno,AC,5,2018-2020,2023-2025,-2.4200000000000017,1.6347837837837815,True
Saúde Coletiva (Bacharelado),Ceilândia,Diurno,AC,5,2018-2020,2023-2025,14.073999999999998,1.475635135135131,True
História (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,AC,6,2018-2020,2023-2025,43.004000000000005,1.4735714285714268,True
Fisioterapia (Bacharelado),Ceilândia,Diurno,AC,6,2018-2020,2023-2025,24.648,1.1318857142857146,True
Engenharia de Produção (Bacharelado),Darcy Ribeiro,Noturno,AC,6,2018-2020,2023-2025,94.317,0.9287428571428522,True
Enfermagem (Bacharelado),Ceilândia,Diurno,AC,6,2018-2020,2023-2025,18.845000000000002,0.9220857142857126,True
Gestão do Agronegócio (Bacharelado),Planaltina,Diurno,AC,5,2018-2020,2023-2025,-2.655000000000001,0.8462567567567499,True
Psicologia (Bacharelado / Licenciatura / Psicólogo),Darcy Ribeiro,Diurno,AC,5,2018-2020,2023-2025,12.21799999999999,0.781500000000002,True
Medicina Veterinária (Bacharelado),Darcy Ribeiro,Diurno,AC,6,2018-2020,2023-2025,16.456000000000003,0.47882857142856516,True
Química Tecnológica (Bacharelado),Darcy Ribeiro,Diurno,AC,5,2018-2020,2023-2025,17.475,0.36587837837837633,True
Comunicação Social – Audiovisual (Bacharelado),Darcy Ribeiro,Diurno,AC,6,2018-2020,2023-2025,21.440000000000005,0.32419999999999805,True
