Curso,Campus,Turno,modalidade_normalizada,n_trienios,primeiro_trienio,ultimo_trienio,variacao_absoluta,slope,elegivel_ranking_principal
Engenharias (FGA),Gama,Diurno,AC,6,2018-2020,2023-2025,163.68599999999998,21.725971428571423,True
Engenharia de Computação (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,4,2018-2020,2022-2024,76.932,21.46657142857143,True
Engenharia Elétrica (Bacharelado),Darcy Ribeiro,Diurno,AC,5,2018-2020,2023-2025,151.535,19.988905405405408,True
Biotecnologia (Bacharelado),Darcy Ribeiro,Diurno,CN,5,2018-2020,2023-2025,105.158,18.39043243243243,True
Engenharia Mecânica (Bacharelado),Darcy Ribeiro,Diurno,AC,6,2018-2020,2023-2025,185.351,17.068114285714277,True
Direito (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,4,2018-2020,2022-2024,61.73,16.76799999999999,True
Farmácia (Bacharelado),Ceilândia,Diurno,AC,6,2018-2020,2023-2025,117.21100000000001,16.7076,True
Engenharia Mecatrônica (Bacharelado),Darcy Ribeiro,Diurno,AC,5,2018-2020,2023-2025,124.387,15.497567567567565,True
Artes Cênicas (Bacharelado),Darcy Ribeiro,Diurno,AC,6,2018-2020,2023-2025,59.641999999999996,14.89465714285714,True
Gestão de Políticas Públicas (Bacharelado),Darcy Ribeiro,Noturno,AC,5,2018-2020,2023-2025,69.557,14.240824324324317,True
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Noturno,CN,6,2018-2020,2023-2025,89.494,13.229228571428568,True
Ciência da Computação (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,5,2018-2020,2022-2024,83.927,13.006200000000003,True
Ciência da Computação (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,5,2018-2020,2022-2024,67.734,12.767400000000002,True
Pedagogia (Licenciatura),Darcy Ribeiro,Noturno,AC,5,2018-2020,2023-2025,73.685,12.594121621621614,True
Artes Visuais (Bacharelado),Darcy Ribeiro,Diurno,AC,6,2018-2020,2023-2025,67.80799999999999,12.159257142857134,True
Comunicação Organizacional (Bacharelado),Darcy Ribeiro,Noturno,CN,5,2018-2020,2023-2025,37.165,10.867175675675673,True
Biotecnologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,4,2019-2021,2022-2024,30.278,10.612399999999989,True
Ciência da Computação (Bacharelado),Darcy Ribeiro,Diurno,CN,6,2018-2020,2023-2025,72.744,10.145799999999987,True
Pedagogia (Licenciatura),Darcy Ribeiro,Diurno,CN,5,2018-2020,2023-2025,62.367000000000004,10.062445945945939,True
Engenharias (FGA),Gama,Diurno,CN,6,2018-2020,2023-2025,74.334,9.954285714285708,True
Terapia Ocupacional (Bacharelado),Ceilândia,Diurno,AC,6,2018-2020,2023-2025,76.65,9.891228571428568,True
Música (Licenciatura),Darcy Ribeiro,Diurno,AC,5,2018-2020,2023-2025,50.343999999999994,9.767202702702702,True
Relações Internacionais (Bacharelado),Darcy Ribeiro,Diurno,CN,6,2018-2020,2023-2025,60.78600000000001,9.601314285714285,True
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Noturno,AC,6,2018-2020,2023-2025,79.96,9.523599999999995,True
Matemática (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,CN,4,2018-2020,2023-2025,46.935,9.394038461538457,True
Ciência Política (Bacharelado),Darcy Ribeiro,Diurno,CN,6,2018-2020,2023-2025,54.801,9.322799999999997,True
Estatística (Bacharelado),Darcy Ribeiro,Diurno,CN,4,2018-2020,2023-2025,50.906000000000006,9.005932203389829,True
Engenharia Civil (Bacharelado),Darcy Ribeiro,Diurno,AC,6,2018-2020,2023-2025,81.739,8.70882857142857,True
Farmácia (Bacharelado),Darcy Ribeiro,Noturno,AC,6,2018-2020,2023-2025,99.937,8.588628571428565,True
Letras – Tradução – Francês (Bacharelado),Darcy Ribeiro,Diurno,AC,5,2018-2020,2023-2025,48.620999999999995,8.354067567567567,True
Fonoaudiologia (Bacharelado),Ceilândia,Diurno,AC,6,2018-2020,2023-2025,57.57599999999999,8.116571428571422,True
Ciência da Computação (Bacharelado),Darcy Ribeiro,Diurno,AC,6,2018-2020,2023-2025,57.524,8.059628571428563,True
Química (Bacharelado),Darcy Ribeiro,Diurno,AC,6,2018-2020,2023-2025,63.896,7.895942857142855,True
Engenharia Mecatrônica (Bacharelado),Darcy Ribeiro,Diurno,CN,5,2018-2020,2023-2025,45.492000000000004,7.77810810810811,True
Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,AC,5,2018-2020,2023-2025,57.912000000000006,7.310891891891888,True
Direito (Bacharelado),Darcy Ribeiro,Noturno,AC,6,2018-2020,2023-2025,47.910999999999994,7.1875428571428515,True
Engenharia de Computação (Bacharelado),Darcy Ribeiro,Diurno,AC,5,2018-2020,2023-2025,44.74900000000001,7.036824324324331,True
Gestão de Políticas Públicas (Bacharelado),Darcy Ribeiro,Noturno,CN,5,2018-2020,2023-2025,9.546,6.941648648648648,True
Engenharia de Redes de Comunicação (Bacharelado),Darcy Ribeiro,Diurno,AC,6,2018-2020,2023-2025,66.607,6.635714285714281,True
Turismo (Bacharelado),Darcy Ribeiro,Diurno,AC,5,2018-2020,2023-2025,39.23,6.5839729729729655,True
Gestão de Agronegócio (Bacharelado),Darcy Ribeiro,Noturno,AC,5,2018-2020,2023-2025,47.57599999999999,6.4275405405405275,True
Engenharia Elétrica (Bacharelado),Darcy Ribeiro,Diurno,CN,4,2018-2020,2023-2025,31.432000000000002,6.320384615384618,True
Medicina (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,4,2018-2020,2022-2024,17.101,6.216657142857118,True
