Curso,Campus,Turno,modalidade_normalizada,n_trienios,primeiro_trienio,ultimo_trienio,variacao_absoluta,slope,elegivel_ranking_principal
Línguas Estrangeiras Aplicadas (Bacharelado),Darcy Ribeiro,Diurno,CN,2,2019-2021,2020-2022,79.054,79.05399999999993,False
Física (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,3,2018-2020,2020-2022,147.497,73.74849999999999,False
Saúde Coletiva (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPI,2,2018-2020,2019-2021,68.158,68.15799999999999,False
Gestão Ambiental (Bacharelado),Planaltina,Noturno,EP_R2_NPPI,2,2019-2021,2020-2022,62.781,62.780999999999935,False
Matemática (Licenciatura),Darcy Ribeiro,Noturno,EP_R1_PPI,2,2019-2021,2020-2022,61.283,61.282999999999966,False
Ciências Contábeis (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_PPI,2,2019-2021,2020-2022,52.211999999999996,52.21199999999995,False
Línguas Estrangeiras Aplicadas (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,2,2018-2020,2019-2021,50.427,50.42699999999999,False
Engenharia Ambiental (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,4,2018-2020,2021-2023,156.214,46.153600000000004,False
Letras – Português do Brasil como Segunda Língua (Licenciatura),Darcy Ribeiro,Diurno,EP_R2_PPI,3,2018-2020,2020-2022,87.417,43.7085,False
Geografia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,CN,2,2018-2020,2019-2021,43.291,43.291,False
Filosofia (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_PPI,2,2019-2021,2020-2022,42.83,42.82999999999995,False
Arquivologia (Bacharelado),Darcy Ribeiro,Noturno,CN,3,2018-2020,2020-2022,81.449,40.7245,False
Medicina (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI_PCD,2,2018-2020,2019-2021,33.337,33.337,False
Música (Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPI,2,2020-2022,2021-2023,31.072,31.071999999999974,False
Química Tecnológica (Bacharelado),Darcy Ribeiro,Diurno,CN,2,2018-2020,2019-2021,30.064,30.064,False
Comunicação Organizacional (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPI,2,2019-2021,2020-2022,29.964,29.96399999999997,False
Farmácia (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_PPI,4,2018-2020,2021-2023,89.533,29.151099999999996,False
Educação Física Ciclo Básico (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,AC,2,2022-2024,2023-2025,28.661,28.661000000000076,False
Geologia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,3,2019-2021,2021-2023,55.906000000000006,27.95299999999998,False
Engenharia Elétrica (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,4,2018-2020,2021-2023,84.167,26.540699999999998,False
Engenharia Elétrica (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,4,2018-2020,2021-2023,76.71199999999999,25.8961,False
Serviço Social (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,2,2018-2020,2021-2023,76.672,25.55733333333333,False
Educação Física (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,4,2018-2020,2021-2023,93.956,24.532000000000007,False
Engenharia Mecatrônica (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,3,2018-2020,2020-2022,48.517,24.258500000000012,False
Saúde Coletiva (Bacharelado),Ceilândia,Diurno,EP_R1_PPI,2,2018-2020,2020-2022,47.809,23.904499999999995,False
Matemática (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R1_NPPI,4,2018-2020,2021-2023,76.74,23.288200000000003,False
Línguas Estrangeiras Aplicadas (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,3,2018-2020,2020-2022,46.069,23.0345,False
Terapia Ocupacional (Bacharelado),Ceilândia,Diurno,EP_R1_PPI,3,2019-2021,2021-2023,45.595,22.797499999999985,False
Pedagogia (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_PPI,4,2018-2020,2021-2023,70.912,22.718200000000007,False
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_NPPI,3,2018-2020,2020-2022,45.23800000000001,22.619000000000003,False
Letras – Tradução – Inglês (Bacharelado),Darcy Ribeiro,Diurno,CN,4,2018-2020,2021-2023,59.178000000000004,22.578100000000006,False
Engenharia Química (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,3,2018-2020,2020-2022,44.896,22.448000000000004,False
Física (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,3,2019-2021,2021-2023,43.916,21.957999999999984,False
Engenharia Elétrica (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,4,2018-2020,2021-2023,70.729,21.239499999999996,False
Comunicação Social - Publicidade e Propaganda (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,4,2018-2020,2021-2023,78.778,20.512300000000007,False
Educação Física (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,4,2018-2020,2021-2023,69.33699999999999,20.399200000000008,False
Pedagogia (Licenciatura),Darcy Ribeiro,Diurno,EP_R1_NPPI,4,2018-2020,2021-2023,75.76599999999999,19.607699999999998,False
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,4,2018-2020,2021-2023,59.588,19.47300000000001,False
Gestão de Políticas Públicas (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_PPI,4,2018-2020,2021-2023,54.901999999999994,18.6924,False
Física (Bacharelado),Darcy Ribeiro,Diurno,CN,3,2018-2020,2021-2023,47.656000000000006,18.66335714285714,False
Ciência Política (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,4,2018-2020,2021-2023,64.485,18.5269,False
História (Licenciatura),Darcy Ribeiro,Noturno,EP_R2_PPI,3,2018-2020,2020-2022,36.769,18.38450000000001,False
Filosofia (Bacharelado/Licenciatura),Darcy Ribeiro,Diurno,EP_R1_PPI,2,2020-2022,2021-2023,17.801000000000002,17.800999999999977,False
Arquivologia (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_NPPI,2,2020-2022,2021-2023,17.255999999999997,17.255999999999975,False
Educação Física (Licenciatura),Darcy Ribeiro,Diurno,EP_R2_NPPI,4,2018-2020,2021-2023,54.422,17.0696,False
Engenharia Florestal (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,2,2018-2020,2021-2023,50.751000000000005,16.917,False
