id_oferta,id_oferta_num,curso,campus,turno,modalidade,observacoes_min,observacoes_max,primeira_nota_min,ultima_nota_min,primeira_nota_max,ultima_nota_max,media_historica_min,mediana_historica_min,minimo_historico_min,maximo_historico_min,amplitude_historica_min,desvio_historico_min,coef_var_min,consistencia_min,mudancas_min,volatilidade_min,media_historica_max,mediana_historica_max,minimo_historico_max,maximo_historico_max,amplitude_historica_max,desvio_historico_max,coef_var_max,consistencia_max,mudancas_max,volatilidade_max,persistencia_min,persistencia_max,regressao_linear_min,regressao_linear_max,regressao_ponderada_min,regressao_ponderada_max,media_movel_min,media_movel_max,ensemble_min,ensemble_max,ensemble_mediana_min,ensemble_mediana_max,ensemble_desvio_min,ensemble_desvio_max,ensemble_amplitude_min,ensemble_amplitude_max,ensemble_n_modelos_min,ensemble_n_modelos_max,intervalo_previsto,delta_media_min,delta_media_max,delta_ultima_min,delta_ultima_max,estab_coef_var,estab_amplitude,estab_volatilidade,estab_mudancas,estab_observacoes,indice_estabilidade,classe_estabilidade
Administração (Bacharelado) | Darcy Ribeiro | Diurno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,1,Administração (Bacharelado),Darcy Ribeiro,Diurno,AC,6,6,-5.813,38.131,69.035,99.156,26.868,37.418,-5.813,46.485,52.298,23.412,87.136,80.0,2.0,35.681,82.398,96.546,12.807,120.3,107.493,37.802,45.877,60.0,2,65.453,38.131,99.156,37.962,64.876,28.688,62.418,29.51,78.226,33.573,76.169,33.736,71.551,5.177,16.825,9.443,36.738,4,4,42.596,6.705,-6.229,-4.558,-22.987,8.638743455497377,31.413612565445025,28.53403141361257,17.212041884816752,95.29411764705881,36.22,Baixa
Administração (Bacharelado) | Darcy Ribeiro | Diurno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,3,Administração (Bacharelado),Darcy Ribeiro,Diurno,CN,6,6,-40.808,-12.58,3.022,6.842,-28.12,-26.694,-54.707,-4.981,49.726,22.874,-81.344,60.0,4.0,48.142,-7.373,1.368,-49.856,44.699,94.555,36.28,-492.069,60.0,3,76.162,-12.58,6.842,-24.194,-10.52,-23.703,-5.991,-27.185,-8.122,-21.916,-4.448,-23.949,-7.057,6.411,7.751,14.605,17.362,4,4,17.468,6.204,2.925,-9.336,-11.29,77.35602094240838,33.63874345549738,19.240837696335078,1.505235602094246,95.29411764705881,45.41,Moderada
Administração (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,5,Administração (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,4,4,-90.624,-59.221,-3.524,-21.197,-51.749,-50.495,-90.624,-15.383,75.241,31.566,-60.997,66.667,1.0,56.273,-2.144,-1.766,-21.197,16.153,37.35,15.322,-714.546,66.667,1,27.969,-59.221,-21.197,-34.793,-11.358,-53.332,-19.532,-48.358,-3.987,-48.926,-14.019,-50.845,-15.445,10.416,7.95,24.428,17.21,4,4,34.907,2.823,-11.875,10.295,7.178,73.56020942408377,17.14659685863874,12.827225130890053,37.56544502617801,64.9673202614379,41.21,Moderada
Administração (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_NPPIQ | EP=True | R=R1 | GE=NPPIQ | PCD=False | SM=1.0,7,Administração (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ,1,1,-67.831,-67.831,-19.227,-19.227,-67.831,-67.831,-67.831,-67.831,0.0,0.0,0.0,100.0,0.0,0.0,-19.227,-19.227,-19.227,-19.227,0.0,0.0,0.0,100.0,0,0.0,-67.831,-19.227,,,,,-67.831,-19.227,-67.831,-19.227,-67.831,-19.227,0.0,0.0,0.0,0.0,2,2,48.604,0.0,0.0,0.0,0.0,33.37696335078534,82.32984293193716,78.20680628272252,74.54188481675392,17.77777777777778,57.25,Moderada
Administração (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_PPI | EP=True | R=R1 | GE=PPI | PCD=False | SM=1.5,8,Administração (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,4,4,-32.289,-53.789,-1.11,-9.772,-42.766,-42.494,-53.789,-32.289,21.5,9.419,-22.024,100.0,0.0,1.148,7.238,7.574,-9.772,23.576,33.348,15.355,212.143,66.667,1,25.647,-53.789,-9.772,-60.975,-1.088,-61.193,-11.231,-46.408,5.573,-55.591,-4.13,-57.382,-5.43,7.022,7.867,14.785,16.804,4,4,51.461,-12.825,-11.368,-1.802,5.642,56.675392670157066,57.06806282722513,56.28272251308901,74.54188481675392,64.9673202614379,61.91,Alta
Administração (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,10,Administração (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,5,5,-80.471,-77.484,-26.835,-34.03,-31.063,-11.331,-80.471,13.596,94.067,44.632,-143.68,75.0,1.0,66.797,22.259,33.653,-34.03,85.005,119.035,51.531,231.504,75.0,1,78.449,-77.484,-34.03,-21.793,2.537,-53.685,-32.203,-29.003,17.876,-45.491,-11.455,-41.344,-14.833,25.325,25.795,55.691,51.906,4,4,34.036,-14.428,-33.714,31.993,22.575,87.30366492146598,8.115183246073299,7.853403141361259,37.56544502617801,82.2875816993464,44.63,Moderada
Administração (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_NPPIQ | EP=True | R=R2 | GE=NPPIQ | PCD=False | SM=1.0,12,Administração (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1,1,-17.433,-17.433,18.394,18.394,-17.433,-17.433,-17.433,-17.433,0.0,0.0,0.0,100.0,0.0,0.0,18.394,18.394,18.394,18.394,0.0,0.0,0.0,100.0,0,0.0,-17.433,18.394,,,,,-17.433,18.394,-17.433,18.394,-17.433,18.394,0.0,0.0,0.0,0.0,2,2,35.827,0.0,0.0,0.0,0.0,33.37696335078534,82.32984293193716,78.20680628272252,74.54188481675392,17.77777777777778,57.25,Moderada
Administração (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_PPI | EP=True | R=R2 | GE=PPI | PCD=False | SM=1.5,14,Administração (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,4,4,-66.919,-51.29,-1.149,2.093,-41.334,-42.102,-66.919,-14.213,52.706,22.805,-55.171,66.667,1.0,37.412,4.658,1.368,-1.149,17.044,18.193,8.363,179.556,66.667,1,15.688,-51.29,2.093,-24.937,11.189,-39.153,7.841,-38.055,5.964,-38.359,6.772,-38.604,6.903,10.772,3.795,26.353,9.096,4,4,45.131,2.975,2.114,12.931,4.679,71.98952879581152,30.89005235602095,26.8324607329843,37.56544502617801,64.9673202614379,46.45,Moderada
Administração (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_PPIQ | EP=True | R=R2 | GE=PPIQ | PCD=False | SM=1.0,16,Administração (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1,1,-25.422,-25.422,-3.245,-3.245,-25.422,-25.422,-25.422,-25.422,0.0,0.0,0.0,100.0,0.0,0.0,-3.245,-3.245,-3.245,-3.245,0.0,0.0,0.0,100.0,0,0.0,-25.422,-3.245,,,,,-25.422,-3.245,-25.422,-3.245,-25.422,-3.245,0.0,0.0,0.0,0.0,2,2,22.177,0.0,0.0,0.0,0.0,33.37696335078534,82.32984293193716,78.20680628272252,74.54188481675392,17.77777777777778,57.25,Moderada
Administração (Bacharelado) | Darcy Ribeiro | Noturno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,2,Administração (Bacharelado),Darcy Ribeiro,Noturno,AC,6,6,-98.9,-7.05,38.986,44.901,-38.006,-16.271,-98.9,-2.777,96.123,42.97,-113.06,60.0,2.0,68.732,40.601,47.522,-40.646,98.221,138.867,45.085,111.043,60.0,4,73.686,-7.05,44.901,-17.479,2.085,-29.29,0.305,-33.119,31.431,-21.734,19.68,-23.384,16.758,11.838,22.054,26.069,44.596,4,4,41.414,16.272,-20.921,-14.684,-25.221,84.68586387434554,7.59162303664922,6.282722513089,17.212041884816752,95.29411764705881,42.21,Moderada
Administração (Bacharelado) | Darcy Ribeiro | Noturno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,4,Administração (Bacharelado),Darcy Ribeiro,Noturno,CN,5,5,-3.806,-54.846,1.212,-53.83,-23.06,-6.548,-54.846,-1.176,53.67,26.464,-114.765,50.0,3.0,43.831,-6.654,1.212,-53.83,19.031,72.861,27.61,-414.944,50.0,1,29.73,-54.846,-53.83,-58.81,-48.142,-59.141,-59.904,-30.223,-14.281,-50.755,-44.039,-56.828,-50.986,13.826,20.412,28.918,45.623,4,4,6.716,-27.695,-37.385,4.091,9.791,84.94764397905759,29.973821989528794,21.596858638743456,5.759162303664922,82.2875816993464,44.91,Moderada
