Subprograma,Ano,campus,curso,turno,modalidade,modalidade_normalizada,escola_publica,faixa_renda,grupo_etnico,pcd,limite_salario_minimo,Nota Mínima,Nota Máxima,trienio,ano_inicial,ano_final,indice_trienio,curso_campus,curso_turno,curso_modalidade,curso_campus_turno,curso_modalidade_campus,curso_modalidade_turno
2018-2020,2020,Ceilândia,Enfermagem (Bacharelado),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-50.128,18.233,2018-2020,2018,2020,1,Enfermagem (Bacharelado) | Ceilândia,Enfermagem (Bacharelado) | Diurno,Enfermagem (Bacharelado) | EP_R1_PPI,Enfermagem (Bacharelado) | Ceilândia | Diurno,Enfermagem (Bacharelado) | EP_R1_PPI | Ceilândia,Enfermagem (Bacharelado) | EP_R1_PPI | Diurno
2018-2020,2020,Ceilândia,Enfermagem (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-16.36,12.216,2018-2020,2018,2020,1,Enfermagem (Bacharelado) | Ceilândia,Enfermagem (Bacharelado) | Diurno,Enfermagem (Bacharelado) | EP_R1_NPPI,Enfermagem (Bacharelado) | Ceilândia | Diurno,Enfermagem (Bacharelado) | EP_R1_NPPI | Ceilândia,Enfermagem (Bacharelado) | EP_R1_NPPI | Diurno
2018-2020,2020,Ceilândia,Enfermagem (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-20.508,11.174,2018-2020,2018,2020,1,Enfermagem (Bacharelado) | Ceilândia,Enfermagem (Bacharelado) | Diurno,Enfermagem (Bacharelado) | EP_R2_PPI,Enfermagem (Bacharelado) | Ceilândia | Diurno,Enfermagem (Bacharelado) | EP_R2_PPI | Ceilândia,Enfermagem (Bacharelado) | EP_R2_PPI | Diurno
2018-2020,2020,Ceilândia,Enfermagem (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,12.11,43.716,2018-2020,2018,2020,1,Enfermagem (Bacharelado) | Ceilândia,Enfermagem (Bacharelado) | Diurno,Enfermagem (Bacharelado) | EP_R2_NPPI,Enfermagem (Bacharelado) | Ceilândia | Diurno,Enfermagem (Bacharelado) | EP_R2_NPPI | Ceilândia,Enfermagem (Bacharelado) | EP_R2_NPPI | Diurno
2018-2020,2020,Ceilândia,Enfermagem (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,6.016,17.233,2018-2020,2018,2020,1,Enfermagem (Bacharelado) | Ceilândia,Enfermagem (Bacharelado) | Diurno,Enfermagem (Bacharelado) | CN,Enfermagem (Bacharelado) | Ceilândia | Diurno,Enfermagem (Bacharelado) | CN | Ceilândia,Enfermagem (Bacharelado) | CN | Diurno
2018-2020,2020,Ceilândia,Enfermagem (Bacharelado),Diurno,AC,AC,False,,,False,,9.2,70.871,2018-2020,2018,2020,1,Enfermagem (Bacharelado) | Ceilândia,Enfermagem (Bacharelado) | Diurno,Enfermagem (Bacharelado) | AC,Enfermagem (Bacharelado) | Ceilândia | Diurno,Enfermagem (Bacharelado) | AC | Ceilândia,Enfermagem (Bacharelado) | AC | Diurno
2018-2020,2020,Ceilândia,Farmácia (Bacharelado),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-39.519,-39.519,2018-2020,2018,2020,1,Farmácia (Bacharelado) | Ceilândia,Farmácia (Bacharelado) | Diurno,Farmácia (Bacharelado) | EP_R1_PPI,Farmácia (Bacharelado) | Ceilândia | Diurno,Farmácia (Bacharelado) | EP_R1_PPI | Ceilândia,Farmácia (Bacharelado) | EP_R1_PPI | Diurno
2018-2020,2020,Ceilândia,Farmácia (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-60.347,21.528,2018-2020,2018,2020,1,Farmácia (Bacharelado) | Ceilândia,Farmácia (Bacharelado) | Diurno,Farmácia (Bacharelado) | EP_R1_NPPI,Farmácia (Bacharelado) | Ceilândia | Diurno,Farmácia (Bacharelado) | EP_R1_NPPI | Ceilândia,Farmácia (Bacharelado) | EP_R1_NPPI | Diurno
2018-2020,2020,Ceilândia,Farmácia (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-83.874,19.707,2018-2020,2018,2020,1,Farmácia (Bacharelado) | Ceilândia,Farmácia (Bacharelado) | Diurno,Farmácia (Bacharelado) | EP_R2_PPI,Farmácia (Bacharelado) | Ceilândia | Diurno,Farmácia (Bacharelado) | EP_R2_PPI | Ceilândia,Farmácia (Bacharelado) | EP_R2_PPI | Diurno
2018-2020,2020,Ceilândia,Farmácia (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-76.441,-2.832,2018-2020,2018,2020,1,Farmácia (Bacharelado) | Ceilândia,Farmácia (Bacharelado) | Diurno,Farmácia (Bacharelado) | EP_R2_NPPI,Farmácia (Bacharelado) | Ceilândia | Diurno,Farmácia (Bacharelado) | EP_R2_NPPI | Ceilândia,Farmácia (Bacharelado) | EP_R2_NPPI | Diurno
2018-2020,2020,Ceilândia,Farmácia (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,-26.27,-25.843,2018-2020,2018,2020,1,Farmácia (Bacharelado) | Ceilândia,Farmácia (Bacharelado) | Diurno,Farmácia (Bacharelado) | CN,Farmácia (Bacharelado) | Ceilândia | Diurno,Farmácia (Bacharelado) | CN | Ceilândia,Farmácia (Bacharelado) | CN | Diurno
