curso,modalidade_normalizada,registros,nota_min_media,nota_min_mediana,nota_min_dp,nota_min_min,nota_min_max,nota_max_media,nota_max_mediana,nota_max_dp,nota_max_min,nota_max_max,amplitude_media,amplitude_dp,amplitude_min,amplitude_max,coef_var_min,coef_var_max
Administração (Bacharelado),AC,12,-5.569,-4.295,47.289,-98.9,46.485,61.5,60.519,45.276,-40.646,120.3,67.069,31.228,12.67,137.886,-849.169,73.62
Administração (Bacharelado),CN,11,-25.82,-12.58,23.425,-54.846,-1.176,-7.046,1.212,31.035,-53.83,44.699,18.773,23.734,0.0,67.953,-90.726,-440.458
Administração (Bacharelado),EP_R1_NPPI,8,-47.563,-43.716,23.474,-90.624,-15.383,-5.38,-1.766,17.656,-34.78,16.153,42.184,26.446,0.0,87.1,-49.354,-328.203
Administração (Bacharelado),EP_R1_NPPIQ,1,-67.831,-67.831,,-67.831,-67.831,-19.227,-19.227,,-19.227,-19.227,48.604,,48.604,48.604,,
Administração (Bacharelado),EP_R1_PPI,7,-41.041,-46.477,22.926,-72.089,2.342,0.366,-1.11,14.967,-16.586,23.576,41.407,23.039,0.0,62.919,-55.861,4094.216
Administração (Bacharelado),EP_R2_NPPI,9,-29.981,-12.505,35.104,-80.471,13.596,19.327,14.991,37.313,-34.03,85.005,49.307,26.839,16.106,96.336,-117.087,193.068
Administração (Bacharelado),EP_R2_NPPIQ,2,-36.468,-36.468,26.92,-55.503,-17.433,6.788,6.788,16.413,-4.817,18.394,43.256,10.507,35.827,50.686,-73.817,241.771
Administração (Bacharelado),EP_R2_PPI,7,-53.701,-51.667,24.314,-84.174,-14.213,-10.886,-1.149,33.192,-84.174,17.044,42.815,23.97,0.0,70.18,-45.276,-304.899
Administração (Bacharelado),EP_R2_PPIQ,1,-25.422,-25.422,,-25.422,-25.422,-3.245,-3.245,,-3.245,-3.245,22.177,,22.177,22.177,,
Agronomia (Bacharelado),AC,6,-34.375,-8.274,42.405,-95.148,-5.377,56.917,67.5,59.647,-49.448,112.172,91.291,32.1,45.7,121.921,-123.361,104.798
Agronomia (Bacharelado),CN,5,-50.545,-56.023,32.126,-86.604,-13.14,-9.118,-9.606,36.998,-66.324,32.518,41.427,46.177,7.985,119.122,-63.56,-405.773
Agronomia (Bacharelado),EP_R1_NPPI,3,-47.828,-50.337,18.105,-64.547,-28.599,-3.813,19.269,53.1,-64.547,33.84,44.015,42.221,0.0,84.177,-37.854,-1392.717
Agronomia (Bacharelado),EP_R1_NPPIQ,1,-56.39,-56.39,,-56.39,-56.39,-56.39,-56.39,,-56.39,-56.39,0.0,,0.0,0.0,,
Agronomia (Bacharelado),EP_R1_PPI,4,-70.283,-69.028,9.913,-82.722,-60.355,-40.531,-31.206,28.968,-82.722,-16.992,29.752,21.81,0.0,47.655,-14.105,-71.472
Agronomia (Bacharelado),EP_R2_NPPI,4,-58.995,-52.99,25.235,-94.126,-35.875,21.669,23.662,15.443,1.054,38.297,80.664,33.888,36.929,119.523,-42.775,71.267
Agronomia (Bacharelado),EP_R2_NPPIQ,1,-58.036,-58.036,,-58.036,-58.036,-13.042,-13.042,,-13.042,-13.042,44.994,,44.994,44.994,,
Agronomia (Bacharelado),EP_R2_PPI,4,-72.736,-73.751,9.394,-81.527,-61.917,-23.405,-28.783,16.456,-36.5,-4.933,47.045,13.708,31.406,56.984,-12.915,-70.31
Agronomia (Bacharelado),EP_R2_PPIQ,1,-62.778,-62.778,,-62.778,-62.778,-36.2,-36.2,,-36.2,-36.2,26.578,,26.578,26.578,,
Arquitetura e Urbanismo (Bacharelado),AC,12,51.838,63.221,39.322,-31.822,98.047,87.872,77.537,36.423,15.316,146.303,38.118,23.376,12.717,94.241,75.855,41.449
Arquitetura e Urbanismo (Bacharelado),CN,12,14.569,25.384,50.225,-66.223,85.859,16.29,25.384,48.899,-56.427,85.859,1.721,4.195,0.0,13.148,344.733,300.179
Arquitetura e Urbanismo (Bacharelado),EP_R1_NPPI,7,-17.053,-14.415,40.844,-74.003,36.319,14.534,12.718,40.584,-50.838,58.507,31.588,28.421,0.0,72.922,-239.51,279.227
Arquitetura e Urbanismo (Bacharelado),EP_R1_NPPIQ,1,-32.379,-32.379,,-32.379,-32.379,4.506,4.506,,4.506,4.506,36.885,,36.885,36.885,,
