curso,registros,nota_min_media,nota_min_mediana,nota_min_dp,nota_min_min,nota_min_max,nota_max_media,nota_max_mediana,nota_max_dp,nota_max_min,nota_max_max,amplitude_media,amplitude_dp,amplitude_min,amplitude_max,coef_var_min,coef_var_max
Administração (Bacharelado),58,-31.561,-32.602,34.343,-98.9,46.485,12.222,2.682,41.016,-84.174,120.3,43.783,29.013,0.0,137.886,-108.814,335.601
Agronomia (Bacharelado),29,-54.749,-60.355,27.631,-95.148,-5.377,1.185,-7.27,49.921,-82.722,112.172,55.046,38.962,0.0,121.921,-50.469,4213.415
Arquitetura e Urbanismo (Bacharelado),59,7.206,-2.692,47.404,-81.638,98.047,33.108,29.424,47.386,-56.427,146.303,27.067,25.097,0.0,94.241,657.868,143.123
Arquivologia (Bacharelado),16,-52.964,-56.812,22.533,-82.039,10.221,-27.081,-30.857,35.244,-72.96,41.329,25.883,37.695,0.0,114.94,-42.545,-130.143
Artes Cênicas (Bacharelado),16,-17.799,-25.336,28.607,-64.508,27.497,4.984,9.298,40.699,-64.508,88.886,22.782,36.849,0.0,124.411,-160.727,816.645
Artes Cênicas (Licenciatura),4,-44.476,-51.592,22.034,-62.337,-12.384,-14.256,-16.542,43.54,-53.522,29.579,30.22,32.144,0.0,70.1,-49.542,-305.402
Artes Cênicas (Literatura),11,-30.034,-42.056,31.706,-68.863,18.627,3.771,14.969,43.588,-68.553,96.437,33.805,49.617,0.0,145.707,-105.568,1155.726
Artes Visuais (Bacharelado),11,-26.85,-25.519,36.744,-73.314,29.41,16.937,10.926,35.777,-37.278,75.062,43.788,33.82,0.0,96.379,-136.85,211.231
Artes Visuais (Licenciatura),13,-28.517,-23.125,28.512,-90.01,29.145,2.733,-16.763,35.502,-33.237,70.753,31.25,46.928,0.0,144.386,-99.981,1299.111
Biblioteconomia (Bacharelado),22,-42.651,-43.276,22.574,-82.692,-9.93,-9.255,-15.704,35.067,-59.315,60.65,33.396,46.222,0.0,141.585,-52.928,-378.907
Biologia (Bacharelado),30,2.618,6.361,48.283,-80.211,92.094,30.331,26.279,53.703,-58.11,174.618,27.713,30.602,0.0,104.365,1844.241,177.058
Biologia (Licenciatura),29,-8.029,-17.382,33.067,-57.415,61.373,23.697,20.636,45.556,-44.203,143.74,33.381,38.858,0.0,176.257,-411.859,192.243
Biotecnologia (Bacharelado),30,-1.336,-19.628,50.808,-84.167,87.359,46.434,41.67,61.151,-50.648,157.41,47.77,40.714,0.0,114.424,-3802.485,131.694
Ciência Política (Bacharelado),32,-7.602,-15.886,35.309,-68.378,59.772,28.491,21.371,43.531,-27.935,128.48,36.094,33.415,0.0,134.802,-464.445,152.788
Ciência da Computação (Bacharelado),39,49.806,44.904,58.867,-75.28,143.984,77.156,74.724,60.293,-13.051,192.19,27.35,27.516,0.0,106.056,118.193,78.144
Ciências Ambientais (Bacharelado),17,-39.684,-39.988,31.88,-88.634,46.048,-6.204,-15.686,40.989,-51.524,118.33,33.48,52.691,0.0,181.946,-80.336,-660.68
Ciências Contábeis (Bacharelado),52,-39.449,-42.052,29.619,-102.261,25.609,9.009,8.335,37.685,-68.678,84.034,48.592,38.455,0.0,148.329,-75.081,418.317
Ciências Econômicas (Bacharelado),32,10.629,-3.706,52.267,-64.258,105.597,52.897,51.9,53.51,-56.632,170.983,44.894,36.524,0.0,131.377,491.763,101.16
Ciências Naturais (Licenciatura),14,-61.57,-67.018,22.563,-90.203,-19.534,-24.891,-20.002,34.461,-90.203,21.657,36.679,38.755,0.0,94.368,-36.646,-138.445
Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),30,-42.038,-39.223,27.757,-91.423,11.533,12.083,9.279,37.599,-49.487,94.463,54.121,35.827,0.0,136.541,-66.03,311.166
Computação (Licenciatura),23,-35.312,-28.675,38.815,-105.03,36.577,-1.833,-5.522,44.288,-81.096,74.983,33.479,41.55,0.0,159.753,-109.92,-2415.702
Comunicação Organizacional (Bacharelado),19,-39.572,-41.513,32.315,-98.302,23.426,0.254,-9.15,42.74,-78.071,66.357,39.826,40.348,0.0,122.209,-81.662,16830.334
Comunicação Social - Publicidade e Propaganda (Bacharelado),32,13.276,18.886,44.091,-74.578,77.921,28.285,31.547,44.15,-74.578,120.186,17.094,20.875,0.0,72.667,332.111,156.09
Comunicação Social – Audiovisual (Bacharelado),28,-0.161,-6.98,42.314,-63.885,86.509,24.709,9.153,56.745,-63.885,175.444,27.264,30.325,0.0,90.037,-26281.807,229.65
