id_oferta,id_oferta_num,curso,campus,turno,modalidade,n_trienios,media_ponderada_min,media_ponderada_max,desvio_ponderado_min,desvio_ponderado_max,slope_ponderada_min,slope_ponderada_max,momentum_min,momentum_max,aceleracao_min,aceleracao_max,curvatura_min,curvatura_max
Administração (Bacharelado) | Darcy Ribeiro | Diurno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,1,Administração (Bacharelado),Darcy Ribeiro,Diurno,AC,6,29.51,78.226,19.563,37.771,-0.30829,-5.928,2.641,-4.172,-1.131,8.771,-4.347357,-1.152143
Administração (Bacharelado) | Darcy Ribeiro | Noturno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,2,Administração (Bacharelado),Darcy Ribeiro,Noturno,AC,6,-33.119,31.431,35.588,42.976,1.43574,-11.67231,4.887,-9.171,-4.1015,6.578,-5.536393,-0.834429
Administração (Bacharelado) | Darcy Ribeiro | Diurno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,3,Administração (Bacharelado),Darcy Ribeiro,Diurno,CN,6,-27.185,-8.122,21.473,35.317,1.30579,0.79933,0.935,-0.749,1.77625,14.70225,0.230375,2.123089
Administração (Bacharelado) | Darcy Ribeiro | Noturno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,4,Administração (Bacharelado),Darcy Ribeiro,Noturno,CN,5,-30.223,-14.281,24.094,28.918,-9.6393,-15.20773,-7.163,-7.627,-16.976,-17.645,-0.548733,-5.580261
Administração (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,5,Administração (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,4,-48.358,-3.987,21.362,15.6,-2.487,-7.7722,3.391,-1.843,-46.3465,-20.4325,-23.17325,-10.21625
Administração (Bacharelado) | Darcy Ribeiro | Noturno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,6,Administração (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_NPPI,4,-40.886,-7.403,10.207,19.522,0.3472,3.585,2.491,1.212,-23.174,5.8075,-11.587,2.90375
Administração (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_NPPIQ | EP=True | R=R1 | GE=NPPIQ | PCD=False | SM=1.0,7,Administração (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ,1,-67.831,-19.227,0.0,0.0,,,0.0,0.0,,,,
Administração (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_PPI | EP=True | R=R1 | GE=PPI | PCD=False | SM=1.5,8,Administração (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,4,-46.408,5.573,7.403,14.062,-7.3924,-8.402,-3.642,-1.665,-0.545,-25.358,-0.2725,-12.679
Administração (Bacharelado) | Darcy Ribeiro | Noturno | EP_R1_PPI | EP=True | R=R1 | GE=PPI | PCD=False | SM=1.5,9,Administração (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_PPI,3,-46.878,-11.952,24.814,6.694,-14.4052,-8.4586,-8.136,-3.155,100.043,10.054,50.0215,5.027
Administração (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,10,Administração (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,5,-29.003,17.876,40.721,44.186,-10.57794,-21.46251,2.06,-4.383,-53.40667,-59.841,-22.780071,-24.813857
Administração (Bacharelado) | Darcy Ribeiro | Noturno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,11,Administração (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPI,4,-33.787,12.145,24.804,7.895,-17.5948,-4.486,-5.16,-3.516,-36.3735,12.7295,-18.18675,6.36475
Administração (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_NPPIQ | EP=True | R=R2 | GE=NPPIQ | PCD=False | SM=1.0,12,Administração (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1,-17.433,18.394,0.0,0.0,,,0.0,0.0,,,,
Administração (Bacharelado) | Darcy Ribeiro | Noturno | EP_R2_NPPIQ | EP=True | R=R2 | GE=NPPIQ | PCD=False | SM=1.0,13,Administração (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPIQ,1,-55.503,-4.817,0.0,0.0,,,0.0,0.0,,,,
