curso,modalidade_normalizada,observacoes,primeira_nota_min,ultima_nota_min,primeira_nota_max,ultima_nota_max,variacao_min,variacao_max,menor_nota_min,maior_nota_min,menor_nota_max,maior_nota_max,media_nota_min,media_nota_max,amplitude_media,amplitude_max,amplitude_min,coef_var_min,coef_var_max
Administração (Bacharelado),AC,12,-5.813,-7.05,69.035,44.901,-1.237,-24.134,-98.9,46.485,-40.646,120.3,-5.569,61.5,67.069,137.886,12.67,-849.169,73.62
Administração (Bacharelado),CN,11,-40.808,-54.846,3.022,-53.83,-14.038,-56.852,-54.846,-1.176,-53.83,44.699,-25.82,-7.046,18.773,67.953,0.0,-90.726,-440.458
Administração (Bacharelado),EP_R1_NPPI,8,-90.624,-45.664,-3.524,6.082,44.96,9.606,-90.624,-15.383,-34.78,16.153,-47.563,-5.38,42.184,87.1,0.0,-49.354,-328.203
Administração (Bacharelado),EP_R1_NPPIQ,1,-67.831,-67.831,-19.227,-19.227,0.0,0.0,-67.831,-67.831,-19.227,-19.227,-67.831,-19.227,48.604,48.604,48.604,,
Administração (Bacharelado),EP_R1_PPI,7,-32.289,-53.789,-1.11,-9.772,-21.5,-8.662,-72.089,2.342,-16.586,23.576,-41.041,0.366,41.407,62.919,0.0,-55.861,4094.216
Administração (Bacharelado),EP_R2_NPPI,9,-80.471,-77.484,-26.835,-34.03,2.987,-7.195,-80.471,13.596,-34.03,85.005,-29.981,19.327,49.307,96.336,16.106,-117.087,193.068
Administração (Bacharelado),EP_R2_NPPIQ,2,-17.433,-55.503,18.394,-4.817,-38.07,-23.211,-55.503,-17.433,-4.817,18.394,-36.468,6.788,43.256,50.686,35.827,-73.817,241.771
Administração (Bacharelado),EP_R2_PPI,7,-66.919,-51.29,-1.149,2.093,15.629,3.242,-84.174,-14.213,-84.174,17.044,-53.701,-10.886,42.815,70.18,0.0,-45.276,-304.899
Administração (Bacharelado),EP_R2_PPIQ,1,-25.422,-25.422,-3.245,-3.245,0.0,0.0,-25.422,-25.422,-3.245,-3.245,-25.422,-3.245,22.177,22.177,22.177,,
Agronomia (Bacharelado),AC,6,-82.562,-5.377,39.359,112.172,77.185,72.813,-95.148,-5.377,-49.448,112.172,-34.375,56.917,91.291,121.921,45.7,-123.361,104.798
Agronomia (Bacharelado),CN,5,-56.023,-22.112,-9.606,-14.127,33.911,-4.521,-86.604,-13.14,-66.324,32.518,-50.545,-9.118,41.427,119.122,7.985,-63.56,-405.773
Agronomia (Bacharelado),EP_R1_NPPI,3,-64.547,-28.599,-64.547,19.269,35.948,83.816,-64.547,-28.599,-64.547,33.84,-47.828,-3.813,44.015,84.177,0.0,-37.854,-1392.717
Agronomia (Bacharelado),EP_R1_NPPIQ,1,-56.39,-56.39,-56.39,-56.39,0.0,0.0,-56.39,-56.39,-56.39,-56.39,-56.39,-56.39,0.0,0.0,0.0,,
Agronomia (Bacharelado),EP_R1_PPI,4,-73.408,-64.647,-29.038,-16.992,8.761,12.046,-82.722,-60.355,-82.722,-16.992,-70.283,-40.531,29.752,47.655,0.0,-14.105,-71.472
Agronomia (Bacharelado),EP_R2_NPPI,4,-58.889,-35.875,21.927,1.054,23.014,-20.873,-94.126,-35.875,1.054,38.297,-58.995,21.669,80.664,119.523,36.929,-42.775,71.267
Agronomia (Bacharelado),EP_R2_NPPIQ,1,-58.036,-58.036,-13.042,-13.042,0.0,0.0,-58.036,-58.036,-13.042,-13.042,-58.036,-13.042,44.994,44.994,44.994,,
