id_oferta,id_oferta_num,curso,campus,turno,modalidade_normalizada,observacoes,primeira_nota_min,ultima_nota_min,primeira_nota_max,ultima_nota_max,delta_min,delta_max,delta_min_pct,delta_max_pct,velocidade_min,velocidade_max,media_min,media_max,desvio_min,desvio_max,coef_var_min,coef_var_max,amplitude_media,amplitude_min,amplitude_max
Administração (Bacharelado) | Darcy Ribeiro | Diurno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,1,Administração (Bacharelado),Darcy Ribeiro,Diurno,AC,6,-5.813,38.131,69.035,99.156,43.944,30.121,-755.961,43.631,8.789,6.024,26.868,82.398,23.412,37.802,87.136,45.877,55.53,12.67,83.595
Administração (Bacharelado) | Darcy Ribeiro | Noturno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,2,Administração (Bacharelado),Darcy Ribeiro,Noturno,AC,6,-98.9,-7.05,38.986,44.901,91.85,5.915,-92.872,15.172,18.37,1.183,-38.006,40.601,42.97,45.085,-113.06,111.043,78.608,46.121,137.886
Administração (Bacharelado) | Darcy Ribeiro | Diurno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,3,Administração (Bacharelado),Darcy Ribeiro,Diurno,CN,6,-40.808,-12.58,3.022,6.842,28.228,3.82,-69.173,126.406,5.646,0.764,-28.12,-7.373,22.874,36.28,-81.344,-492.069,20.747,0.0,49.68
Administração (Bacharelado) | Darcy Ribeiro | Noturno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,4,Administração (Bacharelado),Darcy Ribeiro,Noturno,CN,5,-3.806,-54.846,1.212,-53.83,-51.04,-55.042,1341.04,-4541.419,-12.76,-13.76,-23.06,-6.654,26.464,27.61,-114.765,-414.944,16.406,1.016,67.953
Administração (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,5,Administração (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,4,-90.624,-59.221,-3.524,-21.197,31.403,-17.673,-34.652,501.504,10.468,-5.891,-51.749,-2.144,31.566,15.322,-60.997,-714.546,49.605,15.374,87.1
Administração (Bacharelado) | Darcy Ribeiro | Noturno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,6,Administração (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_NPPI,4,-64.264,-45.664,-17.504,6.082,18.6,23.586,-28.943,-134.746,6.2,7.862,-43.377,-8.615,15.577,21.557,-35.91,-250.23,34.762,0.0,51.746
Administração (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_NPPIQ | EP=True | R=R1 | GE=NPPIQ | PCD=False | SM=1.0,7,Administração (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ,1,-67.831,-67.831,-19.227,-19.227,0.0,0.0,-0.0,-0.0,,,-67.831,-19.227,,,,,48.604,48.604,48.604
Administração (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_PPI | EP=True | R=R1 | GE=PPI | PCD=False | SM=1.5,8,Administração (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,4,-32.289,-53.789,-1.11,-9.772,-21.5,-8.662,66.586,780.36,-7.167,-2.887,-42.766,7.238,9.419,15.355,-22.024,212.143,50.004,31.179,62.919
Administração (Bacharelado) | Darcy Ribeiro | Noturno | EP_R1_PPI | EP=True | R=R1 | GE=PPI | PCD=False | SM=1.5,9,Administração (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_PPI,3,2.342,-46.477,2.342,-16.586,-48.819,-18.928,-2084.5,-808.198,-24.409,-9.464,-38.741,-8.798,37.814,9.899,-97.606,-112.519,29.944,0.0,59.94
Administração (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,10,Administração (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,5,-80.471,-77.484,-26.835,-34.03,2.987,-7.195,-3.712,26.812,0.747,-1.799,-31.063,22.259,44.632,51.531,-143.68,231.504,53.323,20.057,96.336
Administração (Bacharelado) | Darcy Ribeiro | Noturno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,11,Administração (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPI,4,-30.302,-63.326,31.847,12.204,-33.024,-19.643,108.983,-61.679,-11.008,-6.548,-28.627,15.661,25.012,11.83,-87.372,75.538,44.288,16.106,75.53
Administração (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_NPPIQ | EP=True | R=R2 | GE=NPPIQ | PCD=False | SM=1.0,12,Administração (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1,-17.433,-17.433,18.394,18.394,0.0,0.0,-0.0,0.0,,,-17.433,18.394,,,,,35.827,35.827,35.827
Administração (Bacharelado) | Darcy Ribeiro | Noturno | EP_R2_NPPIQ | EP=True | R=R2 | GE=NPPIQ | PCD=False | SM=1.0,13,Administração (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPIQ,1,-55.503,-55.503,-4.817,-4.817,0.0,0.0,-0.0,-0.0,,,-55.503,-4.817,,,,,50.686,50.686,50.686
Administração (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_PPI | EP=True | R=R2 | GE=PPI | PCD=False | SM=1.5,14,Administração (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,4,-66.919,-51.29,-1.149,2.093,15.629,3.242,-23.355,-282.158,5.21,1.081,-41.334,4.658,22.805,8.363,-55.171,179.556,45.992,31.257,65.77
Administração (Bacharelado) | Darcy Ribeiro | Noturno | EP_R2_PPI | EP=True | R=R2 | GE=PPI | PCD=False | SM=1.5,15,Administração (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPI,3,-74.731,-84.174,-4.551,-84.174,-9.443,-79.623,12.636,1749.572,-4.722,-39.812,-70.191,-31.612,16.722,45.527,-23.824,-144.02,38.579,0.0,70.18
