modalidade_normalizada,registros,nota_min_media,nota_min_mediana,nota_min_dp,nota_min_min,nota_min_max,nota_max_media,nota_max_mediana,nota_max_dp,nota_max_min,nota_max_max,amplitude_media,amplitude_dp,amplitude_min,amplitude_max,coef_var_min,coef_var_max
AC,534,-3.637,-12.046,62.298,-105.03,183.5,60.827,57.784,57.692,-85.5,211.738,67.33,41.74,0.0,244.789,-1713.065,94.845
CN,375,6.775,3.695,45.883,-90.203,171.622,14.352,11.29,47.146,-90.203,171.622,7.478,18.984,0.0,139.422,677.264,328.496
EP_R1_NPPI,276,-21.015,-23.763,36.093,-96.948,95.903,2.225,1.731,38.229,-96.948,145.179,23.204,27.417,0.0,125.077,-171.751,1717.861
EP_R1_NPPIQ,41,-34.067,-33.752,31.075,-82.855,98.649,-8.374,-11.45,33.85,-69.376,98.649,25.693,24.125,0.0,81.449,-91.218,-404.226
EP_R1_NPPIQ_PCD,1,46.775,46.775,,46.775,46.775,46.775,46.775,,46.775,46.775,0.0,,0.0,0.0,,
EP_R1_NPPI_PCD,3,-9.244,-11.536,14.989,-22.954,6.759,-9.244,-11.536,14.989,-22.954,6.759,0.0,0.0,0.0,0.0,-162.149,-162.149
EP_R1_PPI,259,-28.109,-30.833,31.512,-105.487,78.064,0.208,-1.061,37.175,-105.487,138.392,28.294,28.728,0.0,132.067,-112.107,17857.893
EP_R1_PPIQ,9,-30.878,-40.556,48.515,-87.773,81.446,-5.559,0.178,45.719,-59.032,96.795,25.319,31.145,0.0,93.474,-157.12,-822.457
EP_R1_PPI_PCD,3,-20.596,-15.077,17.34,-40.024,-6.687,-20.596,-15.077,17.34,-40.024,-6.687,0.0,0.0,0.0,0.0,-84.192,-84.192
EP_R2_NPPI,358,-11.301,-19.674,49.288,-100.534,175.472,21.967,18.043,48.737,-84.214,190.592,33.376,35.837,0.0,191.187,-436.146,221.867
EP_R2_NPPIQ,67,-7.533,-20.384,55.494,-91.423,162.281,23.083,18.165,47.72,-67.757,162.281,30.616,30.365,0.0,108.395,-736.672,206.73
EP_R2_NPPIQ_PCD,15,-3.43,-4.958,39.953,-43.816,103.215,-1.468,-4.958,40.026,-43.816,103.215,1.962,5.828,0.0,21.798,-1164.878,-2726.084
EP_R2_NPPI_PCD,6,19.216,10.643,46.881,-25.671,107.509,19.216,10.643,46.881,-25.671,107.509,0.0,0.0,0.0,0.0,243.966,243.966
EP_R2_PPI,300,-29.863,-34.556,37.134,-94.317,110.263,6.284,1.315,40.016,-84.174,134.438,36.388,32.278,0.0,151.441,-124.346,636.833
EP_R2_PPIQ,53,-30.573,-34.486,38.443,-86.267,115.802,1.219,-5.763,38.394,-53.522,119.954,31.793,28.558,0.0,122.813,-125.741,3148.337
EP_R2_PPIQ_PCD,2,-29.27,-29.27,2.383,-30.955,-27.585,-16.666,-16.666,20.208,-30.955,-2.377,12.604,17.825,0.0,25.208,-8.141,-121.251
EP_R2_PPI_PCD,4,-15.498,-9.72,23.329,-48.451,5.9,-15.498,-9.72,23.329,-48.451,5.9,0.0,0.0,0.0,0.0,-150.529,-150.529
