Curso,Campus,Turno,Modalidade,Triênios,Primeira Nota,Última Nota,Média Histórica,Mediana Histórica,Mínimo Histórico,Máximo Histórico,Previsão,Δ Média,Δ Última,Índice de Estabilidade,Estabilidade,CV (%),Desvio,Amplitude,Volatilidade,Mudanças
Administração (Bacharelado),Darcy Ribeiro,Diurno,AC,6,-5.81,38.13,26.87,37.42,-5.81,46.48,33.57,6.7,-4.56,36.22,Baixa,87.14,23.41,52.3,35.68,2.0
Administração (Bacharelado),Darcy Ribeiro,Diurno,CN,6,-40.81,-12.58,-28.12,-26.69,-54.71,-4.98,-21.92,6.2,-9.34,45.41,Moderada,-81.34,22.87,49.73,48.14,4.0
Administração (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,4,-90.62,-59.22,-51.75,-50.5,-90.62,-15.38,-48.93,2.82,10.3,41.21,Moderada,-61.0,31.57,75.24,56.27,1.0
Administração (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ,1,-67.83,-67.83,-67.83,-67.83,-67.83,-67.83,-67.83,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Administração (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,4,-32.29,-53.79,-42.77,-42.49,-53.79,-32.29,-55.59,-12.82,-1.8,61.91,Alta,-22.02,9.42,21.5,1.15,0.0
Administração (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,5,-80.47,-77.48,-31.06,-11.33,-80.47,13.6,-45.49,-14.43,31.99,44.63,Moderada,-143.68,44.63,94.07,66.8,1.0
Administração (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPIQ,1,-17.43,-17.43,-17.43,-17.43,-17.43,-17.43,-17.43,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Administração (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,4,-66.92,-51.29,-41.33,-42.1,-66.92,-14.21,-38.36,2.98,12.93,46.45,Moderada,-55.17,22.8,52.71,37.41,1.0
Administração (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPIQ,1,-25.42,-25.42,-25.42,-25.42,-25.42,-25.42,-25.42,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Administração (Bacharelado),Darcy Ribeiro,Noturno,AC,6,-98.9,-7.05,-38.01,-16.27,-98.9,-2.78,-21.73,16.27,-14.68,42.21,Moderada,-113.06,42.97,96.12,68.73,2.0
Administração (Bacharelado),Darcy Ribeiro,Noturno,CN,5,-3.81,-54.85,-23.06,-6.55,-54.85,-1.18,-50.76,-27.7,4.09,44.91,Moderada,-114.76,26.46,53.67,43.83,3.0
Administração (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_NPPI,4,-64.26,-45.66,-43.38,-40.22,-64.26,-28.8,-39.42,3.96,6.25,50.38,Moderada,-35.91,15.58,35.46,25.46,1.0
Administração (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_PPI,3,2.34,-46.48,-38.74,-46.48,-72.09,2.34,-62.95,-24.21,-16.47,38.38,Baixa,-97.61,37.81,74.43,70.74,1.0
Administração (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPI,4,-30.3,-63.33,-28.63,-21.4,-63.33,-8.38,-55.13,-26.5,8.2,47.72,Moderada,-87.37,25.01,54.95,36.86,1.0
Administração (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPIQ,1,-55.5,-55.5,-55.5,-55.5,-55.5,-55.5,-55.5,0.0,0.0,57.25,Moderada,0.0,0.0,0.0,0.0,0.0
Administração (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPI,3,-74.73,-84.17,-70.19,-74.73,-84.17,-51.67,-81.12,-10.93,3.06,43.51,Moderada,-23.82,16.72,32.51,39.3,1.0
Agronomia (Bacharelado),Darcy Ribeiro,Diurno,AC,6,-82.56,-5.38,-34.38,-8.27,-95.15,-5.38,-22.68,11.7,-17.3,42.76,Moderada,-123.36,42.4,89.77,70.64,2.0
Agronomia (Bacharelado),Darcy Ribeiro,Diurno,CN,5,-56.02,-22.11,-50.54,-56.02,-86.6,-13.14,-37.96,12.58,-15.85,40.84,Moderada,-63.56,32.13,73.46,56.74,2.0
Agronomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,3,-64.55,-28.6,-47.83,-50.34,-64.55,-28.6,-25.88,21.95,2.72,58.1,Moderada,-37.85,18.1,35.95,5.32,0.0
