Curso,Campus,Turno,Modalidade,Histórico (mín.),Histórico (máx.),Última nota mínima,Última nota máxima,Previsão mínima,Previsão máxima,Intervalo previsto,Desvio (mín.),Desvio (máx.),Modelos (mín.),Modelos (máx.),Confiabilidade (mín.),Confiabilidade (máx.),Tendência (mín.),Tendência (máx.)
Administração (Bacharelado),Darcy Ribeiro,Diurno,AC,1,1,36.7,120.3,36.7,120.3,83.6,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Administração (Bacharelado),Darcy Ribeiro,Diurno,CN,1,1,-5.79,-0.28,-5.79,-0.28,5.5,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Administração (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,1,1,-15.38,-0.01,-15.38,-0.01,15.37,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Administração (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,1,1,-38.33,23.58,-38.33,23.58,61.9,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Administração (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,1,1,-11.33,85.0,-11.33,85.0,96.34,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Administração (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,1,1,-32.92,0.64,-32.92,0.64,33.56,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Administração (Bacharelado),Darcy Ribeiro,Noturno,AC,1,1,-2.78,98.22,-2.78,98.22,101.0,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Administração (Bacharelado),Darcy Ribeiro,Noturno,CN,1,1,-1.18,2.32,-1.18,2.32,3.5,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Administração (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_NPPI,1,1,-28.8,11.74,-28.8,11.74,40.54,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Administração (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_PPI,1,1,-72.09,-12.15,-72.09,-12.15,59.94,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Administração (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPI,1,1,-8.38,14.99,-8.38,14.99,23.37,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Administração (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPI,1,1,-51.67,-6.11,-51.67,-6.11,45.56,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Administração (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,AC,5,5,38.13,99.16,34.77,78.63,43.86,5.82,13.72,4,4,Moderada,Moderada,Queda,Forte queda
Administração (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,CN,5,5,-12.58,6.84,-19.8,-3.97,15.82,6.92,7.44,4,4,Moderada,Moderada,Forte queda,Forte queda
Administração (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R1_NPPI,3,3,-59.22,-21.2,-48.65,-14.44,34.21,12.23,7.18,4,4,Moderada,Moderada,Forte alta,Forte alta
Administração (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R1_NPPIQ,1,1,-67.83,-19.23,-67.83,-19.23,48.6,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Administração (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R1_PPI,3,3,-53.79,-9.77,-55.89,-4.38,51.51,6.35,4.8,4,4,Moderada,Moderada,Queda,Forte alta
Administração (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R2_NPPI,4,4,-77.48,-34.03,-45.12,-9.19,35.93,25.02,20.56,4,4,Moderada,Moderada,Forte alta,Forte alta
Administração (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R2_NPPIQ,1,1,-17.43,18.39,-17.43,18.39,35.83,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Administração (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R2_PPI,3,3,-51.29,2.09,-38.38,6.73,45.11,11.02,3.72,4,4,Moderada,Alta,Forte alta,Alta
Administração (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R2_PPIQ,1,1,-25.42,-3.24,-25.42,-3.24,22.18,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Administração (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Noturno,AC,5,5,-7.05,44.9,-17.81,22.66,40.47,13.92,16.05,4,4,Moderada,Moderada,Forte queda,Forte queda
Administração (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Noturno,CN,4,4,-54.85,-53.83,-50.92,-45.56,5.36,11.3,18.96,4,4,Moderada,Moderada,Alta,Forte alta
Administração (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Noturno,EP_R1_NPPI,3,3,-45.66,6.08,-39.26,-0.51,38.74,7.32,8.34,4,4,Moderada,Moderada,Forte alta,Forte queda
Administração (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Noturno,EP_R1_PPI,2,2,-46.48,-16.59,-54.61,-19.74,34.87,19.93,7.73,4,4,Moderada,Moderada,Forte queda,Queda
Administração (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Noturno,EP_R2_NPPI,3,3,-63.33,12.2,-55.82,6.21,62.03,10.94,7.33,4,4,Moderada,Moderada,Forte alta,Forte queda
Administração (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Noturno,EP_R2_NPPIQ,1,1,-55.5,-4.82,-55.5,-4.82,50.69,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Administração (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Noturno,EP_R2_PPI,2,2,-84.17,-84.17,-85.75,-97.44,-11.7,3.86,32.51,4,4,Moderada,Moderada,Queda,Forte queda
Agronomia (Bacharelado),Darcy Ribeiro,Diurno,AC,1,1,-9.12,49.7,-9.12,49.7,58.82,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Agronomia (Bacharelado),Darcy Ribeiro,Diurno,CN,1,1,-13.14,11.95,-13.14,11.95,25.09,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Agronomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,1,1,-50.34,33.84,-50.34,33.84,84.18,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Agronomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,1,1,-60.36,-33.37,-60.36,-33.37,26.98,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Agronomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,1,1,-47.09,38.3,-47.09,38.3,85.39,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Agronomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,1,0,-79.6,,-79.6,,,0.0,,2,0,Baixa,Sem histórico,Estável,Indeterminada
Agronomia (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,AC,5,5,-5.38,112.17,-19.95,73.68,93.63,12.51,25.79,4,4,Moderada,Moderada,Forte queda,Forte queda
Agronomia (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,CN,4,4,-22.11,-14.13,-34.95,-7.58,27.36,15.54,5.56,4,4,Moderada,Moderada,Forte queda,Forte alta
Agronomia (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R1_NPPI,2,2,-28.6,19.27,-25.6,26.25,51.86,11.47,26.75,4,4,Moderada,Moderada,Alta,Forte alta
Agronomia (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R1_NPPIQ,1,1,-56.39,-56.39,-56.39,-56.39,0.0,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Agronomia (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R1_PPI,3,3,-64.65,-16.99,-67.88,-32.44,35.44,3.49,12.38,4,4,Alta,Moderada,Queda,Forte queda
Agronomia (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R2_NPPI,3,3,-35.88,1.05,-47.26,3.71,50.97,10.87,6.24,4,4,Moderada,Moderada,Forte queda,Alta
Agronomia (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R2_NPPIQ,1,1,-58.04,-13.04,-58.04,-13.04,44.99,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Agronomia (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R2_PPI,3,3,-61.92,-4.93,-66.08,-5.45,60.62,3.61,8.97,4,4,Alta,Moderada,Queda,Estável
Agronomia (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R2_PPIQ,1,1,-62.78,-36.2,-62.78,-36.2,26.58,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,AC,1,0,74.76,,74.76,,,0.0,,2,0,Baixa,Sem histórico,Estável,Indeterminada
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,CN,1,1,85.86,85.86,85.86,85.86,0.0,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,1,1,20.35,38.02,20.35,38.02,17.66,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,1,1,16.65,31.35,16.65,31.35,14.7,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,1,1,49.82,61.77,49.82,61.77,11.95,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,1,1,18.42,53.97,18.42,53.97,35.55,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Noturno,AC,1,1,19.18,76.57,19.18,76.57,57.39,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Noturno,CN,1,1,-2.69,-2.69,-2.69,-2.69,0.0,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_NPPI,1,1,-2.82,12.72,-2.82,12.72,15.53,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_PPI,1,1,-46.6,-28.78,-46.6,-28.78,17.82,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPI,1,1,-14.08,12.44,-14.08,12.44,26.52,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPI,1,1,-10.97,-10.97,-10.97,-10.97,0.0,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,AC,5,5,98.05,146.3,92.09,129.05,36.96,6.11,12.29,4,4,Moderada,Moderada,Forte queda,Forte queda
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,CN,5,5,65.15,65.15,61.06,60.0,-1.06,6.59,6.14,4,4,Moderada,Moderada,Queda,Forte queda
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R1_NPPI,3,3,-14.42,58.51,10.39,78.73,68.34,25.85,35.06,4,4,Moderada,Moderada,Forte alta,Forte alta
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R1_NPPIQ,1,1,-32.38,4.51,-32.38,4.51,36.88,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R1_PPI,3,3,-23.28,23.16,-17.46,30.67,48.12,7.6,5.99,4,4,Moderada,Moderada,Forte alta,Forte alta
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R2_NPPI,4,4,-33.97,4.71,-8.53,28.42,36.95,25.74,22.51,4,4,Moderada,Moderada,Forte alta,Forte alta
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R2_NPPIQ,1,1,65.5,97.82,65.5,97.82,32.32,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R2_PPI,3,3,-10.14,15.25,0.89,25.01,24.11,10.95,7.56,4,4,Moderada,Moderada,Forte alta,Forte alta
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R2_PPIQ,1,1,12.66,61.49,12.66,61.49,48.83,0.0,0.0,2,2,Baixa,Baixa,Estável,Estável
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Noturno,AC,5,5,48.14,74.13,46.0,60.9,14.9,11.28,9.08,4,4,Moderada,Moderada,Queda,Forte queda
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Noturno,CN,5,5,23.27,23.27,19.67,17.82,-1.85,23.6,21.7,4,4,Moderada,Moderada,Queda,Forte queda
Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Noturno,EP_R1_NPPI,2,2,-19.79,-19.79,-12.25,-24.0,-11.75,18.47,10.31,4,4,Moderada,Moderada,Forte alta,Queda
