id_oferta,id_oferta_num,curso,campus,turno,modalidade,observacoes_min,observacoes_max,primeira_nota_min,ultima_nota_min,primeira_nota_max,ultima_nota_max,media_historica_min,mediana_historica_min,minimo_historico_min,maximo_historico_min,amplitude_historica_min,desvio_historico_min,coef_var_min,consistencia_min,mudancas_min,volatilidade_min,media_historica_max,mediana_historica_max,minimo_historico_max,maximo_historico_max,amplitude_historica_max,desvio_historico_max,coef_var_max,consistencia_max,mudancas_max,volatilidade_max,persistencia_min,r2_persistencia_min,regressao_linear_min,r2_regressao_linear_min,regressao_ponderada_min,r2_regressao_ponderada_min,media_movel_min,r2_media_movel_min,persistencia_max,r2_persistencia_max,regressao_linear_max,r2_regressao_linear_max,regressao_ponderada_max,r2_regressao_ponderada_max,media_movel_max,r2_media_movel_max,ensemble_min,ensemble_mediana_min,ensemble_desvio_min,ensemble_amplitude_min,ensemble_n_modelos_min,ensemble_max,ensemble_mediana_max,ensemble_desvio_max,ensemble_amplitude_max,ensemble_n_modelos_max
Administração (Bacharelado) | Darcy Ribeiro | Diurno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,1,Administração (Bacharelado),Darcy Ribeiro,Diurno,AC,6,6,-5.813,38.131,69.035,99.156,26.868,37.418,-5.813,46.485,52.298,23.412,87.136,80.0,2.0,35.681,82.398,96.546,12.807,120.3,107.493,37.802,45.877,60.0,2,65.453,38.131,,37.962,0.064,28.688,-0.031,29.51,,99.156,,64.876,0.061,62.418,0.059,78.226,,33.573,33.736,5.177,9.443,4,76.169,71.551,16.825,36.738,4
Administração (Bacharelado) | Darcy Ribeiro | Noturno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,2,Administração (Bacharelado),Darcy Ribeiro,Noturno,AC,6,6,-98.9,-7.05,38.986,44.901,-38.006,-16.271,-98.9,-2.777,96.123,42.97,-113.06,60.0,2.0,68.732,40.601,47.522,-40.646,98.221,138.867,45.085,111.043,60.0,4,73.686,-7.05,,-17.479,0.065,-29.29,0.019,-33.119,,44.901,,2.085,0.209,0.305,0.208,31.431,,-21.734,-23.384,11.838,26.069,4,19.68,16.758,22.054,44.596,4
Administração (Bacharelado) | Darcy Ribeiro | Diurno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,3,Administração (Bacharelado),Darcy Ribeiro,Diurno,CN,6,6,-40.808,-12.58,3.022,6.842,-28.12,-26.694,-54.707,-4.981,49.726,22.874,-81.344,60.0,4.0,48.142,-7.373,1.368,-49.856,44.699,94.555,36.28,-492.069,60.0,3,76.162,-12.58,,-24.194,0.008,-23.703,0.008,-27.185,,6.842,,-10.52,0.002,-5.991,-0.007,-8.122,,-21.916,-23.949,6.411,14.605,4,-4.448,-7.057,7.751,17.362,4
Administração (Bacharelado) | Darcy Ribeiro | Noturno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,4,Administração (Bacharelado),Darcy Ribeiro,Noturno,CN,5,5,-3.806,-54.846,1.212,-53.83,-23.06,-6.548,-54.846,-1.176,53.67,26.464,-114.765,50.0,3.0,43.831,-6.654,1.212,-53.83,19.031,72.861,27.61,-414.944,50.0,1,29.73,-54.846,,-58.81,0.468,-59.141,0.467,-30.223,,-53.83,,-48.142,0.579,-59.904,0.455,-14.281,,-50.755,-56.828,13.826,28.918,4,-44.039,-50.986,20.412,45.623,4
Administração (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,5,Administração (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,4,4,-90.624,-59.221,-3.524,-21.197,-51.749,-50.495,-90.624,-15.383,75.241,31.566,-60.997,66.667,1.0,56.273,-2.144,-1.766,-21.197,16.153,37.35,15.322,-714.546,66.667,1,27.969,-59.221,,-34.793,0.077,-53.332,-0.096,-48.358,,-21.197,,-11.358,0.096,-19.532,-0.046,-3.987,,-48.926,-50.845,10.416,24.428,4,-14.019,-15.445,7.95,17.21,4
Administração (Bacharelado) | Darcy Ribeiro | Noturno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,6,Administração (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_NPPI,4,4,-64.264,-45.664,-17.504,6.082,-43.377,-40.222,-64.264,-28.8,35.464,15.577,-35.91,66.667,1.0,25.462,-8.615,-5.711,-34.78,11.743,46.523,21.557,-250.23,66.667,2,47.455,-45.664,,-30.922,0.17,-40.192,-0.007,-40.886,,6.082,,-2.556,0.021,-0.233,0.015,-7.403,,-39.416,-40.539,6.163,14.742,4,-1.028,-1.394,5.602,13.485,4
Administração (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_NPPIQ | EP=True | R=R1 | GE=NPPIQ | PCD=False | SM=1.0,7,Administração (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPIQ,1,1,-67.831,-67.831,-19.227,-19.227,-67.831,-67.831,-67.831,-67.831,0.0,0.0,0.0,100.0,0.0,0.0,-19.227,-19.227,-19.227,-19.227,0.0,0.0,0.0,100.0,0,0.0,-67.831,,,,,,-67.831,,-19.227,,,,,,-19.227,,-67.831,-67.831,0.0,0.0,2,-19.227,-19.227,0.0,0.0,2
Administração (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_PPI | EP=True | R=R1 | GE=PPI | PCD=False | SM=1.5,8,Administração (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,4,4,-32.289,-53.789,-1.11,-9.772,-42.766,-42.494,-53.789,-32.289,21.5,9.419,-22.024,100.0,0.0,1.148,7.238,7.574,-9.772,23.576,33.348,15.355,212.143,66.667,1,25.647,-53.789,,-60.975,0.997,-61.193,0.996,-46.408,,-9.772,,-1.088,0.078,-11.231,-0.14,5.573,,-55.591,-57.382,7.022,14.785,4,-4.13,-5.43,7.867,16.804,4
Administração (Bacharelado) | Darcy Ribeiro | Noturno | EP_R1_PPI | EP=True | R=R1 | GE=PPI | PCD=False | SM=1.5,9,Administração (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_PPI,3,3,2.342,-46.477,2.342,-16.586,-38.741,-46.477,-72.089,2.342,74.431,37.814,-97.606,50.0,1.0,70.741,-8.798,-12.149,-16.586,2.342,18.928,9.899,-112.519,100.0,0,7.109,-46.477,,-87.56,0.417,-70.886,0.335,-46.878,,-16.586,,-27.726,0.914,-26.05,0.902,-11.952,,-62.95,-58.882,19.986,41.083,4,-20.578,-21.318,7.558,15.773,4
Administração (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,10,Administração (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,5,5,-80.471,-77.484,-26.835,-34.03,-31.063,-11.331,-80.471,13.596,94.067,44.632,-143.68,75.0,1.0,66.797,22.259,33.653,-34.03,85.005,119.035,51.531,231.504,75.0,1,78.449,-77.484,,-21.793,0.012,-53.685,-0.275,-29.003,,-34.03,,2.537,0.041,-32.203,-0.214,17.876,,-45.491,-41.344,25.325,55.691,4,-11.455,-14.833,25.795,51.906,4
Administração (Bacharelado) | Darcy Ribeiro | Noturno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,11,Administração (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPI,4,4,-30.302,-63.326,31.847,12.204,-28.627,-21.404,-63.326,-8.376,54.95,25.012,-87.372,66.667,1.0,36.858,15.661,13.598,3.601,31.847,28.246,11.83,75.538,66.667,1,13.402,-63.326,,-54.427,0.284,-68.977,0.115,-33.787,,12.204,,-1.919,0.589,3.173,0.496,12.145,,-55.129,-58.877,15.437,35.19,4,6.401,7.659,6.984,14.123,4
