trienio,indice_trienio,Ano,campus,curso,turno,modalidade,modalidade_normalizada,escola_publica,faixa_renda,grupo_etnico,pcd,limite_salario_minimo,Nota Mínima,Nota Máxima
2018-2020,1,2020,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Diurno,AC,AC,False,,,False,,-5.813,69.035
2018-2020,1,2020,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Noturno,AC,AC,False,,,False,,-98.9,38.986
2019-2021,2,2021,Darcy Ribeiro,Administração (Bacharelado),Diurno,AC,AC,False,,,False,,36.705,120.3
2019-2021,2,2021,Darcy Ribeiro,Administração (Bacharelado),Noturno,AC,AC,False,,,False,,-2.777,98.221
2020-2022,3,2022,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Diurno,AC,AC,False,,,False,,45.565,98.219
2020-2022,3,2022,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Noturno,AC,AC,False,,,False,,-15.266,50.144
2021-2023,4,2023,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Diurno,AC,AC,False,,,False,,46.485,94.873
2021-2023,4,2023,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Noturno,AC,AC,False,,,False,,-17.276,52.003
2022-2024,5,2024,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Diurno,AC,AC,False,,,False,,0.137,12.807
2022-2024,5,2024,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Noturno,AC,AC,False,,,False,,-86.767,-40.646
2023-2025,6,2025,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Diurno,AC,AC,False,,,False,,38.131,99.156
2023-2025,6,2025,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Noturno,AC,AC,False,,,False,,-7.05,44.901
2018-2020,1,2020,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,-40.808,3.022
2018-2020,1,2020,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Noturno,CN,CN,False,,NEGROS,False,,-3.806,1.212
2019-2021,2,2021,Darcy Ribeiro,Administração (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,-5.786,-0.285
2019-2021,2,2021,Darcy Ribeiro,Administração (Bacharelado),Noturno,CN,CN,False,,NEGROS,False,,-1.176,2.32
2020-2022,3,2022,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,-49.856,-49.856
2020-2022,3,2022,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Noturno,CN,CN,False,,NEGROS,False,,-48.922,19.031
2021-2023,4,2023,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,-4.981,44.699
2021-2023,4,2023,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Noturno,CN,CN,False,,NEGROS,False,,-6.548,-2.003
2022-2024,5,2024,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,-54.707,-48.66
2023-2025,6,2025,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,-12.58,6.842
2023-2025,6,2025,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Noturno,CN,CN,False,,NEGROS,False,,-54.846,-53.83
2018-2020,1,2020,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-90.624,-3.524
2018-2020,1,2020,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Noturno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-64.264,-17.504
2019-2021,2,2021,Darcy Ribeiro,Administração (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-15.383,-0.009
2019-2021,2,2021,Darcy Ribeiro,Administração (Bacharelado),Noturno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-28.8,11.743
2020-2022,3,2022,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-41.769,16.153
2020-2022,3,2022,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Noturno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-34.78,-34.78
2021-2023,4,2023,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-59.221,-21.197
2021-2023,4,2023,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Noturno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-45.664,6.082
2023-2025,6,2025,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Diurno,EP_R1_NPPIQ,EP_R1_NPPIQ,True,R1,NPPIQ,False,1.0,-67.831,-19.227
2018-2020,1,2020,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-32.289,-1.11
2018-2020,1,2020,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Noturno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,2.342,2.342
2019-2021,2,2021,Darcy Ribeiro,Administração (Bacharelado),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-38.327,23.576
2019-2021,2,2021,Darcy Ribeiro,Administração (Bacharelado),Noturno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-72.089,-12.149
2020-2022,3,2022,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-46.661,16.258
2020-2022,3,2022,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Noturno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-46.477,-16.586
2021-2023,4,2023,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-53.789,-9.772
2018-2020,1,2020,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-80.471,-26.835
2018-2020,1,2020,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Noturno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-30.302,31.847
2019-2021,2,2021,Darcy Ribeiro,Administração (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-11.331,85.005
2019-2021,2,2021,Darcy Ribeiro,Administração (Bacharelado),Noturno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-8.376,14.991
2020-2022,3,2022,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,0.373,53.503
2020-2022,3,2022,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Noturno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-12.505,3.601
2021-2023,4,2023,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,13.596,33.653
2021-2023,4,2023,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Noturno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-63.326,12.204
2022-2024,5,2024,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-77.484,-34.03
2023-2025,6,2025,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Diurno,EP_R2_NPPIQ,EP_R2_NPPIQ,True,R2,NPPIQ,False,1.0,-17.433,18.394
2023-2025,6,2025,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Noturno,EP_R2_NPPIQ,EP_R2_NPPIQ,True,R2,NPPIQ,False,1.0,-55.503,-4.817
2018-2020,1,2020,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-66.919,-1.149
2018-2020,1,2020,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Noturno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-74.731,-4.551
2019-2021,2,2021,Darcy Ribeiro,Administração (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-32.915,0.643
2019-2021,2,2021,Darcy Ribeiro,Administração (Bacharelado),Noturno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-51.667,-6.11
2020-2022,3,2022,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-14.213,17.044
2020-2022,3,2022,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Noturno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-84.174,-84.174
2021-2023,4,2023,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-51.29,2.093
2023-2025,6,2025,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Diurno,EP_R2_PPIQ,EP_R2_PPIQ,True,R2,PPIQ,False,1.0,-25.422,-3.245
2018-2020,1,2020,Darcy Ribeiro (Plano Piloto) / DF,Agronomia (Bacharelado),Diurno,AC,AC,False,,,False,,-82.562,39.359
2019-2021,2,2021,Darcy Ribeiro,Agronomia (Bacharelado),Diurno,AC,AC,False,,,False,,-9.125,49.697
2020-2022,3,2022,Darcy Ribeiro (Plano Piloto) / DF,Agronomia (Bacharelado),Diurno,AC,AC,False,,,False,,-6.614,104.416
2021-2023,4,2023,Darcy Ribeiro (Plano Piloto) / DF,Agronomia (Bacharelado),Diurno,AC,AC,False,,,False,,-7.422,85.304
2022-2024,5,2024,Darcy Ribeiro (Plano Piloto) / DF,Agronomia (Bacharelado),Diurno,AC,AC,False,,,False,,-95.148,-49.448
2023-2025,6,2025,Darcy Ribeiro (Plano Piloto) / DF,Agronomia (Bacharelado),Diurno,AC,AC,False,,,False,,-5.377,112.172
2018-2020,1,2020,Darcy Ribeiro (Plano Piloto) / DF,Agronomia (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,-56.023,-9.606
2019-2021,2,2021,Darcy Ribeiro,Agronomia (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,-13.14,11.95
2020-2022,3,2022,Darcy Ribeiro (Plano Piloto) / DF,Agronomia (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,-74.847,-66.324
2021-2023,4,2023,Darcy Ribeiro (Plano Piloto) / DF,Agronomia (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,-86.604,32.518
2023-2025,6,2025,Darcy Ribeiro (Plano Piloto) / DF,Agronomia (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,-22.112,-14.127
2018-2020,1,2020,Darcy Ribeiro (Plano Piloto) / DF,Agronomia (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-64.547,-64.547
2019-2021,2,2021,Darcy Ribeiro,Agronomia (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-50.337,33.84
2021-2023,4,2023,Darcy Ribeiro (Plano Piloto) / DF,Agronomia (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-28.599,19.269
2023-2025,6,2025,Darcy Ribeiro (Plano Piloto) / DF,Agronomia (Bacharelado),Diurno,EP_R1_NPPIQ,EP_R1_NPPIQ,True,R1,NPPIQ,False,1.0,-56.39,-56.39
2018-2020,1,2020,Darcy Ribeiro (Plano Piloto) / DF,Agronomia (Bacharelado),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-73.408,-29.038
2019-2021,2,2021,Darcy Ribeiro,Agronomia (Bacharelado),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-60.355,-33.373
2020-2022,3,2022,Darcy Ribeiro (Plano Piloto) / DF,Agronomia (Bacharelado),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-82.722,-82.722
2021-2023,4,2023,Darcy Ribeiro (Plano Piloto) / DF,Agronomia (Bacharelado),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-64.647,-16.992
2018-2020,1,2020,Darcy Ribeiro (Plano Piloto) / DF,Agronomia (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-58.889,21.927
2019-2021,2,2021,Darcy Ribeiro,Agronomia (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-47.09,38.297
2020-2022,3,2022,Darcy Ribeiro (Plano Piloto) / DF,Agronomia (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-94.126,25.397
2021-2023,4,2023,Darcy Ribeiro (Plano Piloto) / DF,Agronomia (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-35.875,1.054
2023-2025,6,2025,Darcy Ribeiro (Plano Piloto) / DF,Agronomia (Bacharelado),Diurno,EP_R2_NPPIQ,EP_R2_NPPIQ,True,R2,NPPIQ,False,1.0,-58.036,-13.042
2018-2020,1,2020,Darcy Ribeiro (Plano Piloto) / DF,Agronomia (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-67.906,-36.5
2019-2021,2,2021,Darcy Ribeiro,Agronomia (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-79.596,
2020-2022,3,2022,Darcy Ribeiro (Plano Piloto) / DF,Agronomia (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-81.527,-28.783
2021-2023,4,2023,Darcy Ribeiro (Plano Piloto) / DF,Agronomia (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-61.917,-4.933
2023-2025,6,2025,Darcy Ribeiro (Plano Piloto) / DF,Agronomia (Bacharelado),Diurno,EP_R2_PPIQ,EP_R2_PPIQ,True,R2,PPIQ,False,1.0,-62.778,-36.2
2018-2020,1,2020,Darcy Ribeiro (Plano Piloto) / DF,Arquitetura e Urbanismo (Bacharelado),Diurno,AC,AC,False,,,False,,65.986,111.643
2018-2020,1,2020,Darcy Ribeiro (Plano Piloto) / DF,Arquitetura e Urbanismo (Bacharelado),Noturno,AC,AC,False,,,False,,-31.822,62.419
2019-2021,2,2021,Darcy Ribeiro,Arquitetura e Urbanismo (Bacharelado),Diurno,AC,AC,False,,,False,,74.758,
2019-2021,2,2021,Darcy Ribeiro,Arquitetura e Urbanismo (Bacharelado),Noturno,AC,AC,False,,,False,,19.181,76.568
2020-2022,3,2022,Darcy Ribeiro (Plano Piloto) / DF,Arquitetura e Urbanismo (Bacharelado),Diurno,AC,AC,False,,,False,,84.147,121.99
2020-2022,3,2022,Darcy Ribeiro (Plano Piloto) / DF,Arquitetura e Urbanismo (Bacharelado),Noturno,AC,AC,False,,,False,,53.202,67.911
2021-2023,4,2023,Darcy Ribeiro (Plano Piloto) / DF,Arquitetura e Urbanismo (Bacharelado),Diurno,AC,AC,False,,,False,,89.757,125.136
2021-2023,4,2023,Darcy Ribeiro (Plano Piloto) / DF,Arquitetura e Urbanismo (Bacharelado),Noturno,AC,AC,False,,,False,,61.623,87.641
2022-2024,5,2024,Darcy Ribeiro (Plano Piloto) / DF,Arquitetura e Urbanismo (Bacharelado),Diurno,AC,AC,False,,,False,,64.82,77.537
2022-2024,5,2024,Darcy Ribeiro (Plano Piloto) / DF,Arquitetura e Urbanismo (Bacharelado),Noturno,AC,AC,False,,,False,,-5.784,15.316
2023-2025,6,2025,Darcy Ribeiro (Plano Piloto) / DF,Arquitetura e Urbanismo (Bacharelado),Diurno,AC,AC,False,,,False,,98.047,146.303
2023-2025,6,2025,Darcy Ribeiro (Plano Piloto) / DF,Arquitetura e Urbanismo (Bacharelado),Noturno,AC,AC,False,,,False,,48.138,74.131
2018-2020,1,2020,Darcy Ribeiro (Plano Piloto) / DF,Arquitetura e Urbanismo (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,46.911,54.412
2018-2020,1,2020,Darcy Ribeiro (Plano Piloto) / DF,Arquitetura e Urbanismo (Bacharelado),Noturno,CN,CN,False,,NEGROS,False,,-66.223,-53.075
2019-2021,2,2021,Darcy Ribeiro,Arquitetura e Urbanismo (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,85.859,85.859
2019-2021,2,2021,Darcy Ribeiro,Arquitetura e Urbanismo (Bacharelado),Noturno,CN,CN,False,,NEGROS,False,,-2.692,-2.692
2020-2022,3,2022,Darcy Ribeiro (Plano Piloto) / DF,Arquitetura e Urbanismo (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,27.497,27.497
2020-2022,3,2022,Darcy Ribeiro (Plano Piloto) / DF,Arquitetura e Urbanismo (Bacharelado),Noturno,CN,CN,False,,NEGROS,False,,-56.427,-56.427
2021-2023,4,2023,Darcy Ribeiro (Plano Piloto) / DF,Arquitetura e Urbanismo (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,53.175,53.175
2021-2023,4,2023,Darcy Ribeiro (Plano Piloto) / DF,Arquitetura e Urbanismo (Bacharelado),Noturno,CN,CN,False,,NEGROS,False,,-49.856,-49.856
2022-2024,5,2024,Darcy Ribeiro (Plano Piloto) / DF,Arquitetura e Urbanismo (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,47.865,47.865
2022-2024,5,2024,Darcy Ribeiro (Plano Piloto) / DF,Arquitetura e Urbanismo (Bacharelado),Noturno,CN,CN,False,,NEGROS,False,,0.302,0.302
2023-2025,6,2025,Darcy Ribeiro (Plano Piloto) / DF,Arquitetura e Urbanismo (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,65.15,65.15
2023-2025,6,2025,Darcy Ribeiro (Plano Piloto) / DF,Arquitetura e Urbanismo (Bacharelado),Noturno,CN,CN,False,,NEGROS,False,,23.271,23.271
2018-2020,1,2020,Darcy Ribeiro (Plano Piloto) / DF,Arquitetura e Urbanismo (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-74.003,-50.838
2018-2020,1,2020,Darcy Ribeiro (Plano Piloto) / DF,Arquitetura e Urbanismo (Bacharelado),Noturno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-65.025,5.459
2019-2021,2,2021,Darcy Ribeiro,Arquitetura e Urbanismo (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,20.353,38.018
2019-2021,2,2021,Darcy Ribeiro,Arquitetura e Urbanismo (Bacharelado),Noturno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-2.815,12.718
2020-2022,3,2022,Darcy Ribeiro (Plano Piloto) / DF,Arquitetura e Urbanismo (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,36.319,57.664
2020-2022,3,2022,Darcy Ribeiro (Plano Piloto) / DF,Arquitetura e Urbanismo (Bacharelado),Noturno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-19.787,-19.787
2021-2023,4,2023,Darcy Ribeiro (Plano Piloto) / DF,Arquitetura e Urbanismo (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-14.415,58.507
2023-2025,6,2025,Darcy Ribeiro (Plano Piloto) / DF,Arquitetura e Urbanismo (Bacharelado),Diurno,EP_R1_NPPIQ,EP_R1_NPPIQ,True,R1,NPPIQ,False,1.0,-32.379,4.506
2018-2020,1,2020,Darcy Ribeiro (Plano Piloto) / DF,Arquitetura e Urbanismo (Bacharelado),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-44.527,18.536
2019-2021,2,2021,Darcy Ribeiro,Arquitetura e Urbanismo (Bacharelado),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,16.653,31.35
2019-2021,2,2021,Darcy Ribeiro,Arquitetura e Urbanismo (Bacharelado),Noturno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-46.6,-28.781
2020-2022,3,2022,Darcy Ribeiro (Plano Piloto) / DF,Arquitetura e Urbanismo (Bacharelado),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-16.413,47.826
2020-2022,3,2022,Darcy Ribeiro (Plano Piloto) / DF,Arquitetura e Urbanismo (Bacharelado),Noturno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-6.545,-6.545
2021-2023,4,2023,Darcy Ribeiro (Plano Piloto) / DF,Arquitetura e Urbanismo (Bacharelado),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-23.28,23.159
2021-2023,4,2023,Darcy Ribeiro (Plano Piloto) / DF,Arquitetura e Urbanismo (Bacharelado),Noturno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-20.256,-20.256
2018-2020,1,2020,Darcy Ribeiro (Plano Piloto) / DF,Arquitetura e Urbanismo (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,23.187,39.321
2018-2020,1,2020,Darcy Ribeiro (Plano Piloto) / DF,Arquitetura e Urbanismo (Bacharelado),Noturno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-25.804,12.181
