trienio,indice_trienio,Ano,campus,curso,turno,modalidade,modalidade_normalizada,escola_publica,faixa_renda,grupo_etnico,pcd,limite_salario_minimo,Nota Mínima,Nota Máxima,id_curso,id_curso_campus,id_curso_turno,id_curso_modalidade,id_curso_campus_turno,id_oferta,id_oferta_num,amplitude,delta_min,delta_max,delta_amplitude,ordem,total_trienios
2018-2020,1,2020,Darcy Ribeiro,Administração (Bacharelado),Diurno,AC,AC,False,,,False,,-5.813,69.035,Administração (Bacharelado),Administração (Bacharelado) | Darcy Ribeiro,Administração (Bacharelado) | Diurno,Administração (Bacharelado) | AC,Administração (Bacharelado) | Darcy Ribeiro | Diurno,Administração (Bacharelado) | Darcy Ribeiro | Diurno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,1,74.848,,,,1,6
2019-2021,2,2021,Darcy Ribeiro,Administração (Bacharelado),Diurno,AC,AC,False,,,False,,36.705,120.3,Administração (Bacharelado),Administração (Bacharelado) | Darcy Ribeiro,Administração (Bacharelado) | Diurno,Administração (Bacharelado) | AC,Administração (Bacharelado) | Darcy Ribeiro | Diurno,Administração (Bacharelado) | Darcy Ribeiro | Diurno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,1,83.595,42.518,51.265,8.747,2,6
2020-2022,3,2022,Darcy Ribeiro,Administração (Bacharelado),Diurno,AC,AC,False,,,False,,45.565,98.219,Administração (Bacharelado),Administração (Bacharelado) | Darcy Ribeiro,Administração (Bacharelado) | Diurno,Administração (Bacharelado) | AC,Administração (Bacharelado) | Darcy Ribeiro | Diurno,Administração (Bacharelado) | Darcy Ribeiro | Diurno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,1,52.653999999999996,8.86,-22.081000000000003,-30.941000000000003,3,6
2021-2023,4,2023,Darcy Ribeiro,Administração (Bacharelado),Diurno,AC,AC,False,,,False,,46.485,94.873,Administração (Bacharelado),Administração (Bacharelado) | Darcy Ribeiro,Administração (Bacharelado) | Diurno,Administração (Bacharelado) | AC,Administração (Bacharelado) | Darcy Ribeiro | Diurno,Administração (Bacharelado) | Darcy Ribeiro | Diurno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,1,48.388000000000005,0.9200000000000017,-3.3459999999999894,-4.265999999999991,4,6
2022-2024,5,2024,Darcy Ribeiro,Administração (Bacharelado),Diurno,AC,AC,False,,,False,,0.137,12.807,Administração (Bacharelado),Administração (Bacharelado) | Darcy Ribeiro,Administração (Bacharelado) | Diurno,Administração (Bacharelado) | AC,Administração (Bacharelado) | Darcy Ribeiro | Diurno,Administração (Bacharelado) | Darcy Ribeiro | Diurno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,1,12.67,-46.348,-82.066,-35.718,5,6
2023-2025,6,2025,Darcy Ribeiro,Administração (Bacharelado),Diurno,AC,AC,False,,,False,,38.131,99.156,Administração (Bacharelado),Administração (Bacharelado) | Darcy Ribeiro,Administração (Bacharelado) | Diurno,Administração (Bacharelado) | AC,Administração (Bacharelado) | Darcy Ribeiro | Diurno,Administração (Bacharelado) | Darcy Ribeiro | Diurno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,1,61.025000000000006,37.994,86.349,48.355000000000004,6,6
2018-2020,1,2020,Darcy Ribeiro,Administração (Bacharelado),Noturno,AC,AC,False,,,False,,-98.9,38.986,Administração (Bacharelado),Administração (Bacharelado) | Darcy Ribeiro,Administração (Bacharelado) | Noturno,Administração (Bacharelado) | AC,Administração (Bacharelado) | Darcy Ribeiro | Noturno,Administração (Bacharelado) | Darcy Ribeiro | Noturno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,2,137.886,,,,1,6
2019-2021,2,2021,Darcy Ribeiro,Administração (Bacharelado),Noturno,AC,AC,False,,,False,,-2.777,98.221,Administração (Bacharelado),Administração (Bacharelado) | Darcy Ribeiro,Administração (Bacharelado) | Noturno,Administração (Bacharelado) | AC,Administração (Bacharelado) | Darcy Ribeiro | Noturno,Administração (Bacharelado) | Darcy Ribeiro | Noturno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,2,100.998,96.123,59.23500000000001,-36.88799999999999,2,6
2020-2022,3,2022,Darcy Ribeiro,Administração (Bacharelado),Noturno,AC,AC,False,,,False,,-15.266,50.144,Administração (Bacharelado),Administração (Bacharelado) | Darcy Ribeiro,Administração (Bacharelado) | Noturno,Administração (Bacharelado) | AC,Administração (Bacharelado) | Darcy Ribeiro | Noturno,Administração (Bacharelado) | Darcy Ribeiro | Noturno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,2,65.41,-12.489,-48.077000000000005,-35.58800000000001,3,6
2021-2023,4,2023,Darcy Ribeiro,Administração (Bacharelado),Noturno,AC,AC,False,,,False,,-17.276,52.003,Administração (Bacharelado),Administração (Bacharelado) | Darcy Ribeiro,Administração (Bacharelado) | Noturno,Administração (Bacharelado) | AC,Administração (Bacharelado) | Darcy Ribeiro | Noturno,Administração (Bacharelado) | Darcy Ribeiro | Noturno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,2,69.279,-2.01,1.8590000000000018,3.8689999999999998,4,6
2022-2024,5,2024,Darcy Ribeiro,Administração (Bacharelado),Noturno,AC,AC,False,,,False,,-86.767,-40.646,Administração (Bacharelado),Administração (Bacharelado) | Darcy Ribeiro,Administração (Bacharelado) | Noturno,Administração (Bacharelado) | AC,Administração (Bacharelado) | Darcy Ribeiro | Noturno,Administração (Bacharelado) | Darcy Ribeiro | Noturno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,2,46.120999999999995,-69.491,-92.649,-23.158,5,6
