id_oferta,id_oferta_num,curso,campus,turno,modalidade_normalizada,classe,velocidade_min,velocidade_max,consistencia,mudancas_direcao,coef_var_min,coef_var_max,indice_confiabilidade,confiabilidade,tendencia
Administração (Bacharelado) | Darcy Ribeiro (Plano Piloto) / DF | Diurno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,3,Administração (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,AC,Oscilante,10.986,7.53,50.0,2,102.867,49.204,61.5,Média,Oscilante (Média)
Administração (Bacharelado) | Darcy Ribeiro (Plano Piloto) / DF | Noturno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,4,Administração (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Noturno,AC,Oscilante,22.962,1.479,75.0,2,-97.657,135.17,73.6,Alta,Oscilante (Alta)
Administração (Bacharelado) | Darcy Ribeiro (Plano Piloto) / DF | Diurno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,7,Administração (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,CN,Oscilante,7.057,0.955,50.0,3,-68.919,-459.312,55.0,Média,Oscilante (Média)
Administração (Bacharelado) | Darcy Ribeiro (Plano Piloto) / DF | Noturno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,8,Administração (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Noturno,CN,Oscilante,-17.013,-18.347,66.7,1,-94.978,-352.358,76.7,Alta,Oscilante (Alta)
Administração (Bacharelado) | Darcy Ribeiro (Plano Piloto) / DF | Diurno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,11,Administração (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R1_NPPI,Oscilante,15.702,-8.836,50.0,1,-38.761,-654.2,68.3,Média,Oscilante (Média)
Administração (Bacharelado) | Darcy Ribeiro (Plano Piloto) / DF | Noturno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,12,Administração (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Noturno,EP_R1_NPPI,Oscilante,9.3,11.793,50.0,1,-30.909,-133.189,68.3,Média,Oscilante (Média)
Administração (Bacharelado) | Darcy Ribeiro (Plano Piloto) / DF | Diurno | EP_R1_PPI | EP=True | R=R1 | GE=PPI | PCD=False | SM=1.5,16,Administração (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R1_PPI,Oscilante,-10.75,-4.331,50.0,1,-24.751,739.7,65.4,Média,Oscilante (Média)
Administração (Bacharelado) | Darcy Ribeiro (Plano Piloto) / DF | Noturno | EP_R1_PPI | EP=True | R=R1 | GE=PPI | PCD=False | SM=1.5,17,Administração (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Noturno,EP_R1_PPI,Queda,-48.819,-18.928,100.0,0,-156.43,-187.926,100.0,Muito Alta,Queda (Muito Alta)
Administração (Bacharelado) | Darcy Ribeiro (Plano Piloto) / DF | Diurno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,20,Administração (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R2_NPPI,Oscilante,0.996,-2.398,66.7,1,-138.73,663.203,74.1,Alta,Oscilante (Alta)
Administração (Bacharelado) | Darcy Ribeiro (Plano Piloto) / DF | Noturno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,21,Administração (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Noturno,EP_R2_NPPI,Oscilante,-16.512,-9.822,50.0,1,-72.893,91.149,68.0,Média,Oscilante (Média)
Administração (Bacharelado) | Darcy Ribeiro (Plano Piloto) / DF | Diurno | EP_R2_PPI | EP=True | R=R2 | GE=PPI | PCD=False | SM=1.5,26,Administração (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R2_PPI,Oscilante,7.814,1.621,50.0,1,-61.328,161.844,67.7,Média,Oscilante (Média)
Administração (Bacharelado) | Darcy Ribeiro (Plano Piloto) / DF | Noturno | EP_R2_PPI | EP=True | R=R2 | GE=PPI | PCD=False | SM=1.5,27,Administração (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Noturno,EP_R2_PPI,Queda,-9.443,-79.623,100.0,0,-8.404,-126.913,100.0,Muito Alta,Queda (Muito Alta)
Agronomia (Bacharelado) | Darcy Ribeiro (Plano Piloto) / DF | Diurno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,30,Agronomia (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,AC,Oscilante,19.296,18.203,50.0,2,-115.025,114.067,61.2,Média,Oscilante (Média)
Agronomia (Bacharelado) | Darcy Ribeiro (Plano Piloto) / DF | Diurno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,32,Agronomia (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,CN,Oscilante,11.304,-1.507,66.7,2,-47.02,-281.54,70.0,Alta,Oscilante (Alta)
Agronomia (Bacharelado) | Darcy Ribeiro (Plano Piloto) / DF | Diurno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,34,Agronomia (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R1_NPPI,Crescimento,35.948,83.816,100.0,0,-54.579,-261.791,100.0,Muito Alta,Crescimento (Muito Alta)
Agronomia (Bacharelado) | Darcy Ribeiro (Plano Piloto) / DF | Diurno | EP_R1_PPI | EP=True | R=R1 | GE=PPI | PCD=False | SM=1.5,37,Agronomia (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R1_PPI,Oscilante,4.38,6.023,50.0,1,-12.282,-81.538,68.3,Média,Oscilante (Média)
Agronomia (Bacharelado) | Darcy Ribeiro (Plano Piloto) / DF | Diurno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,39,Agronomia (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R2_NPPI,Oscilante,11.507,-10.436,50.0,1,-46.596,81.654,68.0,Média,Oscilante (Média)
Agronomia (Bacharelado) | Darcy Ribeiro (Plano Piloto) / DF | Diurno | EP_R2_PPI | EP=True | R=R2 | GE=PPI | PCD=False | SM=1.5,42,Agronomia (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R2_PPI,Crescimento,2.995,15.784,100.0,0,-14.265,-70.31,100.0,Muito Alta,Crescimento (Muito Alta)
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro (Plano Piloto) / DF | Diurno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,46,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,AC,Oscilante,8.015,8.665,75.0,2,18.239,21.603,74.1,Alta,Oscilante (Alta)
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro (Plano Piloto) / DF | Noturno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,47,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Noturno,AC,Oscilante,19.99,2.928,75.0,2,165.038,44.674,74.0,Alta,Oscilante (Alta)
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro (Plano Piloto) / DF | Diurno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,50,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,CN,Oscilante,4.56,2.685,50.0,3,28.312,27.949,54.9,Baixa,Oscilante (Baixa)
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro (Plano Piloto) / DF | Noturno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,51,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Noturno,CN,Oscilante,22.374,19.086,75.0,1,-131.752,-134.551,80.8,Alta,Oscilante (Alta)
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro (Plano Piloto) / DF | Diurno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,54,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R1_NPPI,Crescimento,29.794,54.672,100.0,0,-317.973,288.775,98.9,Muito Alta,Crescimento (Muito Alta)
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro (Plano Piloto) / DF | Noturno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,55,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Noturno,EP_R1_NPPI,Queda,45.238,-25.246,100.0,0,-75.433,-249.185,100.0,Muito Alta,Queda (Muito Alta)
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro (Plano Piloto) / DF | Diurno | EP_R1_PPI | EP=True | R=R1 | GE=PPI | PCD=False | SM=1.5,59,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R1_PPI,Oscilante,10.624,2.311,50.0,1,-52.21,52.77,68.1,Média,Oscilante (Média)
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro (Plano Piloto) / DF | Noturno | EP_R1_PPI | EP=True | R=R1 | GE=PPI | PCD=False | SM=1.5,60,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Noturno,EP_R1_PPI,Queda,-13.711,-13.711,100.0,0,-72.349,-72.349,100.0,Muito Alta,Queda (Muito Alta)
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro (Plano Piloto) / DF | Diurno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,63,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R2_NPPI,Oscilante,-19.052,-11.538,66.7,1,156.703,78.43,76.4,Alta,Oscilante (Alta)
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro (Plano Piloto) / DF | Noturno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,64,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Noturno,EP_R2_NPPI,Oscilante,-9.108,12.826,50.0,1,-29.328,160.408,67.7,Média,Oscilante (Média)
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro (Plano Piloto) / DF | Diurno | EP_R2_PPI | EP=True | R=R2 | GE=PPI | PCD=False | SM=1.5,69,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,EP_R2_PPI,Oscilante,11.753,-0.871,50.0,1,-246.664,74.657,68.0,Média,Oscilante (Média)
Arquitetura e Urbanismo (Bacharelado) | Darcy Ribeiro (Plano Piloto) / DF | Noturno | EP_R2_PPI | EP=True | R=R2 | GE=PPI | PCD=False | SM=1.5,70,Arquitetura e Urbanismo (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Noturno,EP_R2_PPI,Oscilante,-11.003,-11.003,50.0,1,-71.528,-81.9,68.3,Média,Oscilante (Média)
Arquivologia (Bacharelado) | Darcy Ribeiro (Plano Piloto) / DF | Noturno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,73,Arquivologia (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Noturno,AC,Oscilante,-3.855,17.392,66.7,2,-25.195,226.545,69.1,Média,Oscilante (Média)
Arquivologia (Bacharelado) | Darcy Ribeiro (Plano Piloto) / DF | Noturno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,75,Arquivologia (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Noturno,CN,Crescimento,81.449,81.449,100.0,0,-188.808,-188.808,100.0,Muito Alta,Crescimento (Muito Alta)
Arquivologia (Bacharelado) | Darcy Ribeiro (Plano Piloto) / DF | Noturno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,76,Arquivologia (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Noturno,EP_R1_NPPI,Crescimento,17.256,28.777,100.0,0,-31.009,-60.581,100.0,Muito Alta,Crescimento (Muito Alta)
Arquivologia (Bacharelado) | Darcy Ribeiro (Plano Piloto) / DF | Noturno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,78,Arquivologia (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Noturno,EP_R2_NPPI,Crescimento,21.112,25.375,100.0,0,-33.027,-41.66,100.0,Muito Alta,Crescimento (Muito Alta)
Arquivologia (Bacharelado) | Darcy Ribeiro (Plano Piloto) / DF | Noturno | EP_R2_PPI | EP=True | R=R2 | GE=PPI | PCD=False | SM=1.5,80,Arquivologia (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Noturno,EP_R2_PPI,Queda,-30.19,-32.143,100.0,0,-41.601,-45.151,100.0,Muito Alta,Queda (Muito Alta)
Artes Cênicas (Bacharelado) | Darcy Ribeiro (Plano Piloto) / DF | Diurno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,82,Artes Cênicas (Bacharelado),Darcy Ribeiro (Plano Piloto) / DF,Diurno,AC,Oscilante,14.91,-1.196,75.0,2,-1450.094,54.968,73.9,Alta,Oscilante (Alta)
