id_oferta,id_oferta_num,curso,campus,turno,modalidade_normalizada,classe,velocidade_min,velocidade_max,consistencia,mudancas_direcao,coef_var_min,coef_var_max
Administração (Bacharelado) | Darcy Ribeiro | Diurno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,1,Administração (Bacharelado),Darcy Ribeiro,Diurno,AC,Oscilante,8.789,6.024,60.0,2,87.136,45.877
Administração (Bacharelado) | Darcy Ribeiro | Noturno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,2,Administração (Bacharelado),Darcy Ribeiro,Noturno,AC,Oscilante,18.37,1.183,60.0,4,-113.06,111.043
Administração (Bacharelado) | Darcy Ribeiro | Diurno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,3,Administração (Bacharelado),Darcy Ribeiro,Diurno,CN,Oscilante,5.646,0.764,60.0,3,-81.344,-492.069
Administração (Bacharelado) | Darcy Ribeiro | Noturno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,4,Administração (Bacharelado),Darcy Ribeiro,Noturno,CN,Oscilante,-12.76,-13.76,50.0,1,-114.765,-414.944
Administração (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,5,Administração (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,Oscilante,10.468,-5.891,66.7,1,-60.997,-714.546
Administração (Bacharelado) | Darcy Ribeiro | Noturno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,6,Administração (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_NPPI,Oscilante,6.2,7.862,66.7,2,-35.91,-250.23
Administração (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_PPI | EP=True | R=R1 | GE=PPI | PCD=False | SM=1.5,8,Administração (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,Oscilante,-7.167,-2.887,66.7,1,-22.024,212.143
Administração (Bacharelado) | Darcy Ribeiro | Noturno | EP_R1_PPI | EP=True | R=R1 | GE=PPI | PCD=False | SM=1.5,9,Administração (Bacharelado),Darcy Ribeiro,Noturno,EP_R1_PPI,Queda,-24.409,-9.464,100.0,0,-97.606,-112.519
Administração (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,10,Administração (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,Oscilante,0.747,-1.799,75.0,1,-143.68,231.504
Administração (Bacharelado) | Darcy Ribeiro | Noturno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,11,Administração (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_NPPI,Oscilante,-11.008,-6.548,66.7,1,-87.372,75.538
Administração (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_PPI | EP=True | R=R2 | GE=PPI | PCD=False | SM=1.5,14,Administração (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_PPI,Oscilante,5.21,1.081,66.7,1,-55.171,179.556
Administração (Bacharelado) | Darcy Ribeiro | Noturno | EP_R2_PPI | EP=True | R=R2 | GE=PPI | PCD=False | SM=1.5,15,Administração (Bacharelado),Darcy Ribeiro,Noturno,EP_R2_PPI,Queda,-4.722,-39.812,100.0,0,-23.824,-144.02
Agronomia (Bacharelado) | Darcy Ribeiro | Diurno | AC | EP=False | R=NA | GE=NA | PCD=False | SM=NA,17,Agronomia (Bacharelado),Darcy Ribeiro,Diurno,AC,Oscilante,15.437,14.563,60.0,2,-123.361,104.798
Agronomia (Bacharelado) | Darcy Ribeiro | Diurno | CN | EP=False | R=NA | GE=NEGROS | PCD=False | SM=NA,18,Agronomia (Bacharelado),Darcy Ribeiro,Diurno,CN,Oscilante,8.478,-1.13,50.0,3,-63.56,-405.773
Agronomia (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_NPPI | EP=True | R=R1 | GE=NPPI | PCD=False | SM=1.5,19,Agronomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_NPPI,Oscilante,17.974,41.908,50.0,1,-37.854,-1392.717
Agronomia (Bacharelado) | Darcy Ribeiro | Diurno | EP_R1_PPI | EP=True | R=R1 | GE=PPI | PCD=False | SM=1.5,21,Agronomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R1_PPI,Oscilante,2.92,4.015,66.7,1,-14.105,-71.472
Agronomia (Bacharelado) | Darcy Ribeiro | Diurno | EP_R2_NPPI | EP=True | R=R2 | GE=NPPI | PCD=False | SM=1.5,22,Agronomia (Bacharelado),Darcy Ribeiro,Diurno,EP_R2_NPPI,Oscilante,7.671,-6.958,66.7,1,-42.775,71.267
