subprograma,ano_ingresso,campus,curso,turno,curso_id,modalidade_original,modalidade_normalizada,escola_publica,faixa_renda,limite_salario_minimo,grupo_etnico,pcd,nota_min,nota_max
2018-2020,2020,Ceilândia / DF,Terapia Ocupacional (Bacharelado),Diurno,Terapia Ocupacional (Bacharelado) | Diurno | Ceilândia / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-92.652,-4.201
2018-2020,2020,Ceilândia / DF,Terapia Ocupacional (Bacharelado),Diurno,Terapia Ocupacional (Bacharelado) | Diurno | Ceilândia / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-45.148,-25.927
2018-2020,2020,Ceilândia / DF,Terapia Ocupacional (Bacharelado),Diurno,Terapia Ocupacional (Bacharelado) | Diurno | Ceilândia / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-74.63,27.307
2018-2020,2020,Ceilândia / DF,Terapia Ocupacional (Bacharelado),Diurno,Terapia Ocupacional (Bacharelado) | Diurno | Ceilândia / DF,CN,CN,False,,,NEGROS,False,5.337,6.491
2018-2020,2020,Ceilândia / DF,Terapia Ocupacional (Bacharelado),Diurno,Terapia Ocupacional (Bacharelado) | Diurno | Ceilândia / DF,AC,AC,False,,,,False,-73.944,20.377
2018-2020,2020,Ceilândia / DF,Fonoaudiologia (Bacharelado),Diurno,Fonoaudiologia (Bacharelado) | Diurno | Ceilândia / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-5.802,-5.802
2018-2020,2020,Ceilândia / DF,Fonoaudiologia (Bacharelado),Diurno,Fonoaudiologia (Bacharelado) | Diurno | Ceilândia / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-33.514,0.916
2018-2020,2020,Ceilândia / DF,Fonoaudiologia (Bacharelado),Diurno,Fonoaudiologia (Bacharelado) | Diurno | Ceilândia / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-40.393,-16.378
2018-2020,2020,Ceilândia / DF,Fonoaudiologia (Bacharelado),Diurno,Fonoaudiologia (Bacharelado) | Diurno | Ceilândia / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-75.822,6.478
2018-2020,2020,Ceilândia / DF,Fonoaudiologia (Bacharelado),Diurno,Fonoaudiologia (Bacharelado) | Diurno | Ceilândia / DF,CN,CN,False,,,NEGROS,False,-28.93,45.132
2018-2020,2020,Ceilândia / DF,Fonoaudiologia (Bacharelado),Diurno,Fonoaudiologia (Bacharelado) | Diurno | Ceilândia / DF,AC,AC,False,,,,False,-40.855,57.282
2018-2020,2020,Ceilândia / DF,Fisioterapia (Bacharelado),Diurno,Fisioterapia (Bacharelado) | Diurno | Ceilândia / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-16.495,13.421
2018-2020,2020,Ceilândia / DF,Fisioterapia (Bacharelado),Diurno,Fisioterapia (Bacharelado) | Diurno | Ceilândia / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-31.032,13.229
2018-2020,2020,Ceilândia / DF,Fisioterapia (Bacharelado),Diurno,Fisioterapia (Bacharelado) | Diurno | Ceilândia / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-26.611,40.374
2018-2020,2020,Ceilândia / DF,Fisioterapia (Bacharelado),Diurno,Fisioterapia (Bacharelado) | Diurno | Ceilândia / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-1.995,27.517
