subprograma,ano_ingresso,campus,curso,turno,curso_id,modalidade_original,modalidade_normalizada,escola_publica,faixa_renda,limite_salario_minimo,grupo_etnico,pcd,nota_min,nota_max
2019-2021,2021,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Diurno,Administração (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-5.786,-0.285
2019-2021,2021,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Diurno,Administração (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-38.327,23.576
2019-2021,2021,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Diurno,Administração (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-15.383,-0.009
2019-2021,2021,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Diurno,Administração (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-32.915,0.643
2019-2021,2021,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Diurno,Administração (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-11.331,85.005
2019-2021,2021,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Diurno,Administração (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,36.705,120.3
2019-2021,2021,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Noturno,Administração (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-1.176,2.32
2019-2021,2021,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Noturno,Administração (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-72.089,-12.149
2019-2021,2021,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Noturno,Administração (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-28.8,11.743
2019-2021,2021,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Noturno,Administração (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-51.667,-6.11
2019-2021,2021,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Noturno,Administração (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-8.376,14.991
2019-2021,2021,Darcy Ribeiro (Plano Piloto) / DF,Administração (Bacharelado),Noturno,Administração (Bacharelado) | Noturno | Darcy Ribeiro (Plano Piloto) / DF,AC,AC,False,,,,False,-2.777,98.221
2019-2021,2021,Darcy Ribeiro (Plano Piloto) / DF,Agronomia (Bacharelado),Diurno,Agronomia (Bacharelado) | Diurno | Darcy Ribeiro (Plano Piloto) / DF,CN,CN,False,,,NEGROS,False,-13.14,11.95
