subprograma,ano_ingresso,campus,curso,turno,curso_id,modalidade_original,modalidade_normalizada,escola_publica,faixa_renda,limite_salario_minimo,grupo_etnico,pcd,nota_min,nota_max
2020-2022,2022,Ceilândia / DF,Enfermagem (Bacharelado),Diurno,Enfermagem (Bacharelado) | Diurno | Ceilândia / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-39.237,25.484
2020-2022,2022,Ceilândia / DF,Enfermagem (Bacharelado),Diurno,Enfermagem (Bacharelado) | Diurno | Ceilândia / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-8.713,27.763
2020-2022,2022,Ceilândia / DF,Enfermagem (Bacharelado),Diurno,Enfermagem (Bacharelado) | Diurno | Ceilândia / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-16.177,3.184
2020-2022,2022,Ceilândia / DF,Enfermagem (Bacharelado),Diurno,Enfermagem (Bacharelado) | Diurno | Ceilândia / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-2.391,4.712
2020-2022,2022,Ceilândia / DF,Enfermagem (Bacharelado),Diurno,Enfermagem (Bacharelado) | Diurno | Ceilândia / DF,CN,CN,False,,,NEGROS,False,20.513,20.513
2020-2022,2022,Ceilândia / DF,Enfermagem (Bacharelado),Diurno,Enfermagem (Bacharelado) | Diurno | Ceilândia / DF,AC,AC,False,,,,False,30.01,77.432
2020-2022,2022,Ceilândia / DF,Farmácia (Bacharelado),Diurno,Farmácia (Bacharelado) | Diurno | Ceilândia / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-28.606,10.433
2020-2022,2022,Ceilândia / DF,Farmácia (Bacharelado),Diurno,Farmácia (Bacharelado) | Diurno | Ceilândia / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-18.323,13.031
2020-2022,2022,Ceilândia / DF,Farmácia (Bacharelado),Diurno,Farmácia (Bacharelado) | Diurno | Ceilândia / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-50.438,-14.608
2020-2022,2022,Ceilândia / DF,Farmácia (Bacharelado),Diurno,Farmácia (Bacharelado) | Diurno | Ceilândia / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-6.499,38.946
2020-2022,2022,Ceilândia / DF,Farmácia (Bacharelado),Diurno,Farmácia (Bacharelado) | Diurno | Ceilândia / DF,CN,CN,False,,,NEGROS,False,37.12,37.12
2020-2022,2022,Ceilândia / DF,Farmácia (Bacharelado),Diurno,Farmácia (Bacharelado) | Diurno | Ceilândia / DF,AC,AC,False,,,,False,17.577,66.477
2020-2022,2022,Ceilândia / DF,Fisioterapia (Bacharelado),Diurno,Fisioterapia (Bacharelado) | Diurno | Ceilândia / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-56.29,16.447
2020-2022,2022,Ceilândia / DF,Fisioterapia (Bacharelado),Diurno,Fisioterapia (Bacharelado) | Diurno | Ceilândia / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-19.321,61.01
2020-2022,2022,Ceilândia / DF,Fisioterapia (Bacharelado),Diurno,Fisioterapia (Bacharelado) | Diurno | Ceilândia / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-1.257,11.757
2020-2022,2022,Ceilândia / DF,Fisioterapia (Bacharelado),Diurno,Fisioterapia (Bacharelado) | Diurno | Ceilândia / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,43.008,45.269
2020-2022,2022,Ceilândia / DF,Fisioterapia (Bacharelado),Diurno,Fisioterapia (Bacharelado) | Diurno | Ceilândia / DF,CN,CN,False,,,NEGROS,False,3.695,3.695
2020-2022,2022,Ceilândia / DF,Fisioterapia (Bacharelado),Diurno,Fisioterapia (Bacharelado) | Diurno | Ceilândia / DF,AC,AC,False,,,,False,33.173,91.814
2020-2022,2022,Ceilândia / DF,Fonoaudiologia (Bacharelado),Diurno,Fonoaudiologia (Bacharelado) | Diurno | Ceilândia / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-37.971,-37.971
2020-2022,2022,Ceilândia / DF,Fonoaudiologia (Bacharelado),Diurno,Fonoaudiologia (Bacharelado) | Diurno | Ceilândia / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-37.896,-4.698
2020-2022,2022,Ceilândia / DF,Fonoaudiologia (Bacharelado),Diurno,Fonoaudiologia (Bacharelado) | Diurno | Ceilândia / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-50.578,-6.146
2020-2022,2022,Ceilândia / DF,Fonoaudiologia (Bacharelado),Diurno,Fonoaudiologia (Bacharelado) | Diurno | Ceilândia / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-12.187,-10.565
2020-2022,2022,Ceilândia / DF,Fonoaudiologia (Bacharelado),Diurno,Fonoaudiologia (Bacharelado) | Diurno | Ceilândia / DF,CN,CN,False,,,NEGROS,False,2.749,2.749
2020-2022,2022,Ceilândia / DF,Fonoaudiologia (Bacharelado),Diurno,Fonoaudiologia (Bacharelado) | Diurno | Ceilândia / DF,AC,AC,False,,,,False,8.094,46.991
2020-2022,2022,Ceilândia / DF,Saúde Coletiva (Bacharelado),Diurno,Saúde Coletiva (Bacharelado) | Diurno | Ceilândia / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-34.476,-34.476
2020-2022,2022,Ceilândia / DF,Saúde Coletiva (Bacharelado),Diurno,Saúde Coletiva (Bacharelado) | Diurno | Ceilândia / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-76.202,-9.79
2020-2022,2022,Ceilândia / DF,Saúde Coletiva (Bacharelado),Diurno,Saúde Coletiva (Bacharelado) | Diurno | Ceilândia / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-67.831,-31.801
2020-2022,2022,Ceilândia / DF,Saúde Coletiva (Bacharelado),Diurno,Saúde Coletiva (Bacharelado) | Diurno | Ceilândia / DF,CN,CN,False,,,NEGROS,False,-18.853,-18.853
2020-2022,2022,Ceilândia / DF,Saúde Coletiva (Bacharelado),Diurno,Saúde Coletiva (Bacharelado) | Diurno | Ceilândia / DF,AC,AC,False,,,,False,-84.455,-10.106
2020-2022,2022,Ceilândia / DF,Terapia Ocupacional (Bacharelado),Diurno,Terapia Ocupacional (Bacharelado) | Diurno | Ceilândia / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-76.773,55.294
2020-2022,2022,Ceilândia / DF,Terapia Ocupacional (Bacharelado),Diurno,Terapia Ocupacional (Bacharelado) | Diurno | Ceilândia / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-38.795,-38.795
