Subprograma,Ano,Campus,Curso,Turno,Modalidade,modalidade_normalizada,escola_publica,faixa_renda,grupo_etnico,pcd,limite_salario_minimo,Nota Mínima,Nota Máxima
2021-2023,2023,Ceilândia,Enfermagem (Bacharelado),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-35.67,-13.949
2021-2023,2023,Ceilândia,Enfermagem (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,4.774,52.752
2021-2023,2023,Ceilândia,Enfermagem (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-66.432,-42.493
2021-2023,2023,Ceilândia,Enfermagem (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,19.111,35.365
2021-2023,2023,Ceilândia,Enfermagem (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,2.879,2.879
2021-2023,2023,Ceilândia,Enfermagem (Bacharelado),Diurno,AC,AC,False,,,False,,40.205,65.958
2021-2023,2023,Ceilândia,Farmácia (Bacharelado),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-42.825,-3.477
2021-2023,2023,Ceilândia,Farmácia (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-55.33,-35.599
2021-2023,2023,Ceilândia,Farmácia (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-59.032,1.504
2021-2023,2023,Ceilândia,Farmácia (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-1.811,86.786
2021-2023,2023,Ceilândia,Farmácia (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,11.437,11.437
2021-2023,2023,Ceilândia,Farmácia (Bacharelado),Diurno,AC,AC,False,,,False,,11.818,63.743
2021-2023,2023,Ceilândia,Fisioterapia (Bacharelado),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-29.528,-6.075
2021-2023,2023,Ceilândia,Fisioterapia (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,16.592,40.502
2021-2023,2023,Ceilândia,Fisioterapia (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-56.521,-28.036
2021-2023,2023,Ceilândia,Fisioterapia (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,11.653,27.267
2021-2023,2023,Ceilândia,Fisioterapia (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,-9.095,-9.095
2021-2023,2023,Ceilândia,Fisioterapia (Bacharelado),Diurno,AC,AC,False,,,False,,31.089,79.217
2021-2023,2023,Ceilândia,Fonoaudiologia (Bacharelado),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-68.611,20.447
2021-2023,2023,Ceilândia,Fonoaudiologia (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-27.261,-17.719
2021-2023,2023,Ceilândia,Fonoaudiologia (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-49.838,-49.838
2021-2023,2023,Ceilândia,Fonoaudiologia (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-38.678,34.443
2021-2023,2023,Ceilândia,Fonoaudiologia (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,-21.229,-21.229
2021-2023,2023,Ceilândia,Fonoaudiologia (Bacharelado),Diurno,AC,AC,False,,,False,,19.105,64.645
2021-2023,2023,Ceilândia,Saúde Coletiva (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-92.731,-92.731
2021-2023,2023,Ceilândia,Saúde Coletiva (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-42.438,-23.874
2021-2023,2023,Ceilândia,Saúde Coletiva (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,-39.762,-28.877
2021-2023,2023,Ceilândia,Saúde Coletiva (Bacharelado),Diurno,AC,AC,False,,,False,,-79.717,25.273
2021-2023,2023,Ceilândia,Terapia Ocupacional (Bacharelado),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-16.701,-16.701
2021-2023,2023,Ceilândia,Terapia Ocupacional (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-88.602,-3.99
2021-2023,2023,Ceilândia,Terapia Ocupacional (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-37.682,-4.11
2021-2023,2023,Ceilândia,Terapia Ocupacional (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-46.005,1.824
2021-2023,2023,Ceilândia,Terapia Ocupacional (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,8.543,8.543
2021-2023,2023,Ceilândia,Terapia Ocupacional (Bacharelado),Diurno,AC,AC,False,,,False,,-9.621,42.752
2021-2023,2023,Darcy Ribeiro,Administração (Bacharelado),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-53.789,-9.772
2021-2023,2023,Darcy Ribeiro,Administração (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-59.221,-21.197
2021-2023,2023,Darcy Ribeiro,Administração (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-51.29,2.093
2021-2023,2023,Darcy Ribeiro,Administração (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,13.596,33.653
2021-2023,2023,Darcy Ribeiro,Administração (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,-4.981,44.699
2021-2023,2023,Darcy Ribeiro,Administração (Bacharelado),Diurno,AC,AC,False,,,False,,46.485,94.873
2021-2023,2023,Darcy Ribeiro,Administração (Bacharelado),Noturno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-45.664,6.082
2021-2023,2023,Darcy Ribeiro,Administração (Bacharelado),Noturno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-63.326,12.204
2021-2023,2023,Darcy Ribeiro,Administração (Bacharelado),Noturno,CN,CN,False,,NEGROS,False,,-6.548,-2.003
2021-2023,2023,Darcy Ribeiro,Administração (Bacharelado),Noturno,AC,AC,False,,,False,,-17.276,52.003
2021-2023,2023,Darcy Ribeiro,Agronomia (Bacharelado),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-64.647,-16.992
2021-2023,2023,Darcy Ribeiro,Agronomia (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-28.599,19.269
2021-2023,2023,Darcy Ribeiro,Agronomia (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-61.917,-4.933
2021-2023,2023,Darcy Ribeiro,Agronomia (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-35.875,1.054
2021-2023,2023,Darcy Ribeiro,Agronomia (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,-86.604,32.518
2021-2023,2023,Darcy Ribeiro,Agronomia (Bacharelado),Diurno,AC,AC,False,,,False,,-7.422,85.304
2021-2023,2023,Darcy Ribeiro,Arquitetura e Urbanismo (Bacharelado),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-23.28,23.159
2021-2023,2023,Darcy Ribeiro,Arquitetura e Urbanismo (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-14.415,58.507
2021-2023,2023,Darcy Ribeiro,Arquitetura e Urbanismo (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-10.139,15.247
2021-2023,2023,Darcy Ribeiro,Arquitetura e Urbanismo (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,59.408,79.914
2021-2023,2023,Darcy Ribeiro,Arquitetura e Urbanismo (Bacharelado),Diurno,CN,CN,False,,NEGROS,False,,53.175,53.175
2021-2023,2023,Darcy Ribeiro,Arquitetura e Urbanismo (Bacharelado),Diurno,AC,AC,False,,,False,,89.757,125.136
2021-2023,2023,Darcy Ribeiro,Arquitetura e Urbanismo (Bacharelado),Noturno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-20.256,-20.256
2021-2023,2023,Darcy Ribeiro,Arquitetura e Urbanismo (Bacharelado),Noturno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-39.05,-39.05
2021-2023,2023,Darcy Ribeiro,Arquitetura e Urbanismo (Bacharelado),Noturno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-44.019,37.832
2021-2023,2023,Darcy Ribeiro,Arquitetura e Urbanismo (Bacharelado),Noturno,CN,CN,False,,NEGROS,False,,-49.856,-49.856
2021-2023,2023,Darcy Ribeiro,Arquitetura e Urbanismo (Bacharelado),Noturno,AC,AC,False,,,False,,61.623,87.641
2021-2023,2023,Darcy Ribeiro,Arquivologia (Bacharelado),Noturno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-30.721,-19.2
2021-2023,2023,Darcy Ribeiro,Arquivologia (Bacharelado),Noturno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-34.645,-30.382
2021-2023,2023,Darcy Ribeiro,Arquivologia (Bacharelado),Noturno,AC,AC,False,,,False,,-55.63,-13.001
2021-2023,2023,Darcy Ribeiro,Artes Cênicas (Bacharelado),Diurno,EP_R1_PPI,EP_R1_PPI,True,R1,PPI,False,1.5,-42.49,-42.49
2021-2023,2023,Darcy Ribeiro,Artes Cênicas (Bacharelado),Diurno,EP_R1_NPPI,EP_R1_NPPI,True,R1,NPPI,False,1.5,-64.508,-64.508
2021-2023,2023,Darcy Ribeiro,Artes Cênicas (Bacharelado),Diurno,EP_R2_PPI,EP_R2_PPI,True,R2,PPI,False,1.5,-58.968,-58.968
2021-2023,2023,Darcy Ribeiro,Artes Cênicas (Bacharelado),Diurno,EP_R2_NPPI,EP_R2_NPPI,True,R2,NPPI,False,1.5,-6.534,-6.534
