subprograma,ano_ingresso,campus,curso,turno,curso_id,modalidade_original,modalidade_normalizada,escola_publica,faixa_renda,limite_salario_minimo,grupo_etnico,pcd,nota_min,nota_max
2021-2023,2023,Ceilândia / DF,Enfermagem (Bacharelado),Diurno,Enfermagem (Bacharelado) | Diurno | Ceilândia / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-35.67,-13.949
2021-2023,2023,Ceilândia / DF,Enfermagem (Bacharelado),Diurno,Enfermagem (Bacharelado) | Diurno | Ceilândia / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,4.774,52.752
2021-2023,2023,Ceilândia / DF,Enfermagem (Bacharelado),Diurno,Enfermagem (Bacharelado) | Diurno | Ceilândia / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-66.432,-42.493
2021-2023,2023,Ceilândia / DF,Enfermagem (Bacharelado),Diurno,Enfermagem (Bacharelado) | Diurno | Ceilândia / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,19.111,35.365
2021-2023,2023,Ceilândia / DF,Enfermagem (Bacharelado),Diurno,Enfermagem (Bacharelado) | Diurno | Ceilândia / DF,CN,CN,False,,,NEGROS,False,2.879,2.879
2021-2023,2023,Ceilândia / DF,Enfermagem (Bacharelado),Diurno,Enfermagem (Bacharelado) | Diurno | Ceilândia / DF,AC,AC,False,,,,False,40.205,65.958
2021-2023,2023,Ceilândia / DF,Farmácia (Bacharelado),Diurno,Farmácia (Bacharelado) | Diurno | Ceilândia / DF,EP_R1_PPI,EP_R1_PPI,True,R1,1.5,PPI,False,-42.825,-3.477
2021-2023,2023,Ceilândia / DF,Farmácia (Bacharelado),Diurno,Farmácia (Bacharelado) | Diurno | Ceilândia / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-55.33,-35.599
2021-2023,2023,Ceilândia / DF,Farmácia (Bacharelado),Diurno,Farmácia (Bacharelado) | Diurno | Ceilândia / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-59.032,1.504
2021-2023,2023,Ceilândia / DF,Farmácia (Bacharelado),Diurno,Farmácia (Bacharelado) | Diurno | Ceilândia / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-1.811,86.786
2021-2023,2023,Ceilândia / DF,Farmácia (Bacharelado),Diurno,Farmácia (Bacharelado) | Diurno | Ceilândia / DF,CN,CN,False,,,NEGROS,False,11.437,11.437
2021-2023,2023,Ceilândia / DF,Farmácia (Bacharelado),Diurno,Farmácia (Bacharelado) | Diurno | Ceilândia / DF,AC,AC,False,,,,False,11.818,63.743
