subprograma,ano_ingresso,campus,curso,turno,curso_id,modalidade_original,modalidade_normalizada,escola_publica,faixa_renda,limite_salario_minimo,grupo_etnico,pcd,nota_min,nota_max
2022-2024,2024,Ceilândia / DF,Enfermagem (Bacharelado),Diurno,Enfermagem (Bacharelado) | Diurno | Ceilândia / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-49.851,-32.128
2022-2024,2024,Ceilândia / DF,Enfermagem (Bacharelado),Diurno,Enfermagem (Bacharelado) | Diurno | Ceilândia / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-77.474,-39.613
2022-2024,2024,Ceilândia / DF,Enfermagem (Bacharelado),Diurno,Enfermagem (Bacharelado) | Diurno | Ceilândia / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-16.271,-1.68
2022-2024,2024,Ceilândia / DF,Enfermagem (Bacharelado),Diurno,Enfermagem (Bacharelado) | Diurno | Ceilândia / DF,CN,CN,False,,,NEGROS,False,-45.031,-45.031
2022-2024,2024,Ceilândia / DF,Enfermagem (Bacharelado),Diurno,Enfermagem (Bacharelado) | Diurno | Ceilândia / DF,AC,AC,False,,,,False,2.383,9.145
2022-2024,2024,Ceilândia / DF,Farmácia (Bacharelado),Diurno,Farmácia (Bacharelado) | Diurno | Ceilândia / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-52.228,-42.092
2022-2024,2024,Ceilândia / DF,Farmácia (Bacharelado),Diurno,Farmácia (Bacharelado) | Diurno | Ceilândia / DF,EP_R2_NPPI,EP_R2_NPPI,True,R2,1.5,NPPI,False,-86.268,-18.416
2022-2024,2024,Ceilândia / DF,Farmácia (Bacharelado),Diurno,Farmácia (Bacharelado) | Diurno | Ceilândia / DF,CN,CN,False,,,NEGROS,False,-53.795,-53.795
2022-2024,2024,Ceilândia / DF,Farmácia (Bacharelado),Diurno,Farmácia (Bacharelado) | Diurno | Ceilândia / DF,AC,AC,False,,,,False,0.278,14.814
2022-2024,2024,Ceilândia / DF,Fisioterapia (Bacharelado),Diurno,Fisioterapia (Bacharelado) | Diurno | Ceilândia / DF,EP_R1_NPPI,EP_R1_NPPI,True,R1,1.5,NPPI,False,-65.973,-65.973
2022-2024,2024,Ceilândia / DF,Fisioterapia (Bacharelado),Diurno,Fisioterapia (Bacharelado) | Diurno | Ceilândia / DF,EP_R2_PPI,EP_R2_PPI,True,R2,1.5,PPI,False,-79.757,-46.126
