Nome simplificado,Cursos,Quantidade,Ocorrências
arquivologia,"['Arquivologia (Bacharelado)', 'Arquivologia']",2,5
artes cênicas,"['Artes Cênicas (Licenciatura)', 'Artes Cênicas (Bacharelado)']",2,3
artes visuais *,"['Artes Visuais (Bacharelado)*', 'Artes Visuais (Licenciatura)*']",2,7
ciências ambientais,"['Ciências Ambientais (Bacharelado)', 'Ciências Ambientais']",2,5
ciências biológicas,"['Ciências Biológicas (Bacharelado)', 'Ciências Biológicas', 'Ciências Biológicas (Licenciatura)']",3,7
ciências contábeis,"['Ciências Contábeis (Bacharelado)', 'Ciências Contábeis']",2,11
ciências sociais - antropologia / sociologia,"['Ciências Sociais – Antropologia / Sociologia (Bacharelado/ Licenciatura)', 'Ciências Sociais – Antropologia / Sociologia (Bacharelado/Licenciat ura)']",2,4
comunicação social - publicidade e propaganda,"['Comunicação Social - Publicidade e Propaganda (Bacharelado)', 'Comunicação Social – Publicidade e Propaganda (Bacharelado)']",2,6
educação física,"['Educação Física (Bacharelado)', 'Educação Física (Licenciatura)']",2,8
educação física ciclo básico,"['Educação Física Ciclo Básico', 'Educação Física Ciclo Básico (Bacharelado/Licenciatura)']",2,2
filosofia,"['Filosofia (Licenciatura)', 'Filosofia (Bacharelado/Licenciatura)', 'Filosofia (Bacharelado/Licenciat ura)']",3,10
física,"['Física (Bacharelado)', 'Física (Licenciatura)']",2,6
geografia,"['Geografia (Bacharelado/Licenciatura)', 'Geografia (Bacharelado/Licenciat ura)']",2,5
história,"['História (Bacharelado/Licenciatura)', 'História (Licenciatura)', 'História (Bacharelado/Licenciat ura)']",3,11
língua francesa e respectiva literatura,"['Língua Francesa e Respectiva Literatura (Bacharelado/Licenciatura)', 'Língua Francesa e Respectiva Literatura (Bacharelado/Licenciat ura)']",2,4
língua inglesa e respectiva literatura,"['Língua Inglesa e Respectiva Literatura (Bacharelado/Licenciatura)', 'Língua Inglesa e Respectiva Literatura (Bacharelado/Licenciat ura)']",2,5
língua portuguesa,"['Língua Portuguesa (Bacharelado/ Licenciatura)', 'Língua Portuguesa (Licenciatura)']",2,2
língua portuguesa e respectiva literatura,"['Língua Portuguesa e Respectiva Literatura (Bacharelado/Licenciatura)', 'Língua Portuguesa e Respectiva Literatura (Licenciatura)', 'Língua Portuguesa e Respectiva Literatura (Bacharelado/Licenciat ura)']",3,9
matemática,"['Matemática (Bacharelado/ Licenciatura)', 'Matemática (Bacharelado/Licenciat ura)', 'Matemática (Bacharelado/Licenciatura)', 'Matemática (Licenciatura)']",4,7
música *,"['Música (Licenciatura)*', 'Música (Bacharelado)*']",2,9
psicologia,"['Psicologia (Bacharelado / Licenciatura / Psicólogo)', 'Psicologia (Bacharelado/Licenciatura/ Psicólogo)']",2,6
química,"['Química (Bacharelado)', 'Química (Licenciatura)']",2,7
