Curso A,Curso B,Similaridade,Triênios A,Triênios B,Ocorrências A,Ocorrências B
Ciências Contábeis (Bacharelado),Ciências Contábeis,100.0,"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025",2019-2021,10,1
Língua Portuguesa e Respectiva Literatura (Bacharelado/Licenciatura),Língua Portuguesa (Bacharelado/ Licenciatura),100.0,"2018-2020, 2020-2022, 2021-2023, 2022-2024",2023-2025,4,1
Artes Cênicas - Interpretação Teatral (Bacharelado) *,Artes Cênicas - Interpretação Teatral (Bacharelado),100.0,"2018-2020, 2019-2021, 2020-2022","2021-2023, 2022-2024",3,2
"Teoria, Crítica e História da Arte (Bacharelado)",História (Bacharelado/Licenciat ura),100.0,"2018-2020, 2019-2021, 2020-2022, 2021-2023",2019-2021,4,1
Matemática (Bacharelado/ Licenciatura),Matemática (Licenciatura),100.0,"2018-2020, 2020-2022, 2021-2023, 2022-2024",2023-2025,4,1
Matemática (Bacharelado/ Licenciatura),Matemática (Bacharelado/Licenciatura),100.0,"2018-2020, 2020-2022, 2021-2023, 2022-2024",2023-2025,4,1
Matemática (Bacharelado/ Licenciatura),Matemática (Bacharelado/Licenciat ura),100.0,"2018-2020, 2020-2022, 2021-2023, 2022-2024",2019-2021,4,1
Língua Portuguesa e Respectiva Literatura (Licenciatura),Língua Portuguesa e Respectiva Literatura (Bacharelado/Licenciat ura),100.0,"2018-2020, 2019-2021, 2020-2022, 2021-2023",2019-2021,4,1
Língua Portuguesa e Respectiva Literatura (Licenciatura),Língua Portuguesa (Licenciatura),100.0,"2018-2020, 2019-2021, 2020-2022, 2021-2023",2023-2025,4,1
Língua Portuguesa e Respectiva Literatura (Licenciatura),Língua Portuguesa (Bacharelado/ Licenciatura),100.0,"2018-2020, 2019-2021, 2020-2022, 2021-2023",2023-2025,4,1
Língua Portuguesa e Respectiva Literatura (Bacharelado/Licenciatura),Língua Portuguesa e Respectiva Literatura (Bacharelado/Licenciat ura),100.0,"2018-2020, 2020-2022, 2021-2023, 2022-2024",2019-2021,4,1
Língua Portuguesa e Respectiva Literatura (Bacharelado/Licenciatura),Língua Portuguesa (Licenciatura),100.0,"2018-2020, 2020-2022, 2021-2023, 2022-2024",2023-2025,4,1
Língua Portuguesa e Respectiva Literatura (Bacharelado/Licenciatura),Língua Portuguesa e Respectiva Literatura (Licenciatura),100.0,"2018-2020, 2020-2022, 2021-2023, 2022-2024","2018-2020, 2019-2021, 2020-2022, 2021-2023",4,4
Letras – Tradução Espanhol (Bacharelado),Letras Tradução Espanhol (Bacharelado),100.0,"2018-2020, 2019-2021, 2020-2022, 2021-2023",2023-2025,4,1
Língua Inglesa e Respectiva Literatura (Bacharelado/Licenciatura),Língua Inglesa e Respectiva Literatura (Bacharelado/Licenciat ura),100.0,"2018-2020, 2020-2022, 2021-2023, 2022-2024",2019-2021,4,1
Língua Inglesa e Respectiva Literatura (Bacharelado/Licenciatura),Língua Inglesa (Bacharelado/ Licenciatura),100.0,"2018-2020, 2020-2022, 2021-2023, 2022-2024",2023-2025,4,1
