Curso,Ocorrências,Triênios,Lista_de_triênios
Farmácia (Bacharelado),18,6,"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025"
Administração (Bacharelado),12,6,"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025"
Arquitetura e Urbanismo (Bacharelado),12,6,"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025"
Direito (Bacharelado),12,6,"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025"
Enfermagem (Bacharelado),12,6,"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025"
Pedagogia (Licenciatura),11,6,"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025"
Ciências Contábeis (Bacharelado),10,6,"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025"
Agronomia (Bacharelado),6,6,"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025"
Biotecnologia (Bacharelado),6,6,"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025"
Ciência Política (Bacharelado),6,6,"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025"
Ciência da Computação (Bacharelado),6,6,"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025"
Ciências Econômicas (Bacharelado),6,6,"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025"
Computação (Licenciatura),6,6,"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025"
Comunicação Organizacional (Bacharelado),6,6,"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025"
Comunicação Social – Audiovisual (Bacharelado),6,6,"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025"
Engenharia Civil (Bacharelado),6,6,"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025"
Engenharia Elétrica (Bacharelado),6,6,"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025"
Engenharia Mecânica (Bacharelado),6,6,"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025"
Engenharia Química (Bacharelado),6,6,"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025"
Engenharia de Computação (Bacharelado),6,6,"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025"
Engenharia de Produção (Bacharelado),6,6,"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025"
Engenharia de Redes de Comunicação (Bacharelado),6,6,"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025"
Engenharias – Aeroespacial / Automotiva / Eletrônica / Energia / Software (Bacharelados)**,6,6,"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025"
Estatística (Bacharelado),6,6,"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025"
Fisioterapia (Bacharelado),6,6,"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025"
Fonoaudiologia (Bacharelado),6,6,"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025"
Jornalismo (Bacharelado),6,6,"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025"
Medicina (Bacharelado),6,6,"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025"
Medicina Veterinária (Bacharelado),6,6,"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025"
Nutrição (Bacharelado),6,6,"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025"
Odontologia (Bacharelado),6,6,"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025"
Química (Bacharelado),6,6,"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025"
Relações Internacionais (Bacharelado),6,6,"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025"
Terapia Ocupacional (Bacharelado),6,6,"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025"
Saúde Coletiva (Bacharelado),10,5,"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2023-2025"
Serviço Social (Bacharelado),10,5,"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2023-2025"
Ciências Naturais (Licenciatura),9,5,"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2023-2025"
Biblioteconomia (Bacharelado),5,5,"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2023-2025"
Campus UnB — Ceilândia / DF,5,5,"2018-2020, 2020-2022, 2021-2023, 2022-2024, 2023-2025"
Campus UnB — Darcy Ribeiro (Plano Piloto) / DF,5,5,"2018-2020, 2020-2022, 2021-2023, 2022-2024, 2023-2025"
Campus UnB — Gama / DF,5,5,"2018-2020, 2020-2022, 2021-2023, 2022-2024, 2023-2025"
Ciências Biológicas (Bacharelado),5,5,"2018-2020, 2020-2022, 2021-2023, 2022-2024, 2023-2025"
Comunicação Social - Publicidade e Propaganda (Bacharelado),5,5,"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024"
Engenharia Ambiental (Bacharelado),5,5,"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2023-2025"
Engenharia Florestal (Bacharelado),5,5,"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2023-2025"
Engenharia Mecatrônica – Controle e Automação (Bacharelado),5,5,"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024"
Filosofia (Licenciatura),5,5,"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2023-2025"
Física (Bacharelado),5,5,"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2023-2025"
Geofísica (Bacharelado),5,5,"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2023-2025"
Geologia (Bacharelado),5,5,"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2023-2025"
Gestão de Agronegócio (Bacharelado),5,5,"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2023-2025"
Gestão de Políticas Públicas (Bacharelado),5,5,"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2023-2025"
Gestão do Agronegócio (Bacharelado),5,5,"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2023-2025"
História (Bacharelado/Licenciatura),5,5,"2018-2020, 2020-2022, 2021-2023, 2022-2024, 2023-2025"
História (Licenciatura),5,5,"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2023-2025"
Letras – Tradução – Inglês (Bacharelado),5,5,"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024"
Língua e Literatura Japonesa (Licenciatura),5,5,"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2023-2025"
Museologia (Bacharelado),5,5,"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2023-2025"
Música (Licenciatura)*,5,5,"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2023-2025"
Psicologia (Bacharelado / Licenciatura / Psicólogo),5,5,"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024"
Química Tecnológica (Bacharelado),5,5,"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2023-2025"
Turismo (Bacharelado),5,5,"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2023-2025"
Arquivologia (Bacharelado),4,4,"2018-2020, 2020-2022, 2021-2023, 2023-2025"
Artes Visuais (Bacharelado)*,4,4,"2018-2020, 2019-2021, 2020-2022, 2021-2023"
Campus UnB — Planaltina / DF,4,4,"2018-2020, 2020-2022, 2021-2023, 2023-2025"
Ciências Ambientais (Bacharelado),4,4,"2018-2020, 2020-2022, 2021-2023, 2023-2025"
Design – Programação Visual/ Projeto do Produto (Bacharelado),4,4,"2018-2020, 2020-2022, 2021-2023, 2022-2024"
Educação Física (Bacharelado),4,4,"2018-2020, 2019-2021, 2020-2022, 2021-2023"
Educação Física (Licenciatura),4,4,"2018-2020, 2019-2021, 2020-2022, 2021-2023"
Filosofia (Bacharelado/Licenciatura),4,4,"2018-2020, 2020-2022, 2021-2023, 2023-2025"
Geografia (Bacharelado/Licenciatura),4,4,"2018-2020, 2020-2022, 2021-2023, 2023-2025"
Letras – Português do Brasil como Segunda Língua (Licenciatura),4,4,"2018-2020, 2019-2021, 2020-2022, 2021-2023"
Letras – Tradução Espanhol (Bacharelado),4,4,"2018-2020, 2019-2021, 2020-2022, 2021-2023"
Letras – Tradução – Francês (Bacharelado),4,4,"2018-2020, 2019-2021, 2020-2022, 2021-2023"
Licenciatura em Ciências Biológicas,4,4,"2018-2020, 2019-2021, 2020-2022, 2021-2023"
Licenciatura em Física,4,4,"2018-2020, 2019-2021, 2020-2022, 2021-2023"
Licenciatura em Matemática,4,4,"2018-2020, 2019-2021, 2020-2022, 2021-2023"
Licenciatura em Química,4,4,"2018-2020, 2019-2021, 2020-2022, 2021-2023"
Língua Espanhola e Literatura Espanhola e Hispano-Americana (Licenciatura),4,4,"2018-2020, 2019-2021, 2020-2022, 2021-2023"
Língua Estrangeira Aplicada – Multilinguismo e Sociedade da Informação (Bacharelado),4,4,"2018-2020, 2019-2021, 2020-2022, 2021-2023"
Língua Inglesa e Respectiva Literatura (Bacharelado/Licenciatura),4,4,"2018-2020, 2020-2022, 2021-2023, 2022-2024"
Língua Portuguesa e Respectiva Literatura (Bacharelado/Licenciatura),4,4,"2018-2020, 2020-2022, 2021-2023, 2022-2024"
Língua Portuguesa e Respectiva Literatura (Licenciatura),4,4,"2018-2020, 2019-2021, 2020-2022, 2021-2023"
Matemática (Bacharelado/ Licenciatura),4,4,"2018-2020, 2020-2022, 2021-2023, 2022-2024"
Música (Bacharelado)*,4,4,"2018-2020, 2020-2022, 2021-2023, 2023-2025"
"Teoria, Crítica e História da Arte (Bacharelado)",4,4,"2018-2020, 2019-2021, 2020-2022, 2021-2023"
Licenciatura em Artes Cênicas*,5,3,"2018-2020, 2019-2021, 2020-2022"
Artes Cênicas - Interpretação Teatral (Bacharelado) *,3,3,"2018-2020, 2019-2021, 2020-2022"
Ciências Sociais – Antropologia / Sociologia (Bacharelado/ Licenciatura),3,3,"2018-2020, 2020-2022, 2021-2023"
Gestão Ambiental (Bacharelado),3,3,"2018-2020, 2019-2021, 2020-2022"
Língua Francesa e Respectiva Literatura (Bacharelado/Licenciatura),3,3,"2018-2020, 2020-2022, 2021-2023"
Artes Visuais (Licenciatura)*,3,2,"2018-2020, 2020-2022"
Artes Cênicas - Interpretação Teatral (Bacharelado),2,2,"2021-2023, 2022-2024"
Artes Visuais (Bacharelado),2,2,"2022-2024, 2023-2025"
Licenciatura em Música*,2,2,"2018-2020, 2019-2021"
Artes Cênicas (Licenciatura),2,1,2023-2025
Licenciatura em Artes Cênicas,2,1,2021-2023
Arquivologia,1,1,2019-2021
Artes Cênicas (Bacharelado),1,1,2023-2025
Artes Visuais Licenciatura,1,1,2022-2024
Ciências Ambientais,1,1,2019-2021
Ciências Biológicas,1,1,2019-2021
Ciências Biológicas (Licenciatura),1,1,2023-2025
Ciências Contábeis,1,1,2019-2021
Ciências Sociais – Antropologia / Sociologia (Bacharelado/Licenciat ura),1,1,2019-2021
Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),1,1,2023-2025
Comunicação Social – Publicidade e Propaganda (Bacharelado),1,1,2023-2025
Design (Bacharelado),1,1,2023-2025
Design – Programação Visual/Projeto do Produto (Bacharelado),1,1,2019-2021
Educação Física Ciclo Básico,1,1,2022-2024
Educação Física Ciclo Básico (Bacharelado/Licenciatura),1,1,2023-2025
Engenharia Mecatrônica (Bacharelado),1,1,2023-2025
Filosofia (Bacharelado/Licenciat ura),1,1,2019-2021
Física (Licenciatura),1,1,2023-2025
Geografia (Bacharelado/Licenciat ura),1,1,2019-2021
História (Bacharelado/Licenciat ura),1,1,2019-2021
Letras Português do Brasil como Seg. Língua (Licenciatura),1,1,2023-2025
Letras Tradução Espanhol (Bacharelado),1,1,2023-2025
Letras Tradução Francês (Bacharelado),1,1,2023-2025
Letras Tradução Inglês (Bacharelado),1,1,2023-2025
Língua Espanhola e Literatura Espanhola e Hispano - Americana (Licenciatura),1,1,2023-2025
Língua Francesa (Bacharelado/ Licenciatura),1,1,2023-2025
Língua Francesa e Respectiva Literatura (Bacharelado/Licenciat ura),1,1,2019-2021
Língua Inglesa (Bacharelado/ Licenciatura),1,1,2023-2025
Língua Inglesa e Respectiva Literatura (Bacharelado/Licenciat ura),1,1,2019-2021
Língua Portuguesa (Bacharelado/ Licenciatura),1,1,2023-2025
Língua Portuguesa (Licenciatura),1,1,2023-2025
Língua Portuguesa e Respectiva Literatura (Bacharelado/Licenciat ura),1,1,2019-2021
Línguas Estrangeiras Aplicadas (Bacharelado),1,1,2023-2025
Matemática (Bacharelado/Licenciat ura),1,1,2019-2021
Matemática (Bacharelado/Licenciatura),1,1,2023-2025
Matemática (Licenciatura),1,1,2023-2025
Psicologia (Bacharelado/Licenciatura/ Psicólogo),1,1,2023-2025
Química (Licenciatura),1,1,2023-2025
Teoria Crítica e História da Arte (Bacharelado),1,1,2023-2025
