Triênio,Curso
2018-2020,Campus UnB — Ceilândia / DF
2018-2020,Terapia Ocupacional (Bacharelado)
2018-2020,Fonoaudiologia (Bacharelado)
2018-2020,Fisioterapia (Bacharelado)
2018-2020,Farmácia (Bacharelado)
2018-2020,Enfermagem (Bacharelado)
2018-2020,Saúde Coletiva (Bacharelado)
2018-2020,Campus UnB — Darcy Ribeiro (Plano Piloto) / DF
2018-2020,Artes Visuais (Licenciatura)*
2018-2020,Língua Espanhola e Literatura Espanhola e Hispano-Americana (Licenciatura)
2018-2020,Museologia (Bacharelado)
2018-2020,Letras – Tradução – Inglês (Bacharelado)
2018-2020,Letras – Tradução – Francês (Bacharelado)
2018-2020,Língua e Literatura Japonesa (Licenciatura)
2018-2020,Engenharia Mecânica (Bacharelado)
2018-2020,Arquivologia (Bacharelado)
2018-2020,Ciência Política (Bacharelado)
2018-2020,Licenciatura em Artes Cênicas*
2018-2020,Geofísica (Bacharelado)
2018-2020,Engenharia de Computação (Bacharelado)
2018-2020,História (Licenciatura)
2018-2020,Licenciatura em Música*
2018-2020,Química Tecnológica (Bacharelado)
2018-2020,Língua Estrangeira Aplicada – Multilinguismo e Sociedade da Informação (Bacharelado)
2018-2020,Engenharia Ambiental (Bacharelado)
2018-2020,Saúde Coletiva (Bacharelado)
2018-2020,Odontologia (Bacharelado)
2018-2020,Comunicação Organizacional (Bacharelado)
2018-2020,Biblioteconomia (Bacharelado)
2018-2020,Nutrição (Bacharelado)
2018-2020,Engenharia Química (Bacharelado)
2018-2020,Medicina Veterinária (Bacharelado)
2018-2020,Filosofia (Bacharelado/Licenciatura)
2018-2020,Música (Licenciatura)*
2018-2020,Comunicação Social – Audiovisual (Bacharelado)
2018-2020,Geografia (Bacharelado/Licenciatura)
2018-2020,Artes Visuais (Bacharelado)*
2018-2020,Licenciatura em Matemática
2018-2020,Licenciatura em Química
2018-2020,Estatística (Bacharelado)
2018-2020,Serviço Social (Bacharelado)
2018-2020,Física (Bacharelado)
2018-2020,Ciências Ambientais (Bacharelado)
2018-2020,Gestão de Agronegócio (Bacharelado)
2018-2020,Letras – Português do Brasil como Segunda Língua (Licenciatura)
2018-2020,Farmácia (Bacharelado)
2018-2020,Farmácia (Bacharelado)
2018-2020,Gestão de Políticas Públicas (Bacharelado)
2018-2020,Biotecnologia (Bacharelado)
2018-2020,Ciência da Computação (Bacharelado)
2018-2020,Computação (Licenciatura)
2018-2020,Licenciatura em Ciências Biológicas
2018-2020,Filosofia (Licenciatura)
2018-2020,Engenharia de Produção (Bacharelado)
2018-2020,Educação Física (Bacharelado)
2018-2020,Engenharia Civil (Bacharelado)
2018-2020,Engenharia Elétrica (Bacharelado)
2018-2020,Arquitetura e Urbanismo (Bacharelado)
2018-2020,Arquitetura e Urbanismo (Bacharelado)
2018-2020,Engenharia de Redes de Comunicação (Bacharelado)
2018-2020,Medicina (Bacharelado)
2018-2020,Geologia (Bacharelado)
2018-2020,Química (Bacharelado)
2018-2020,Língua Portuguesa e Respectiva Literatura (Bacharelado/Licenciatura)
2018-2020,Língua Portuguesa e Respectiva Literatura (Licenciatura)
2018-2020,Língua Francesa e Respectiva Literatura (Bacharelado/Licenciatura)
2018-2020,Língua Inglesa e Respectiva Literatura (Bacharelado/Licenciatura)
2018-2020,Letras – Tradução Espanhol (Bacharelado)
2018-2020,Engenharia Mecatrônica – Controle e Automação (Bacharelado)
2018-2020,Jornalismo (Bacharelado)
2018-2020,Pedagogia (Licenciatura)
2018-2020,Pedagogia (Licenciatura)
2018-2020,Licenciatura em Física
2018-2020,"Teoria, Crítica e História da Arte (Bacharelado)"
2018-2020,Engenharia Florestal (Bacharelado)
2018-2020,Psicologia (Bacharelado / Licenciatura / Psicólogo)
2018-2020,Matemática (Bacharelado/ Licenciatura)
2018-2020,Ciências Biológicas (Bacharelado)
2018-2020,Ciências Sociais – Antropologia / Sociologia (Bacharelado/ Licenciatura)
2018-2020,Ciências Econômicas (Bacharelado)
2018-2020,História (Bacharelado/Licenciatura)
2018-2020,Serviço Social (Bacharelado)
2018-2020,Relações Internacionais (Bacharelado)
2018-2020,Artes Cênicas - Interpretação Teatral (Bacharelado) *
2018-2020,Design – Programação Visual/ Projeto do Produto (Bacharelado)
2018-2020,Turismo (Bacharelado)
2018-2020,Administração (Bacharelado)
2018-2020,Administração (Bacharelado)
2018-2020,Comunicação Social - Publicidade e Propaganda (Bacharelado)
2018-2020,Direito (Bacharelado)
2018-2020,Ciências Contábeis (Bacharelado)
2018-2020,Ciências Contábeis (Bacharelado)
2018-2020,Direito (Bacharelado)
2018-2020,Artes Visuais (Licenciatura)*
2018-2020,Licenciatura em Artes Cênicas*
2018-2020,Enfermagem (Bacharelado)
2018-2020,Agronomia (Bacharelado)
2018-2020,Música (Bacharelado)*
2018-2020,Educação Física (Licenciatura)
2018-2020,Campus UnB — Gama / DF
2018-2020,Engenharias – Aeroespacial / Automotiva / Eletrônica / Energia / Software (Bacharelados)**
2018-2020,Campus UnB — Planaltina / DF
2018-2020,Gestão do Agronegócio (Bacharelado)
2018-2020,Gestão Ambiental (Bacharelado)
2018-2020,Ciências Naturais (Licenciatura)
2018-2020,Ciências Naturais (Licenciatura)
2019-2021,Administração (Bacharelado)
2019-2021,Administração (Bacharelado)
2019-2021,Agronomia (Bacharelado)
2019-2021,Arquitetura e Urbanismo (Bacharelado)
2019-2021,Arquitetura e Urbanismo (Bacharelado)
2019-2021,Arquivologia
2019-2021,Artes Cênicas - Interpretação Teatral (Bacharelado) *
2019-2021,Artes Visuais (Bacharelado)*
2019-2021,Biblioteconomia (Bacharelado)
2019-2021,Biotecnologia (Bacharelado)
2019-2021,Ciência da Computação (Bacharelado)
2019-2021,Ciência Política (Bacharelado)
2019-2021,Ciências Ambientais
2019-2021,Ciências Biológicas
2019-2021,Ciências Contábeis
2019-2021,Ciências Contábeis (Bacharelado)
2019-2021,Ciências Econômicas (Bacharelado)
2019-2021,Ciências Sociais – Antropologia / Sociologia (Bacharelado/Licenciat ura)
2019-2021,Computação (Licenciatura)
2019-2021,Comunicação Organizacional (Bacharelado)
2019-2021,Comunicação Social – Audiovisual (Bacharelado)
2019-2021,Comunicação Social - Publicidade e Propaganda (Bacharelado)
2019-2021,Design – Programação Visual/Projeto do Produto (Bacharelado)
2019-2021,Direito (Bacharelado)
2019-2021,Direito (Bacharelado)
2019-2021,Educação Física (Bacharelado)
2019-2021,Educação Física (Licenciatura)
2019-2021,Enfermagem (Bacharelado)
2019-2021,Engenharia Ambiental (Bacharelado)
2019-2021,Engenharia Civil (Bacharelado)
2019-2021,Engenharia de Computação (Bacharelado)
2019-2021,Engenharia de Produção (Bacharelado)
2019-2021,Engenharia de Redes de Comunicação (Bacharelado)
2019-2021,Engenharia Elétrica (Bacharelado)
2019-2021,Engenharia Florestal (Bacharelado)
2019-2021,Engenharia Mecânica (Bacharelado)
2019-2021,Engenharia Mecatrônica – Controle e Automação (Bacharelado)
2019-2021,Engenharia Química (Bacharelado)
2019-2021,Estatística (Bacharelado)
2019-2021,Farmácia (Bacharelado)
2019-2021,Farmácia (Bacharelado)
2019-2021,Filosofia (Bacharelado/Licenciat ura)
2019-2021,Filosofia (Licenciatura)
2019-2021,Física (Bacharelado)
2019-2021,Geofísica (Bacharelado)
2019-2021,Geografia (Bacharelado/Licenciat ura)
2019-2021,Geologia (Bacharelado)
2019-2021,Gestão de Agronegócio (Bacharelado)
2019-2021,Gestão de Políticas Públicas (Bacharelado)
2019-2021,História (Bacharelado/Licenciat ura)
2019-2021,História (Licenciatura)
2019-2021,Jornalismo (Bacharelado)
2019-2021,Letras – Português do Brasil como Segunda Língua (Licenciatura)
2019-2021,Letras – Tradução – Francês (Bacharelado)
2019-2021,Letras – Tradução – Inglês (Bacharelado)
2019-2021,Letras – Tradução Espanhol (Bacharelado)
2019-2021,Licenciatura em Artes Cênicas*
2019-2021,Licenciatura em Artes Cênicas*
2019-2021,Licenciatura em Ciências Biológicas
2019-2021,Licenciatura em Física
2019-2021,Licenciatura em Matemática
2019-2021,Licenciatura em Música*
2019-2021,Licenciatura em Química
2019-2021,Língua e Literatura Japonesa (Licenciatura)
2019-2021,Língua Espanhola e Literatura Espanhola e Hispano-Americana (Licenciatura)
2019-2021,Língua Estrangeira Aplicada – Multilinguismo e Sociedade da Informação (Bacharelado)
2019-2021,Língua Francesa e Respectiva Literatura (Bacharelado/Licenciat ura)
2019-2021,Língua Inglesa e Respectiva Literatura (Bacharelado/Licenciat ura)
2019-2021,Língua Portuguesa e Respectiva Literatura (Bacharelado/Licenciat ura)
2019-2021,Língua Portuguesa e Respectiva Literatura (Licenciatura)
2019-2021,Matemática (Bacharelado/Licenciat ura)
2019-2021,Medicina (Bacharelado)
2019-2021,Medicina Veterinária (Bacharelado)
2019-2021,Museologia (Bacharelado)
2019-2021,Música (Licenciatura)*
2019-2021,Nutrição (Bacharelado)
2019-2021,Odontologia (Bacharelado)
2019-2021,Pedagogia (Licenciatura)
2019-2021,Pedagogia (Licenciatura)
2019-2021,Psicologia (Bacharelado / Licenciatura / Psicólogo)
2019-2021,Química (Bacharelado)
2019-2021,Química Tecnológica (Bacharelado)
2019-2021,Relações Internacionais (Bacharelado)
2019-2021,Saúde Coletiva (Bacharelado)
2019-2021,Serviço Social (Bacharelado)
2019-2021,Serviço Social (Bacharelado)
2019-2021,"Teoria, Crítica e História da Arte (Bacharelado)"
2019-2021,Turismo (Bacharelado)
2019-2021,Enfermagem (Bacharelado)
2019-2021,Farmácia (Bacharelado)
2019-2021,Fisioterapia (Bacharelado)
2019-2021,Fonoaudiologia (Bacharelado)
2019-2021,Saúde Coletiva (Bacharelado)
2019-2021,Terapia Ocupacional (Bacharelado)
2019-2021,Engenharias – Aeroespacial / Automotiva / Eletrônica / Energia / Software (Bacharelados)**
2019-2021,Ciências Naturais (Licenciatura)
2019-2021,Ciências Naturais (Licenciatura)
2019-2021,Gestão Ambiental (Bacharelado)
2019-2021,Gestão do Agronegócio (Bacharelado)
