Curso original,Triênios,Número_de_triênios,Ocorrências
Farmácia (Bacharelado),"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025",6,18
Administração (Bacharelado),"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025",6,12
Arquitetura e Urbanismo (Bacharelado),"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025",6,12
Direito (Bacharelado),"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025",6,12
Enfermagem (Bacharelado),"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025",6,12
Pedagogia (Licenciatura),"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025",6,11
Ciências Contábeis (Bacharelado),"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025",6,10
Agronomia (Bacharelado),"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025",6,6
Biotecnologia (Bacharelado),"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025",6,6
Ciência Política (Bacharelado),"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025",6,6
Ciência da Computação (Bacharelado),"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025",6,6
Ciências Econômicas (Bacharelado),"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025",6,6
Computação (Licenciatura),"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025",6,6
Comunicação Organizacional (Bacharelado),"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025",6,6
Comunicação Social – Audiovisual (Bacharelado),"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025",6,6
Engenharia Civil (Bacharelado),"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025",6,6
Engenharia Elétrica (Bacharelado),"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025",6,6
Engenharia Mecânica (Bacharelado),"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025",6,6
Engenharia Química (Bacharelado),"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025",6,6
Engenharia de Computação (Bacharelado),"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025",6,6
Engenharia de Produção (Bacharelado),"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025",6,6
Engenharia de Redes de Comunicação (Bacharelado),"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025",6,6
Engenharias – Aeroespacial / Automotiva / Eletrônica / Energia / Software (Bacharelados)**,"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025",6,6
Estatística (Bacharelado),"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025",6,6
Fisioterapia (Bacharelado),"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025",6,6
Fonoaudiologia (Bacharelado),"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025",6,6
Jornalismo (Bacharelado),"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025",6,6
Medicina (Bacharelado),"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025",6,6
Medicina Veterinária (Bacharelado),"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025",6,6
Nutrição (Bacharelado),"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025",6,6
Odontologia (Bacharelado),"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025",6,6
Química (Bacharelado),"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025",6,6
Relações Internacionais (Bacharelado),"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025",6,6
Terapia Ocupacional (Bacharelado),"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024, 2023-2025",6,6
Saúde Coletiva (Bacharelado),"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2023-2025",5,10
Serviço Social (Bacharelado),"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2023-2025",5,10
Ciências Naturais (Licenciatura),"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2023-2025",5,9
Biblioteconomia (Bacharelado),"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2023-2025",5,5
Campus UnB — Ceilândia / DF,"2018-2020, 2020-2022, 2021-2023, 2022-2024, 2023-2025",5,5
Campus UnB — Darcy Ribeiro (Plano Piloto) / DF,"2018-2020, 2020-2022, 2021-2023, 2022-2024, 2023-2025",5,5
Campus UnB — Gama / DF,"2018-2020, 2020-2022, 2021-2023, 2022-2024, 2023-2025",5,5
Ciências Biológicas (Bacharelado),"2018-2020, 2020-2022, 2021-2023, 2022-2024, 2023-2025",5,5
Comunicação Social - Publicidade e Propaganda (Bacharelado),"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2022-2024",5,5
Engenharia Ambiental (Bacharelado),"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2023-2025",5,5
Engenharia Florestal (Bacharelado),"2018-2020, 2019-2021, 2020-2022, 2021-2023, 2023-2025",5,5
