Curso,2018-2020,2019-2021,2020-2022,2021-2023,2022-2024,2023-2025
Administração (Bacharelado),1,1,1,1,1,1
Agronomia (Bacharelado),1,1,1,1,1,1
Arquitetura e Urbanismo (Bacharelado),1,1,1,1,1,1
Arquivologia,0,1,0,0,0,0
Arquivologia (Bacharelado),1,0,1,1,0,1
Artes Cênicas (Bacharelado),0,0,0,0,0,1
Artes Cênicas (Licenciatura),0,0,0,0,0,1
Artes Cênicas - Interpretação Teatral (Bacharelado),0,0,0,1,1,0
Artes Cênicas - Interpretação Teatral (Bacharelado) *,1,1,1,0,0,0
Artes Visuais (Bacharelado),0,0,0,0,1,1
Artes Visuais (Bacharelado)*,1,1,1,1,0,0
Artes Visuais (Licenciatura)*,1,0,1,0,0,0
Artes Visuais Licenciatura,0,0,0,0,1,0
Biblioteconomia (Bacharelado),1,1,1,1,0,1
Biotecnologia (Bacharelado),1,1,1,1,1,1
Campus UnB — Ceilândia / DF,1,0,1,1,1,1
Campus UnB — Darcy Ribeiro (Plano Piloto) / DF,1,0,1,1,1,1
Campus UnB — Gama / DF,1,0,1,1,1,1
Campus UnB — Planaltina / DF,1,0,1,1,0,1
Ciência Política (Bacharelado),1,1,1,1,1,1
Ciência da Computação (Bacharelado),1,1,1,1,1,1
Ciências Ambientais,0,1,0,0,0,0
Ciências Ambientais (Bacharelado),1,0,1,1,0,1
Ciências Biológicas,0,1,0,0,0,0
Ciências Biológicas (Bacharelado),1,0,1,1,1,1
Ciências Biológicas (Licenciatura),0,0,0,0,0,1
Ciências Contábeis,0,1,0,0,0,0
Ciências Contábeis (Bacharelado),1,1,1,1,1,1
Ciências Econômicas (Bacharelado),1,1,1,1,1,1
Ciências Naturais (Licenciatura),1,1,1,1,0,1
Ciências Sociais – Antropologia / Sociologia (Bacharelado/ Licenciatura),1,0,1,1,0,0
Ciências Sociais – Antropologia / Sociologia (Bacharelado/Licenciat ura),0,1,0,0,0,0
Ciências Sociais – Antropologia/ Sociologia (Bacharelado/Licenciatura),0,0,0,0,0,1
Computação (Licenciatura),1,1,1,1,1,1
Comunicação Organizacional (Bacharelado),1,1,1,1,1,1
Comunicação Social - Publicidade e Propaganda (Bacharelado),1,1,1,1,1,0
Comunicação Social – Audiovisual (Bacharelado),1,1,1,1,1,1
Comunicação Social – Publicidade e Propaganda (Bacharelado),0,0,0,0,0,1
Design (Bacharelado),0,0,0,0,0,1
Design – Programação Visual/ Projeto do Produto (Bacharelado),1,0,1,1,1,0
Design – Programação Visual/Projeto do Produto (Bacharelado),0,1,0,0,0,0
Direito (Bacharelado),1,1,1,1,1,1
Educação Física (Bacharelado),1,1,1,1,0,0
Educação Física (Licenciatura),1,1,1,1,0,0
Educação Física Ciclo Básico,0,0,0,0,1,0
Educação Física Ciclo Básico (Bacharelado/Licenciatura),0,0,0,0,0,1
Enfermagem (Bacharelado),1,1,1,1,1,1
Engenharia Ambiental (Bacharelado),1,1,1,1,0,1
Engenharia Civil (Bacharelado),1,1,1,1,1,1
Engenharia Elétrica (Bacharelado),1,1,1,1,1,1
Engenharia Florestal (Bacharelado),1,1,1,1,0,1
Engenharia Mecatrônica (Bacharelado),0,0,0,0,0,1
