			Sistema de Cotas para negros		Sistema de Cotas para Escolas Públicas																Sistema Universal	
					Renda ≤ 1,5 salário mínimo								Renda > 1,5 salário mínimo									
Campus	Turno	Curso	Mín.	Máx.	Mín. (PPI *)	Máx. (PPI *)	Mín. (PPI *)	Máx. (PPI *)	Mín. (não PPI *)	Máx. (não PPI *)	Mín. (não PPI *)	Máx. (não PPI *)	Mín. (PPI *)	Máx. (PPI *)	Mín. (PPI *)	Máx. (PPI *)	Mín. (não PPI *)	Máx. (não PPI *)	Mín. (não PPI *)	Máx. (não PPI *)	Mín.	Máx.
							PCD	PCD			PCD	PCD			PCD	PCD			PCD	PCD		
Campus Darcy Ribeiro	Diurno	Administração (Bacharelado)	-5,786	-0,285	-38,327	23,576	-	-	-15,383	-0,009	-	-	-32,915	0,643	-	-	-11,331	85,005	-	-	36,705	120,30
Campus Darcy Ribeiro	Noturno	Administração (Bacharelado)	-1,176	2,320	-72,089	-12,149	-	-	-28,8	11,743	-	-	-51,667	-6,110	-	-	-8,376	14,991	-	-	-2,777	98,221
Campus Darcy Ribeiro	Diurno	Agronomia (Bacharelado)	-13,14	11,950	-60,355	-33,373	-	-	-50,337	33,840	-	-	-79,596	-	-	-	-47,09	38,297	-	-	-9,125	49,697
Campus Darcy Ribeiro	Diurno	Arquitetura e Urbanismo (Bacharelado)	85,859	85,859	16,653	31,350	-	-	20,353	38,018	-	-	18,420	53,972	-	-	49,823	61,770	-	-	74,758	137.05 6
Campus Darcy Ribeiro	Noturno	Arquitetura e Urbanismo (Bacharelado)	-2,692	-2,692	-46,6	-28,781	-	-	-2,815	12,718	-	-	-10,972	-10,972	-	-	-14,083	12,438	-	-	19,181	76,568
Campus Darcy Ribeiro	Noturno	Arquivologia	-72,96	-72,96	-	-	-	-	-	-	-	-	-	-	-	-	-59,094	-59,094	-	-	-70,173	-5,298
Campus Darcy Ribeiro	Diurno	Artes Cênicas - Interpretação Teatral (Bacharelado) *	-	-	0,432	0,432	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-31,865	22,845
Campus Darcy Ribeiro	Diurno	Artes Visuais (Bacharelado)*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-68,761	10,926
Campus Darcy Ribeiro	Diurno	Biblioteconomia (Bacharelado)	-13,884	-13,884	-41,515	-41,515	-	-	-36,505	-15,885	-	-	-9,930	-9,930	-	-	-10,259	9,476	-	-	-80,935	60,650
Campus Darcy Ribeiro	Diurno	Biotecnologia (Bacharelado)	29,186	29,186	-29,963	12,895	-	-	-62,356	44,477	-	-	-53,337	58,876	-	-	55,938	88,431	-	-	87,359	154,25
Campus Darcy Ribeiro	Diurno	Ciência da Computação (Bacharelado)	82,755	82,755	9,006	79,464	-	-	46,784	65,016	-	-	29,628	64,873	-	-	114,94	142,35	-	-	115,00	192,19
Campus Darcy Ribeiro	Diurno	Ciência Política (Bacharelado)	-6,889	-6,889	-14,082	41,919	-	-	-27,935	-27,935	-	-	-50,288	-8,471	-	-	-13,224	26,979	-	-	47,264	128,48
Campus Darcy Ribeiro	Noturno	Ciências Ambientais	-16,032	-16,032	-	-	-	-	-	-	-	-	-15,686	-15,686	-	-	-	-	-	-	-63,616	118,33
Campus Darcy Ribeiro	Diurno	Ciências Biológicas	45,804	45,804	-	-7,024	-	-	38,006	47,711	-	-	21,358	36,304	-	-	51,276	55,290	-	-	61,373	143,74
Campus Darcy Ribeiro	Diurno	Ciências Contábeis	-30,284	-	-	13,346	-	-	-	12,234	-	-	-	4,995	-	-	-	8,335	-	-	13,056	64,385
Campus Darcy Ribeiro	Noturno	Ciências Contábeis (Bacharelado)	-2,467	25,446	-50,721	-38,632	-	-	-62,154	-7,430	-	-	-52,303	16,406	-	-	-68,678	-68,678	-	-	-20,052	46,127
Campus Darcy Ribeiro	Diurno	Ciências Econômicas (Bacharelado)	19,037	19,037	-25,591	29,074	-	-	-60,912	0,999	-	-	-40,775	55,484	-	-	44,978	51,900	-	-	92,033	175.07 7
Campus Darcy Ribeiro	Diurno	Ciências Sociais – Antropologia / Sociologia (Bacharelado/Licenciat ura)	0,428	6,996	-35,497	-29,515	-	-	-32,433	-16,980	-	-	-70,502	28,724	-	-	-51,116	31,064	-	-	11,533	94,463
Campus Darcy Ribeiro	Noturno	Computação (Licenciatura)	-3,314	-3,314	-81,096	-81,096	-	-	-	-	-	-	-51,231	-44,126	-	-	-57,125	-53,651	-	-	-20,863	34,167
Campus Darcy Ribeiro	Noturno	Comunicação Organizacional (Bacharelado)	-78,071	-78,071	-	-	-	-	-	-	-	-	-76,574	-23,424	-	-	-49,352	-45,012	-	-	-17,502	62,260
Campus Darcy Ribeiro	Diurno	Comunicação Social – Audiovisual (Bacharelado)	48,632	48,632	-36,365	-36,365	-	-	-	-	-	-	-28,396	33,343	-	-	-7,569	44,378	-	-	64,460	116.15 6
Campus Darcy Ribeiro	Diurno	Comunicação Social - Publicidade e Propaganda (Bacharelado)	35,413	35,413	1,108	24,992	-	-	4,223	4,223	-	-	14,955	56,294	-	-	54,060	54,060	-	-	77,921	129.69 4
Campus Darcy Ribeiro	Diurno	Design – Programação Visual/Projeto do Produto (Bacharelado)	24,028	24,028	-31,239	-11,424	-	-	-45,596	-45,596	-	-	47,464	47,464	- 41.33 8	- 41.33 8	-	-	-	-	80,914	98,283
Campus Darcy Ribeiro	Diurno	Direito (Bacharelado)	71,703	98,148	1,027	53,764	-	-	28,279	53,850	-	-	48,707	52,731	29.61 9	29.61 9	114.73 6	145.34 2	-	-	113.77 2	181.76 4
Campus Darcy Ribeiro	Noturno	Direito (Bacharelado)	52,904	84,592	2,332	42,274	-	-	12,304	37,517	-	-	38,282	74,352	-	-	54,367	61,664	-	-	77,019	114.41 8
Campus Darcy Ribeiro	Diurno	Educação Física (Bacharelado)	-7,405	-7,405	-30,501	-17,981	-	-	-54,427	-33,945	-	-	-36,462	24,338	-	-	6,786	12,560	-	-	8,352	45,082
Campus Darcy Ribeiro	Diurno	Educação Física (Licenciatura)	-18,380	-18,380	-73,641	-24,238	-	-	-53,868	-18,279	-	-	-21,729	-5,990	-	-	-21,889	-19,463	-	-	-21,256	46,723
Campus Darcy Ribeiro	Diurno	Enfermagem (Bacharelado)	33,356	33,356	4,875	33,844	-	-	26,390	29,599	-	-	19,771	40,127	-	-	64,649	65,414	-	-	53,945	104.45 0
Campus Darcy Ribeiro	Diurno	Engenharia Ambiental (Bacharelado)	72,619	72,619	-72,216	-72,216	-	-	-	-	-	-	-49,389	38,819	-	-	-55,038	-2,954	-	-	26,947	94,160
Campus Darcy Ribeiro	Diurno	Engenharia Civil (Bacharelado)	14,522	14,522	-28,648	18,511	-	-	-14,773	23,601	-	-	-16,736	85,341	-	-	-6,562	53,596	-	-	96,375	155.60 2
Campus Darcy Ribeiro	Diurno	Engenharia de Computação (Bacharelado)	84,173	84,173	39,279	96,047	-	-	17,976	19,536	-	-	13,355	139.58 6	-	-	105.06 8	105.06 8	- 46.31 0	- 46.31 0	131.45 0	163.16 9
Campus Darcy Ribeiro	Noturno	Engenharia de Produção (Bacharelado)	-20,158	-20,158	-5,047	-5,047	-	-	-47,974	-47,974	-	-	-86,266	14,269	-	-	46,816	71,428	-	-	42,183	131.03 8
Campus Darcy Ribeiro	Diurno	Engenharia de Redes de Comunicação (Bacharelado)	24,498	24,498	-	-	-	-	-43,862	-43,862	-	-	-41,369	24,509	-	-	-67,492	-21,402	-	-	1,695	71,841
Campus Darcy Ribeiro	Diurno	Engenharia Elétrica (Bacharelado)	-	-	-12,839	-12,839	-	-	-26,903	-26,903	-	-	-38,064	19,809	-	-	-20,572	66,750	-	-	112.07 2	189.17 2
Campus Darcy Ribeiro	Diurno	Engenharia Florestal (Bacharelado)	-32,127	-32,127	-	-	-	-	-2,213	-2,213	-	-	-5,848	-5,848	-	-	-29,541	-29,541	-	-	-71,066	30,842
Campus Darcy Ribeiro	Diurno	Engenharia Mecânica (Bacharelado)	25,588	25,588	-21,929	-3,886	-	-	-40,249	33,782	-	-	-	-	-	-	-28,117	20,947	-	-	80,147	128.92 2
Campus Darcy Ribeiro	Diurno	Engenharia Mecatrônica – Controle e Automação (Bacharelado)	84,165	84,165	-27,662	46,608	-	-	-29,193	1,117	-	-	-39,081	-20,043	-	-	49,020	79,438	-	-	115.35 4	193.34 8
Campus Darcy Ribeiro	Diurno	Engenharia Química (Bacharelado)	11,144	11,144	-35,915	5,342	-	-	-47,162	-47,162	-	-	-40,025	-40,025	-	-	13,493	131.36 5	-	-	70,109	168.79 0
Campus Darcy Ribeiro	Diurno	Estatística (Bacharelado)	-38,073	-38,073	-20,062	-12,041	-	-	-	-	-	-	-39,185	-39,185	-	-	-19,116	-19,116	-	-	34,508	121.26 8
Campus Darcy Ribeiro	Diurno	Farmácia (Bacharelado)	51,589	51,589	-5,174	25,813	-	-	15,342	15,796	-	-	-34,082	-15,667	-	-	18,037	52,683	-	-	60,297	114.58 4
Campus Darcy Ribeiro	Noturno	Farmácia (Bacharelado)	39,999	39,999	-35,372	-22,447	-	-	-10,711	-10,711	-	-	-73,518	-0,575	-	-	1,051	1,051	-	-	-1,557	29,537
Campus Darcy Ribeiro	Diurno	Filosofia (Bacharelado/Licenciat ura)	-	-	-	-	-	-	-68,136	-68,136	-	-	-86,322	1,642	-	-	45,216	45,216	-	-	-69,896	33,582
Campus Darcy Ribeiro	Noturno	Filosofia (Licenciatura)	-	-	-59,768	-59,768	-	-	-	-	-	-	-63,589	-63,589	-	-	-	-	-	-	-52,983	37,478
Campus Darcy Ribeiro	Diurno	Física (Bacharelado)	-	-	39,226	39,226	-	-	-59,265	65,812	-	-	20,110	20,110	-	-	-4,154	48,857	-	-	91,722	138.76 5
Campus Darcy Ribeiro	Diurno	Geofísica (Bacharelado)	-6,216	-6,216	-	-	-	-	-	-	-	-	-	-	-	-	-27,060	-27,060	-	-	-48,237	8,279
Campus Darcy Ribeiro	Diurno	Geografia (Bacharelado/Licenciat ura)	-8,341	-8,341	-24,912	3,902	-	-	13,323	13,323	-	-	-28,339	-20,368	-	-	-8,556	19,938	-	-	-11,709	44,499
