Curso	Turno	Sistema de Cotas para Escolas Públicas																Sistema de Cotas para Negros		Sistema Universal	
		Renda ≤ 1,5 salário mínimo								Renda > 1,5 salário mínino											
		PPI		PCD e PPI		Não PPI		PCD e Não PPI		PPI		PCD e PPI		Não PPI		PCD e Não PPI		Mín.	Máx.	Mín.	Máx.
		Mín.	Máx.	Mín.	Máx.	Mín.	Máx.	Mín.	Máx.	Mín.	Máx.	Mín.	Máx.	Mín.	Máx.	Mín.	Máx.				
Campus UnB — Ceilândia / DF																					
Enfermagem (Bacharelado)	Diurno	-39,237	25,484	-	-	-8,713	27,763	-	-	-16,177	3,184	-	-	-2,391	4,712	-	-	20,513	20,513	30,010	77,432
Farmácia (Bacharelado)	Diurno	-28,606	10,433	-	-	-18,323	13,031	-	-	-50,438	-14,608	-	-	-6,499	38,946	-	-	37,120	37,120	17,577	66,477
Fisioterapia (Bacharelado)	Diurno	-56,290	16,447	-	-	-19,321	61,010	-	-	-1,257	11,757	-	-	43,008	45,269	-	-	3,695	3,695	33,173	91,814
Fonoaudiologia (Bacharelado)	Diurno	-37,971	-37,971	-	-	-37,896	-4,698	-	-	-50,578	-6,146	-	-	-12,187	-10,565	-	-	2,749	2,749	8,094	46,991
Saúde Coletiva (Bacharelado)	Diurno	-34,476	-34,476	-	-	-	-	-	-	-76,202	-9,790	-	-	-67,831	-31,801	-	-	-18,853	-18,853	-84,455	-10,106
Terapia Ocupacional (Bacharelado)	Diurno	-76,773	55,294	-	-	-38,795	-38,795	-	-	-	-	-	-	-59,047	-19,929	-	-	-31,006	-31,006	-28,652	51,395
Campus UnB — Darcy Ribeiro (Plano Piloto) / DF																					
Administração (Bacharelado)	Diurno	-46,661	16,258	-	-	-41,769	16,153	-	-	-14,213	17,044	-	-	0,373	53,503	-	-	-49,856	-49,856	45,565	98,219
Administração (Bacharelado)	Noturno	-46,477	-16,586	-	-	-34,780	-34,780	-	-	-84,174	-84,174	-	-	-12,505	3,601	-	-	-48,922	19,031	-15,266	50,144
Agronomia (Bacharelado)	Diurno	-82,722	-82,722	-	-	-	-	-	-	-81,527	-28,783	-	-	-94,126	25,397	-	-	-74,847	-66,324	-6,614	104,416
Arquitetura e Urbanismo (Bacharelado)	Diurno	-16,413	47,826	-	-	36,319	57,664	-	-	14,502	52,696	-	-	74,542	108,759	-	-	27,497	27,497	84,147	121,990
Arquitetura e Urbanismo (Bacharelado)	Noturno	-6,545	-6,545	-	-	-19,787	-19,787	-	-	-81,638	-5,822	-	-	-29,219	-7,500	-	-	-56,427	-56,427	53,202	67,911
Arquivologia (Bacharelado)	Noturno	-	-	-	-	-47,977	-47,977	-	-	-66,410	-66,410	-	-	-	-	-	-	10,221	10,221	-82,039	32,901
Artes Cênicas - Interpretação Teatral (Bacharelado) *	Diurno	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-35,525	88,886
