Curso	Turno	Sistema de Cotas para Escolas Públicas																Sistema de Cotas para Negros		Sistema Universal	
		Renda ≤ 1,5 salário mínimo								Renda > 1,5 salário mínino											
		PPI		PCD e PPI		Não PPI		PCD e Não PPI		PPI		PCD e PPI		Não PPI		PCD e Não PPI		Mín.	Máx.	Mín.	Máx.
		Mín.	Máx.	Mín.	Máx.	Mín.	Máx.	Mín.	Máx.	Mín.	Máx.	Mín.	Máx.	Mín.	Máx.	Mín.	Máx.				
Campus UnB — Ceilândia / DF																					
Enfermagem (Bacharelado)	Diurno	-	-	-	-	-49,851	-32,128	-	-	-77,474	-39,613	-	-	-16,271	-1,680	-	-	-45,031	-45,031	2,383	9,145
Farmácia (Bacharelado)	Diurno	-	-	-	-	-52,228	-42,092	-	-	-	-	-	-	-86,268	-18,416	-	-	-53,795	-53,795	0,278	14,814
Fisioterapia (Bacharelado)	Diurno	-	-	-	-	-65,973	-65,973	-	-	-79,757	-46,126	-	-	-19,889	-0,296	-	-	-4,572	-4,572	3,438	16,934
Fonoaudiologia (Bacharelado)	Diurno	-	-	-	-	-	-	-	-	-	-	-	-	-66,134	-37,894	-	-	-	-	-19,871	0,530
Terapia Ocupacional (Bacharelado)	Diurno	-	-	-	-	-	-	-	-	-	-	-	-	-98,316	-37,282	-	-	-	-	-40,381	-12,674
Campus UnB — Darcy Ribeiro (Plano Piloto) / DF																					
Administração (Bacharelado)	Diurno	-	-	-	-	-	-	-	-	-	-	-	-	-77,484	-34,030	-	-	-54,707	-48,660	0,137	12,807
Administração (Bacharelado)	Noturno	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-86,767	-40,646
Agronomia (Bacharelado)	Diurno	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-95,148	-49,448
Arquitetura e Urbanismo (Bacharelado)	Diurno	-	-	-	-	-	-	-	-	-	-	-	-	-33,969	4,708	-	-	47,865	47,865	64,820	77,537
Arquitetura e Urbanismo (Bacharelado)	Noturno	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0,302	0,302	-5,784	15,316
Artes Cênicas - Interpretação Teatral (Bacharelado)	Diurno	-	-	-	-	-	-	-	-	-	-	-	-	-19,882	-1,832	-	-	-	-	27,497	29,223
Artes Visuais (Bacharelado)	Diurno	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-25,519	9,382
Artes Visuais Licenciatura	Diurno	-	-	-	-	-23,748	-23,748	-	-	-	-	-	-	-59,575	-16,763	-	-	-33,237	-33,237	-7,957	70,753
Biotecnologia (Bacharelado)	Diurno	-	-	-	-	-32,078	-32,078	-	-	-	-	-	-	-84,167	-24,822	-	-	-	-	-13,439	20,763
Ciência da Computação (Bacharelado)	Diurno	-18,098	-7,693	-	-	8,647	18,344	-	-	-12,086	22,791	-	-	77,535	77,535	-10,517	-10,517	64,835	64,835	111,639	126,560
Ciência Política (Bacharelado)	Diurno	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-1,435	-1,435	-0,707	27,872
Ciências Biológicas (Bacharelado)	Diurno	-	-	-	-	-64,765	-36,085	-	-	-80,211	-58,110	-	-	5,963	29,190	-	-	-29,292	-29,292	48,174	55,263
Ciências Contábeis (Bacharelado)	Diurno	-	-	-	-	-	-	-	-	-	-	-	-	-75,965	-49,701	-	-	-	-	-102,261	-10,335
Ciências Econômicas (Bacharelado)	Diurno	-	-	-	-	-56,632	-56,632	-	-	-	-	-	-	-64,258	-22,961	-	-	38,698	38,698	50,313	75,802
Computação (Licenciatura)	Noturno	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-105,030	-44,569
Comunicação Organizacional (Bacharelado)	Noturno	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-98,302	-18,384
Comunicação Social – Audiovisual (Bacharelado)	Diurno	-	-	-	-	-	-	-	-	-	-	-	-	-42,029	-0,538	-	-	2,287	2,287	39,969	57,784
Comunicação Social - Publicidade e Propaganda (Bacharelado)	Diurno	-	-	-	-	-	-	-	-	-	-	-	-	-39,668	-12,554	-	-	-45,956	-45,956	40,414	48,420
Design – Programação Visual/ Projeto do Produto (Bacharelado)	Diurno	-	-	-	-	-63,935	-63,935	-	-	-61,294	-29,644	-	-	26,070	26,070	-	-	-82,226	-82,226	54,836	69,182
Direito (Bacharelado)	Diurno	-25,544	-13,238	-	-	1,715	12,530	-	-	19,197	45,871	-	-	87,931	94,480	-	-	50,939	81,379	108,006	117,929
Direito (Bacharelado)	Noturno	-	-	-	-	-23,726	-20,320	-	-	-54,298	-22,600	-	-	34,633	65,065	-	-	30,060	30,572	76,028	82,163
Educação Física Ciclo Básico	Diurno	-	-	-	-	-	-	-	-	-	-	-	-	-72,598	-29,223	-	-	-34,592	-33,682	-27,052	-13,512
Enfermagem (Bacharelado)	Diurno	-	-	-	-	-9,897	1,734	-	-	-52,781	-29,624	-	-	6,012	18,469	-	-	6,688	6,688	21,198	33,032
Engenharia Civil (Bacharelado)	Diurno	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	16,686	16,686	34,504	63,663
Engenharia de Computação (Bacharelado)	Diurno	-	-	-	-	-26,480	-5,042	-	-	-62,409	-51,296	-	-	13,301	34,706	-	-	48,438	48,438	102,972	115,572
Engenharia de Produção (Bacharelado)	Noturno	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-71,003	-71,003	-66,153	14,375
Engenharia de Redes de Comunicação (Bacharelado)	Diurno	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-50,195	-2,835
Engenharia Elétrica (Bacharelado)	Diurno	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-52,004	-11,328
Engenharia Mecânica (Bacharelado)	Diurno	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-47,320	-47,320	-39,537	27,385
Engenharia Mecatrônica – Controle e Automação (Bacharelado)	Diurno	-	-	-	-	-	-	-	-	-	-	-	-	-65,329	-19,947	-	-	-	-	8,540	37,891
Engenharia Química (Bacharelado)	Diurno	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-31,736	-7,947
Estatística (Bacharelado)	Diurno	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-86,083	-0,406
Farmácia (Bacharelado)	Diurno	-	-	-	-	-	-	-	-	-	-	-	-	-18,151	16,198	-	-	-	-	27,530	42,869
Farmácia (Bacharelado)	Noturno	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-73,721	-9,583
História (Bacharelado/Licenciatura)	Diurno	-	-	-	-	-	-	-	-	-	-	-	-	-54,201	-12,401	-	-	-27,515	-27,515	-8,561	17,254
Jornalismo (Bacharelado)	Diurno	-	-	-	-	-11,956	-11,956	-	-	-53,574	-0,525	-	-	16,995	16,995	-	-	-3,462	-3,462	69,365	78,377
Letras – Tradução – Inglês (Bacharelado)	Diurno	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-52,428	-20,242
Língua Inglesa e Respectiva Literatura (Bacharelado/Licenciatura)	Diurno	-	-	-	-	-26,435	-26,435	-	-	-	-	-	-	-40,908	-19,451	-	-	-	-	-15,468	4,023
Língua Portuguesa e Respectiva Literatura (Bacharelado/Licenciatura)	Diurno	-	-	-	-	-26,314	-26,314	-	-	-	-	-	-	-53,691	-27,208	-	-	-60,705	-60,705	-22,941	-4,114
Matemática (Bacharelado/ Licenciatura)	Diurno	-	-	-	-	-	-	-	-	-	-	-	-	-53,025	-53,025	-	-	-	-	-65,029	17,561
Medicina (Bacharelado)	Diurno	55,923	61,257	-	-	88,009	109,377	-	-	78,632	98,015	-	-	155,100	155,100	-	-	146,826	146,826	162,424	173,057
Medicina Veterinária (Bacharelado)	Diurno	-	-	-	-	-2,808	16,671	-	-	-62,784	-29,375	-	-	37,329	41,765	-	-	47,188	47,188	52,582	63,333
Nutrição (Bacharelado)	Diurno	-	-	-	-	4,712	4,712	-	-	-67,720	-67,720	-	-	3,412	36,899	-	-	-9,709	-9,709	41,989	56,753
Odontologia (Bacharelado)	Diurno	-	-	-	-	11,177	11,177	-	-	-50,627	2,933	-	-	35,470	36,069	-	-	9,216	9,216	59,352	71,127
Pedagogia (Licenciatura)	Diurno	-	-	-	-	-	-	-	-	-	-	-	-	-70,173	-54,697	-	-	-	-	-71,523	-19,368
Psicologia (Bacharelado / Licenciatura / Psicólogo)	Diurno	-60,075	-34,654	-	-	3,278	8,523	-	-	-3,291	10,344	-	-	62,168	80,750	-	-	19,287	19,287	81,553	93,909
Química (Bacharelado)	Diurno	-	-	-	-	-	-	-	-	-	-	-	-	-76,374	-76,374	-	-	-9,802	-9,802	4,306	32,131
Relações Internacionais (Bacharelado)	Diurno	-	-	-	-	-5,024	0,805	-	-	-29,250	-2,275	-	-	34,208	34,299	-	-	51,877	51,877	68,855	80,765
Campus UnB — Gama / DF																					
Engenharias – Aeroespacial / Automotiva / Eletrônica / Energia / Software (Bacharelados)**	Diurno	-	-	-	-	-	-	-	-	-	-	-	-	-90,269	-6,587	-	-	-7,303	15,846	24,317	50,424
